term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,zh
445-05-01,specified time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-01,الزمن الموصّف,"festgelegtes Zeitverhalten, nVerzögerungsdauer, f",specified time,temporización,täsmäaika,"temporisation, m",Tempo specificato,指定時間,지정 시간,spesifisert tid,czas odmierzany,temporizaçãotempo especificado,规定时间
445-05-02,minimum control impulse time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-02,أدنى زمن لنبضة التحكم,"Minimalsteuerimpuls, m",minimum control impulse time,duración mínima de un impulso de control,vähimmäissykäysaika,"durée minimale d’impulsion de commande, f",Tempo minimo dell’impulso di comando,最小感応パルス時間,최소 제어 충격 시간,minimum kontrollimpulstid,impuls najkrótszy wysterowania,tempo mínimo do impulso de controlo,最短控制激励时间
445-05-03,critical impulse time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-03,زمن الدفع الحرج,"kritische Impulszeit, f",critical impulse time,duración crítica de un impulso de control,kriittinen sykäysaika,"durée critique d’impulsion de commande, f",Tempo critico dell’impulso di comando,最大不感応パルス時間,임계 임펄스 시간,kritisk impulstid,impuls graniczny wysterowania,tempo crítico do impulso de controlo,临界激励时间
445-05-04,recovery time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-04,زمن الاستعادة (التعافي),"Wiederbereitschaftszeit, fErholzeit, f",recovery time,tiempo de recuperación,elpymisaika,"temps de récupération, m",Tempo di recupero,タイマの復帰時間復帰時間,복구 시간,reetableringstid,czas regeneracji,tempo de recuperação,恢复时间
445-05-05,critical interrupt time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-05,زمن القطع الحرج,"kritische Unterbrechungszeit, f",critical interrupt time,tiempo de interrupción crítico,kriittinen keskeytysaika,"durée critique d'interruption, f",Tempo critico di interruzione,最大不感応遮断時間,최대 차단 시간,kritisk avbrotstid,czas graniczny trwania przerwy,tempo crítico de interrupção,临界激励中断时间
445-05-06,time programme,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-06,برنامج الزمن,"Zeitprogramm, n",time programme,programa de tiempo,aikaohjelma,"programme temporel, m",Programma di temporizzazione,時間設定,시간 설정,tidsprogram,program czasowy sekwencyjny,programa temporal,时间程序
445-05-07,setting ratio of a specified time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-07,نسبة الضبط لزمن محدد,"Einstellverhältnis eines festgelegten Zeitverhaltens, n",setting ratio of a specified time,relación de ajuste de una temporización,täsmäajan asettelurajojen suhde,"rapport de réglage d'une temporisation, m",Rapporto fra i valori di regolazione del tempo specificato,設定時間比率,설정 시간 정정 비율,innstillingshøve for spesifisert tid,krotność nastawcza czasu,razão de ajuste de uma temporização,规定时间整定比
445-05-08,power on-delay time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-08,زمن تأخير توصيل القدرة,"Ansprechverzögerungszeit, f",power on-delay time,tiempo de reacción,vetohidastusaika,"temps de réaction, m",Tempo di ritardo all’inserzione,電源オンディレー時間,전원 투입 지연 시간,innkoplingsforseinkingstid,czas opóźnienia zadziałania,tempo à operação,动作延时时间
445-05-09,power off-delay time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-09,زمن تأخير فصل القدرة,"Rückfallverzögerungszeit, f",power off-delay time,tiempo de desconexión,päästöhidastusaika,"temps de retombée, m",Tempo di ritardo alla disinserzione,電源オフディレー時間,전원 차단 지연 시간,utkoplingsforseinkingstid,czas opóźnienia powrotu,tempo à desoperação,释放延时时间
445-05-10,interval time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=445-05-10,زمن الفترة,"Wischzeit, f",interval time,tiempo de intervalo,intervalliaika,"temps d'intervalle, m",Tempo di intervallo,インターバル時間,간격 시간,intervalltid,czas trwania interwału,tempo de intervalo,间隔定时时间
