term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
808-02-11,minimum subject illuminance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-11,الحد الأدنى من الاضاءة,"minimale Subjektbeleuchtungsstärke, f",minimum subject illuminance,iluminancia mínima del sujeto,"éclairement minimal du sujet, m",illuminazione minima del soggetto,最低被写体照度,최저 피사체 조도,natężenie minimalne oświetlenia obiektu,iluminação mínima do assunto,最小目标景物照度
808-02-12,over-exposure ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-12,نسبة التعرض الزائد,"Überbelichtungsverhältnis, n",over-exposure ratio,factor de sobre-exposición,"rapport de surexposition, m",rapporto di sovraesposizione,過露光比,과노출비,stosunek przeeksponowania,relação de sobrexposição,过曝光比
808-02-13,registration error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-13,خطأ تسجيل,"Deckungsabweichung, f",registration error,error de convergencia,"erreur de convergence, f",errore di convergenza,レジストレーション誤差レジストレーションずれ,등록 오류,błąd zbieżności,erro de convergênciaerro de registo,重合误差
808-02-14,smearing ratio (in solid-state image sensor systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-14,نسبة التلطيخ (التوسخ) ( في انظمة حساس الصورة الثابتة ),"Nachziehverhältnis, <bei Festkörper-Bildsensorsystemen> n",smearing ratio (in solid-state image sensor systems),relación de barra parásita (en sistemas con sensores de imagen de semiconductores),"rapport de barre parasite (dans les systèmes à capteurs d’image à semiconducteurs), m",rapporto di barra parassita,"スミアダイナミックレンジ, <固体撮像素子系における>","번짐 비, 고체이미지 센서 시스템",stosunek smużenia (w systemach z półprzewodnikowym przetwornikiem obrazu),relação de esbatimento (nos sistemas de captação de imagem com semicondutores),"垂直亮道比, <用于固态图像传感器系统>"
808-02-15,tracking error of white shading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-15,خطأ في تتبع التظليل الأبيض,"Gleichlaufabweichung der Weißabschattierung, f",tracking error of white shading,error de seguimiento de neutralidad de blanco,"erreur de neutralité de la tache du blanc, f",errore di inseguimento del bianco,ダイナミックシェーディング,백색차광 추적 오차,błąd śledzenia tła białego,erro de seguimento do sombreamento branco,白斑跟踪误差
808-02-16,white reproduction non-uniformity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-16,عدم تجانس في إعادة إنتاج الأبيض,"Weißwiedergabe-Ungleichmäßigkeit, fWeißabschattierung, f",white reproduction non-uniformitywhite shading,no-uniformidad de blancono-uniformidad de la reproducción de blanco,"non-uniformité de la reproduction du blanc, fnon-uniformité du blanc, f",non uniformità della riproduzione del bianconon uniformità del bianco,白シェーディング,백색 재생 불균일성,nierównomierność reprodukcji bielinierównomierność tła białego,não-uniformidade (da reprodução) do branconão-uniformidade do sombreamento branco,白色重现不均匀性白斑
808-02-17,white saturation level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-17,مستوى تشبع الابيض,"Weißsättigungspegel, mWeißbegrenzungspegel, m",white saturation levelwhite clipping level,nivel de corte de blanconivel de saturación de blanco,"niveau de saturation des blancs, mniveau d’écrêtage des blancs, m",livello di saturazione del biancolivello di cresta del bianco,白飽和レベル白クリップレベル,백색 포화 레벨,poziom nasycenia bielipoziom obcinania bieli,nível de saturação do branconível de limitação do branco,白削波电平
808-02-18,white tracking characteristics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-18,خصائص تتبّع الأبيض,"Weißgleichlaufkennlinie, f",white tracking characteristics,características de seguimiento al blanco,"caractéristiques de tracking au blanc, f pl",caratteristica di inseguimento al bianco,白トラッキング特性色トラッキング,백색 추적 특성,charakterystyka śledzenia bieli,características do seguimento do branco,白跟踪特性
808-02-19,zooming ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-19,نسبة التقريب,"Zoomverhältnis, n",zooming ratio,amplitud de zoom,"amplitude de zoom, f",fattore di ingrandimento (zoom),ズーム比,확대축소비,współczynnik płynnej zmiany ogniskowej obiektywu,amplitude de zume,变焦比
808-03-01,black test chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-01,مخطط الإختبارِ الأسودِ,"Schwarztestbild, n",black test chart,mira de ensayo de negro,"mire d’essai de noir, f",tavola di prova del nero,黒テストチャート,흑색 시험 도표흑색 테스트 차트,tablica pomiarowa czarna,mira de ensaio de preto,黑测试图
808-03-02,chart for lag,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-02,مخطط اختبار التباطؤ,"Verzögerungstestbild, n",chart for lag,mira de ensayo de retardo,"mire d’essai de traînage, f",tavola di prova del ritardo,残像測定チャート,잔상측정 차트지연측정 도표,tablica opóźnienia,mira de ensaio de arrasto,滞后测试图
808-03-03,chrominance frequency response sweep chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-03,مخطط مدى استجابة   تردد لوني,"Chrominanz-Frequenzgang-Testbild, n",chrominance frequency response sweep chart,mira de barrido para la respuesta en frecuencia de la crominancia,"mire de balayage pour la réponse en fréquence de la voie chrominance, f",tavola di prova per la risposta in frequenza della crominanza,色信号周波数特性測定チャートカラーマルチバーストチャート (2),색신호 주파수응답 소인 도표,tablica przemiatania odpowiedzi częstotliwościowej chrominancji,mira de varrimento para a resposta em frequência da crominância,色度频响图
808-03-04,colour chips,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-04,رقائق لونية,"Farbchips, m, pl",colour chips,muestras de colores,"échantillons couleurs, m pl",campioni di colore,カラーチップ色票,색표칼라칩,tablica próbek barw,amostras de cores,彩色样片
808-03-05,colour multiburst chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-05,مخطط إختبار تدفق الألوان,"Multiburst-Farbtestbild, n",colour multiburst chart,mira de ensayo multisalva de colores,"mire d’essai multisalve de couleurs, f",tavola di prova multicolore,カラーマルチバーストチャート (1),색 다파 도표색 다중버스트 도표,tablica pakietów impulsów synchronizacji koloru,mira de ensaio multissalva de cores,彩色多波群图
808-03-06,colour reproduction chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-06,مخطط إعادة إنتاج الألوان,"Farbwiedergabe-Testbild, n",colour reproduction chart,mira de reproducción de color,"mire de reproduction couleur, f",tavola di riproduzione del colore,色再現測定チャート,색 재생 도표,tablica odtwarzania barw,mira de reprodução da cor,彩色重现测试图
808-03-07,grey-scale chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-07,مخطط درجات الرمادي,"Graukeiltestbild, n",grey-scale chart,escala de grises,"échelle de gris, f",immagine (quadro) con scala dei grigi,グレースケールチャート,무채색 도표회색 도표중간 계조 도표,tablica skali szarości,escala de cinzento,灰度图
808-03-08,logarithmic grey-scale chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-08,مخطط المِقياسِ الرماديِ اللوغاريتميِ,"logarithmisches Graukeiltestbild, n",logarithmic grey-scale chart,escala de grises logarítmica,"échelle de gris logarithmique, f",immagine (quadro) con scala dei grigi logaritmica,対数グレースケールチャート,대수 무채색 도표대수 회색 도표,tablica logarytmicznej skali szarości,escala logarítmica de cinzento,对数灰度图
808-03-09,linearity chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-09,مخطط الخطية,"Linearitätstestbild, n",linearity chart,mira de linealidad,"mire de linéarité, f",tavola di linearità,図形ひずみ測定チャート,직선성 도표,obraz kontrolny liniowości,mira de linearidade,线性测试图
808-03-10,vertical grey-scale chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-10,مخطط المقياس الرمادي العمودي,"Vertikal-Graukeiltestbild, n",vertical grey-scale chart,mira de escala de grises vertical,"mire d’essai de gris verticale, f",immagine (quadro) con scala dei grigi verticale,垂直グレースケールチャート,수직 무채색 도표,tablica pionowej skali szarości,mira vertical de ensaio de cinzento,垂直灰度图
808-03-11,reference sensitivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-11,حساسية مرجعية,"Referenzempfindlichkeit, f",reference sensitivity,sensibilidad de referencia,"sensibilité de référence, f",sensibilità di riferimento,"標準感度感度, <業務用カメラにおける>",기준 감도,czułość odniesienia,sensibilidade de referência,参考灵敏度
808-03-12,reference subject illuminance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-12,إضاءة مرجعية للهدف,"Referenzbeleuchtungsstärke des Subjekts, f",reference subject illuminance,iluminancia de referencia del sujeto,"éclairement de référence du sujet, m",illuminamento del soggetto di riferimento,標準被写体照度,기준 피사체 조도,natężenie oświetlenia odniesienia obiektu,iluminação de referência do assunto,参考目标景物照度
808-03-13,resolution chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-13,مخطط الدقة,"Auflösungstestbild, n",resolution chart,mira de resolución,"mire de résolution, f",immagine (quadro) di prova della risoluzione,解像度チャート,해상도 도표,tablica rozdzielczości,mira de resolução,分辨率测试图
808-03-14,radial resolution chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-14,مخطط الإستبانة شعاعيا,"Radialauflösungstestbild, n",radial resolution chart,mira de resolución radial,"mire de résolution radiale, f",immagine (quadro) di prova della risoluzione radiale,矢車チャート,방사상 해상도 도표,tablica rozdzielczości promieniowej,mira de resolução radial,径向分辨率测试图
808-03-15,sinusoidal chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-15,مخطط جيبى,"Sinustestbild, n",sinusoidal chart,mira de ensayo sinusoidal,"mire d’essai sinusoïdale, f",immagine (quadro) di prova con caratteristica sinusoidale,正弦波チャート,정현파 도표,tablica sinusoidalna,mira de ensaio sinusoidal,正弦测试图
808-03-16,square window chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-16,مخطط نافذةِ مربّعِه,"Quadratfenstertestbild, n",square window chart,mira con ventana cuadrada,"mire avec fenêtre carrée, f",immagine (quadro) di prova con finestra quadrata,透過形ウインドウチャート焼き付け測定チャート,정사각형 윈도우 도표,tablica z kwadratowym oknem,mira com janela quadrada,方窗测试图
808-03-17,tracking chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-17,مخطط التعقب,"Nachführtestbild, n",tracking chart,mira de seguimiento,"mire de suivi, f",immagine (quadro) di prova per l'inseguimento,トラッキングチャート,추적 도표,tablica śledzenia,mira de seguimento,跟踪测试图
808-03-18,transparent test chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-18,مخطط اختبار الشفافية,"transparentes Testbild, n",transparent test chart,mira de ensayo transparente,"mire d’essai transparente, f",immagine (quadro) di prova trasparente,透過形テストチャート,투명 시험 도표,tablica pomiarowa przezroczysta,mira de ensaio transparente,透明测试图
808-03-19,"""V"" pattern chart",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-19,"مخطط اختبار شكل ""V""","V-Muster-Testbild, n","""V"" pattern chart","mira de ensayo con letras en ""V""","mire d’essai avec dessins en ""V"", f","immagine (quadro) di prova con lettere ""V""",V字チャート,브이자형 도표,"tablica z wzorami ""V""","mira de ensaio com padrões em ""V""",“V”形测试图
808-03-20,waveform distortion chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-20,مخطط التشوه شكل الموجة,"Schwingungsform-Verzerrungstestbild, nVerzerrungstestbild, n",waveform distortion chart,mira de distorsión lineal,"mire de distorsion linéaire, f",immagine (quadro) di prova della distorsione della forma d'onda,波形ひずみ測定チャート,파형 왜형 도표,tablica zniekształceń liniowych,mira de distorção linear,波形失真测试图
808-03-21,window chart,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-03-21,مخطط نافذةِ,"Fenstertestbild, n",window chart,mira con ventana,"mire avec fenêtre, f",immagine (quadro) di prova con finestra quadrata,ウインドウチャートブルーミング・スミアチャート,윈도우 도표,tablica z oknem,mira com janela,窗测试图
808-04-01,aperture effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-01,تأثير الفتحة,"Aperturfehler, mApertureffekt, m",aperture effect,efecto de apertura,"effet d’ouverture, m",effetto di apertura,アパ－チャ効果,구경 효과간극 효과,efekt apertury,efeito de abertura,孔阑效应
808-04-02,black shading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-02,تظليل أسود,"Schwarzabschattierung, f",black shading,no-uniformidad de negro,"non-uniformité du noir, f",disuniformità del nero,黒シェーディング,흑색 음영,nierównomierność tła czarnego,não-uniformidade do pretosombreamento preto,黑斑
808-04-03,blooming (in solid-state camera system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-03,تفتح (في نظامِ آلةِ تصوير الحالة الصلبةِ),"Überbelichtungseffekt, <bei einem Festkörper-Kamerasystem> m",blooming (in solid-state camera system),deslumbramiento (en un sistema de cámaras de vídeo de semiconductores),"éblouissement (dans un système de caméra vidéo à semiconducteurs), m",abbagliamento,"ブルーミング, <固体カメラシステムにおける>","초점 번짐, <고체 카메라 시스템>블루밍, <고체 카메라 시스템>",przeeksponowanie (w systemie kamery półprzewodnikowej),encandeamento (num sistema de câmara vídeo com semicondutores),"开花, <用于固态摄像机系统>"
808-04-04,fixed pattern noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-04,ضوضاء النمط الثابتشوشرة النمط الثابت,"festes Störmuster, n",fixed pattern noise,ruido de carta fija,"bruit à motif fixe, m",rumore a presentazione costante,固定パターンノイズ,고정 유형 잡음,zakłócenie o stałym wzorze,ruído de padrão fixo,固定图形噪声
808-04-05,flare,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-05,توهج,"Überstrahlung, f",flare,luz parásita,"lumière parasite, f",luce parassita,フレア,플레어난반사,odblaski,luz parasita,杂散光
808-04-06,lag,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-06,تخلّف - تأخر,"Nachbild, n",lagafter-image,retardo,"traînage, m",ritardo,残像,잔상지연,przeciąganie,arrasto,图像滞后
808-04-07,moiré,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-07,تموّج,"Moiré, n",moiré,moiré,"moiré, m",moiré,モアレモワレ,므와레물결 무늬,mora,muarê,网纹干扰
808-04-08,"random noise, <in video systems>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-08,ضوضاء عشوائية,"Rauschen, n","random noise, <in video systems>",ruido aleatorio,"bruit aléatoire, <dans les systèmes vidéo> m",rumore casuale,ランダムノイズランダム雑音,랜덤 잡음불규칙 잡음임의 잡음,szum losowy,ruído aleatório,随机噪声
808-04-09,registration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-09,تسجيل,"Deckung, f",registration,convergencia,"convergence, f",convergenza,レジストレーション,화면정합지수,zbieżność,convergênciaregisto,重合
808-04-10,shading,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-10,تظليل,"Abschattierung, f",shading,no-uniformidad,"non-uniformité, f",disuniformità,シェーディング,음영명암농담,nierównomierność,não-uniformidadesombreamento,斑
808-04-11,smearing (in solid-state image sensor systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-11,تَلْطيخ (في أنظمةِ محسّسِ صورةِ الحالة الصلبةِ),"Nachziehen, <bei Festkörper-Kamerasystemen> n",smearing (in solid-state image sensor systems),barra parásita (en un sistema con sensores de imagen de semiconductores),"barre parasite (dans les systèmes à capteurs d’image à semiconducteurs), f",sbordatura,"スミア, <固体撮像素子系における>スメア, <固体撮像素子系における>","번짐 현상, 고체 영상 센서 시스템스미어링, 고체 영상 센서 시스템",smużenie (w systemach z półprzewodnikowym przetwornikiem obrazu),esbatimento,"垂直亮道, <用于固态图像传感器系统>"
808-04-12,sticking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-04-12,إلتصاق,"Einbrennen, n",sticking,remanencia,"rémanence, f",permanenza,焼き付け,잔상고착,poświata,remanência,图像残留
808-05-01,bias light,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-05-01,ضوء الانحياز,"Vorlicht, n",bias light,luz de polarización,"lumière de polarisation, f",luce di polarizzazione,バイアスライト,편향 조명편향 조사,podświetlenie,luz de polaridade,偏置光
808-05-02,photoconductive layer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-05-02,طبقة ذات موصّلية ضوئيّة,"photoleitende Schicht, f",photoconductive layer,capa fotoconductora,"couche photoconductrice, f",strato fotoconduttore,光導電層,광도전 층,warstwa fotoprzewodząca,camada fotocondutora,光导层
808-05-03,photosensitive layer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-05-03,طبقة ذات حساسية ضوئيّة,"lichtempfindliche Schicht, f",photosensitive layer,capa fotosensible,"couche photosensible, f",strato fotosensibile,光感層,광감 층,warstwa fotoczuła,camada fotossensível,光敏层
808-06-01,black balance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-06-01,موازنة اللون الأسود,"Schwarzbalance, f",black balance,ajuste de negro,"équilibrage des noirs, m",bilanciamento del nero,黒バランス,흑평형,równoważenie czerni,equilíbrio do preto,黑平衡
808-06-02,black level corrector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-06-02,مصحّح مستوى الأسود,"Schwarzwertkorrektur, f",black level corrector,corrector del nivel de negro,"correcteur du niveau de noir, m",correttore del livello di nero,黒バランス補正,흑색 균형 보정흑색 레벨 보정,korektor poziomu czerni,corrector do nível de preto,黑电平校正器
808-06-03,colour matrixing corrector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-06-03,مصحح مصفوفة اللون,"Farbmatrixkorrektur, f",colour matrixing corrector,corrector matricial de color,"correcteur matriciel couleur, m",correttore matriciale del colore,色マトリクス補正カラーマトリクス補正,색 매트릭스 보정,macierz korekcji kolorów,corrector matricial de cor,彩色矩阵校正器
808-06-04,contour corrector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-06-04,مصحح المخطط,"Konturkorrektur, f",contour corrector,corrector de contorno,"correcteur de contour, m",correttore del contorno,輪郭補正,윤곽 보정,korektor konturów,corrector de contorno,轮廓校正器
808-06-05,white balance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-06-05,موازنة اللون الابيض,"Weißbalance, f",white balance,ajuste de blanco,"équilibrage des blancs, m",bilanciamento del bianco,白バランスホワイトバランス,백색 균형,równoważenie bieli,equilíbrio do branco,白平衡
808-06-06,white clipping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-06-06,قصاصة بيضاء,"Weißbegrenzung, f",white clipping,corte de blanco,"écrêtage des blancs, m",limitazione del livello del bianco,白クリップ,백색 제한백색 클립핑,obcinanie bieli,limitação do branco,白削波
808-07-01,automatic exposure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-07-01,تعرّض آلي,"automatische Belichtung, f",automatic exposure,exposición automática,"exposition automatique, f",esposizione automatica,自動露出,자동 노출,regulacja automatyczna ekspozycji,exposição automática,自动曝光
808-07-02,automatic focusing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-07-02,تركيز بؤري آلي,"automatische Fokussierung, f",automatic focusing,enfoque automático,"mise au point automatique, f",messa a fuoco automatica,自動合焦,자동 초점,regulacja automatyczna ostrości,focagem automática,自动聚焦
808-07-03,automatic image stabilization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-07-03,تثبيت آلي للصورة,"automatische Bildstabilisierung, f",automatic image stabilization,estabilización automática de la imagen,"stabilisation automatique de l’image, f",stabilizzazione automatica dell'immagine,手振れ補正,자동 영상 안정화,stabilizacja automatyczna obrazu,estabilização automática da imagem,图像自动稳定
808-07-04,automatic iris control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-07-04,تحكّم آلي في القزحيّة,"automatische Blendensteuerung, f",automatic iris control,control automático del diafragma,"commande automatique du diaphragme, f",comando automatico del diaframma,オートアイリス自動絞り制御,자동 조리개 제어,regulacja automatyczna przysłony,controlo automático do diafragma,自动光圈控制
808-07-05,automatic white balance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-07-05,موازنة آلية للأبيض,"automatischer Weißabgleich, m",automatic white balance,ajuste automático de blanco,"équilibrage automatique des blancs, m",bilanciamento automatico del bianco,オートホワイトバランス自動白バランス調節,자동 백색 조절자동 백색 균형,równoważenie automatyczne bieli,equilíbrio automático do branco,自动白平衡
