term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
808-01-01,subject (in a camera system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-01-01,موضوع (في  نظام آلة تصوير),"Subjekt, <bei einem Kamerasystem> n",subject (in a camera system),sujeto (en un sistema de cámaras de vídeo),"sujet (dans un système de caméra), m",soggetto,被写体,"피사체, 카메라 시스템",obiekt (w systemach kamerowych),assunto (num sistema de câmara),"目标景物, <用于摄像机系统>"
808-01-02,underscanning,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-01-02,مسح مخفّض,"Unterabtastung, f",underscanning,exploración reducida,"balayage réduit, m",scansione ridotta,アンダースキャン,부족주사언더스캔,niedomiar amplitud odchylania,varrimento reduzido,欠扫描
808-02-01,colour non-uniformity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-01,عدم تجانس اللون,"Farbungleichmäßigkeit, f",colour non-uniformity,no-uniformidad de color,"non-uniformité de la couleur, f",non uniformità del colore,"色シェーディング, <不均一性>カラーシェーディング",색 불균일성,niejednorodność barwy,não-uniformidade da cor,彩色不均匀性
808-02-02,colour reproduction error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-02,خطأ في إعادة إنتاج اللون,"Farbwiedergabeabweichung, f",colour reproduction error,error de reproducción de color,"erreur de reproduction de la couleur, f",errore di riproduzione del colore,色再現誤差,색 재생 오차,błąd odtwarzania barwy,erro de reprodução da cor,彩色重现误差
808-02-03,luminance compression ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-03,نسبة ضغط الاضاءة,"Luminanz-Kompressionsverhältnis, n",luminance compression ratio,factor de compresión de luminancia,"rapport de compression de (la voie) luminance, m",fattore di compressione della luminanza,白圧縮率,휘도 압축비발광 압축비,stosunek kompresji luminancji,relação de compressão da luminância,亮度压缩比
808-02-04,contrast range (in a video camera system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-04,مدى التباين (في نظام المصورة المرئية),"Kontrastumfang, <bei einem Videokamerasystem> m",contrast range (in a video camera system),margen de contraste (en un sistema de cámaras de vídeo),"plage de contraste (dans un système de caméra vidéo), f",campo di regolazione del contrasto,"コントラストレンジ, <ビデオカメラシステムにおける>","명암 범위, 비디오 카메라 시스템",zakres kontrastu (w systemach kamer wizyjnych),gama de contraste (num sistema de câmara vídeo),"对比度范围, <用于摄像机系统>"
808-02-05,contrast transfer function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-05,وظيفة تحويل التباين,"Kontrast-Übertragungsfunktion, f",contrast transfer function,función de transferencia de contraste,"fonction de transfert de contraste, f",funzione di trasferimento del contrasto,コントラスト伝達関数,대비 전달 함수,funkcja przenoszenia kontrastu,função de transferência do contraste,对比度传递函数
808-02-06,dynamic range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-06,المدى الحركي,"Dynamikbereich, m",dynamic range,margen dinámico,"plage dynamique, f",campo della dinamica,ダイナミックレンジ,동적 범위,zakres dynamiki,gama dinâmica,动态范围
808-02-07,automatic focusing accuracy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-07,دقة التركيز الآلي,"Autofokus-Genauigkeit, f",automatic focusing accuracy,precisión de enfoque automático,"précision de la mise au point automatique, f",precisione di messa a fuoco automatica,自動合焦精度AF精度,자동초점 정확도,dokładność automatycznej regulacji ostrości,precisão da focagem automática,自动聚焦准确度
808-02-08,gamma compensation characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-08,خاصية تعويض غاما,"Gammaentzerrungs-Charakteristik, f",gamma compensation characteristic,característica de corrección de gama,"caractéristique de compensation gamma, f",caratteristica di compensazione del gamma,ガンマ（γ）特性,감마 보정 특성감마 보상 특성,charakterystyka kompensacji gamma,característica de compensação gama,伽马补偿特性
808-02-09,grey-scale non-purity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-09,عدم نقاوة درجات الرمادي,"Graukeilabweichung, fWeißgleichlaufabweichung, f",grey-scale non-puritywhite tracking error,error de seguimiento al blancono-pureza de la escala de grises,"non-pureté de l’échelle de gris, ferreur de tracking au blanc, f",errore di inseguimento nel bilanciamento del bianco,白トラッキング誤差色トラッキング,백색 트래킹 오차흰색 트래킹 오차중간 계조 불순물,błąd śledzenia bieli,erro de seguimento do branconão-pureza da escala de cinzento,灰度不纯度白色跟踪误差
808-02-10,limiting resolution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=808-02-10,دقة محدّدة,"Grenzauflösung, f",limiting resolution,resolución límite,"résolution limite, f",risoluzione limite,限界解像度,한계 해상도,rozdzielczość graniczna,resolução limite,极限分辨率
