term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
731-01-19,incoherence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-19,عدم التماسك,"Inkohärenz, f",incoherence,incoherencia,epäkoherenssi,incohérence (d'un rayonnement) f,incoerenza,インコヒーレンス,비간섭성,niespójność niekoherencja,incoerência (de uma radiação),inkoherens,非相干性
731-01-20,incoherent radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-20,إشعاع لا متماسك,"inkohärente Strahlung, f",incoherent radiation,radiación incoherente,epäkoherentti säteily,"rayonnement incohérent, m",radiazione incoerente,インコヒーレント放射,비간섭성 방사,promieniowanie niespójne promieniowanie niekoherentne,radiação incoerente,inkoherent strålning,非相干辐射
731-01-21,radiant energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-21,طاقة إشعاعية,"Strahlungsenergie, f",radiant energy,energía radiante,säteilyenergia,"énergie rayonnante, f",energia radiante,放射エネルギー,방사 에너지,energia promieniowaniaenergia promienista,energia radiante,strålningsenergi,辐射能量
731-01-22,radiant power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-22,قدرة إشعاعية,"Strahlungsleistung, fStrahlungsfluss, moptische Leistung, f",radiant poweroptical poweroptical fluxradiant flux,flujo ópticoflujo radiantepotencia ópticapotencia radiante,säteilyteho,"puissance rayonnante, fflux énergétique, mpuissance optique, f",potenza radiantepotenza otticaflusso otticoflusso radiante,放射パワー,방사 전력광전력광속방사속,moc promieniowaniamoc promienista moc optyczna,potência radiantefluxo energéticopotência óptica,strålningseffekt  strålningsflöde,辐射功率光功率光通量辐射通量
731-01-23,radiant intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-23,شدة الاشعاع,"Strahlstärke, f",radiant intensity,intensidad radiante,säteilyintensiteetti,"intensité énergétique, fintensité de rayonnement, f",intensità radiante,放射強度,방사 강도,natężenie promieniowania,intensidade energéticaintensidade de radiação,strålningsstyrka,辐射强度
731-01-24,radiance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-24,كثافة الدفق الضوئي,"Strahldichte, f",radiancebrightness (deprecated),luminosidad (obsoleto)radiación,radianssi,"luminance (énergétique), fbrillance (terme déconseillé dans ce sens) f",radianzabrillanza (da evitarsi),放射輝度,방사 휘도,luminancja energetyczna,radiância,radians,光亮度
731-01-25,irradiance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-25,إشعاعية,"Bestrahlungsstärke, f",irradianceintensity (deprecated),intensidad (obsoleto)irradiación,irradianssisäteilytysvoimakkuus,"éclairement (énergétique), m",irradianzaintensità (da evitarsi),放射照度,방사 조도,natężenie napromienienia,irradiância,irradians,辐照度
731-01-26,power flux density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-26,كثافة تدفق القدرةكثافة فيض القدرة,"Leistungsflussdichte, fStrahlungsflussdichte, f",power flux densityradiant flux density,densidad de flujo de potenciadensidad de flujo radiante,säteilytehon tiheys,"puissance surfacique, <d'une onde électromagnétique> fdensité surfacique de puissance, fDÉCONSEILLÉ: densité de flux de puissance, f",densità di flusso di potenzadensità di flusso radiante,電波密度電力束密度,전력속 밀도,"gęstość mocy promieniowania, f",densidade de fluxo energéticopotência surfácica,effekttäthet,功率通量密度辐照功率密度
731-01-27,intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-27,شدة المجال,".....ABGELEHNT: Intensität, f",intensity,intensidad,intensiteetti,".....DÉCONSEILLÉ: intensité, f",intensità,強度,강도,intensywność (promieniowania),intensidade,,光强强度
731-01-28,radiant emittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-28,الانبعاثية الاشعاعية اخراج اشعاعي,"flächenbezogene Ausstrahlung, f",radiant emittanceradiant exitance,emisión radiantesalida radiante,säteilyemittanssisäteilyeksitanssi,"exitance (énergétique), f",emittenza radiantepotere emissivo radiante,放射放散度,방사 발산도,emitancja energetyczna egzytancja energetyczna,exitância (energética)emitância,utstrålningstäthet,辐射密度
