term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sr,sv,zh
841-21-01,temperature field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-01,مجال الحرارة,"Temperaturfeld, n",temperature field,campo de temperatura,"champ de température, m",campo di temperatura,温度場,온도장,pole temperatury,campo de temperatura,"температурно поље, с јд",temperaturfält,温度场
841-21-02,isothermal surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-02,سطح تساوي الحرارة,"isotherme Oberfläche, f",isothermal surface,superficie isotérmica,"surface isotherme, f",superficie isotermica,等温面,등온면,powierzchnia izotermiczna,superfície isotérmica,"изотермна површина, ж јд",isotermyta,等温面
841-21-03,temperature gradient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-03,تدرّج درجة الحرارة,"Temperaturgradient, m",temperature gradient,gradiente de temperatura,"gradient de température, m",gradiente di temperatura,温度勾配,온도 기울기온도 구배,gradient temperatury,gradiente de temperatura,"температурни градијент, м јд",temperaturgradient,温度梯度
841-21-04,(quantity of) heat,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-04,كمية الحرارة,"Wärme, fWärmemenge, f",(quantity of) heat,(cantidad de) calor,"(quantité de) chaleur, f",(quantità di) calore,熱量,열량,ilość ciepła ciepło,(quantidade de) calor,"количина топлоте, ж јд",värmemängd,热量
841-21-05,heat conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-05,توصيل حراري,"Wärmeleitung, f",heat conductionthermal conduction,conducción térmica,"conduction thermique, f",conduzione del calore,熱伝導,열전도,przewodzenie ciepła kondukcja ciepła,condução térmica,"провођење топлоте, с јд",värmeledning,热传导
841-21-06,heat convection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-06,نقل حراري,"Wärmekonvektion, f",heat convectionthermal convection,convección (térmica),"convection (thermique), f",convezione del calore,熱対流,열대류,konwekcja ciepła unoszenie ciepła,convecção (térmica),"топлотна конвекција, ж јд",(värme)konvektionvärmekonvektion,热对流
841-21-07,free convection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-07,نقل حر,"freie Konvektion, fnatürliche Konvektion, f",free convectionnatural convection,convección natural,"convection naturelle, f",convezione libera,自然対流,자유 대류자연 대류,konwekcja swobodna konwekcja naturalna,convecção natural,"природна конвекција, ж јд",naturlig konvektionegenkonvektion,自然对流
841-21-08,forced convection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-08,نقل إجباري,"verstärkte Konvektion, f",forced convection,convección forzada,"convection forcée, f",convenzione forzata,強制対流,강제대류,konwekcja wymuszona,convecção forçada,"принудна конвекција, ж јд",forcerad konvektion,强迫对流
841-21-09,thermal radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-09,إشعاع حراري,"Wärmestrahlung, f",thermal radiation,radiación térmica,"rayonnement thermique, m",emissione di energia,熱放射,열복사열방사,promieniowanie cieplne,radiação térmica,"топлотно зрачење, с јд",värmestrålning,热辐射
841-21-10,heat transfer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=841-21-10,انتقال الحرارة,"Wärmeübertragung, f",heat transfer,transferencia de calor,"transfert de chaleur, mtransfert thermique, m",trasferimento di calore,伝熱,열전달,wymiana ciepła,transferência de calortransferência térmica,"пренос топлоте, м јд",värmeöverföring,传热
