term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
881-01-01,radiology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-01,طب إشعاعى ( علم الأشعة),,radiology,radiología,"radiologie, f",radiologia,放射線学,방사선학,radiologia,radiologia,radiologi,放射学
881-01-02,"roentgenology, US",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-02,علم أشعة رونتجن,,"roentgenology, US",roentgenología,.....,roentgenologia,X 線学,"뢴트겐 선학, US",rentgenologia,roentgenologia,röntgenologi,X射线学
881-01-03,nuclear medicine,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-03,طب نووي,,nuclear medicine,medicina nuclear,"médecine nucléaire, f",medicina nucleare,核医学,핵의학,medycyna nuklearna,medicina nuclear,nuklearmedicin,核医学
881-01-04,radiation physics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-04,فيزياء إشعاعية,,radiation physics,física de las radiaciones,"physique des rayonnements, f",fisica delle radiazioni,放射線物理学,방사선 물리학,fizyka radiacyjna,física das radiações,strålningsfysik,辐射物理学
881-01-05,radiological physics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-05,فيزياء الطب الإشعاعى,,radiological physics,física radiológica,"radiophysique, fphysique radiologique, f",fisica radiologica,放射線物理学,방사선 물리학,fizyka radiologiczna,física radiológica,radiofysik,放射物理学
881-01-06,radiation biology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-06,بيولوجيا (علم الأحياء)  الإشعاعية,,radiation biology,radiobiología,"radiobiologie, f",radiobiologia,放射線生物学,방사선 생물학,radiobiologia,radiobiologia,strålningsbiologiradiobiologi,放射生物学
881-01-07,biophysics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-07,فيزياء حيوية,,biophysics,biofísica,"biophysique, f",biofisica,生物物理学,생물물리학,biofizyka,biofísica,biofysik,生物物理学
881-01-08,medical radiology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-08,علم الاشعاع الطبي,,medical radiology,radiología médica,"radiologie médicale, f",radiologia medica,医用放射線学,의료 방사선학방사선의학,radiologia medyczna,radiologia médica,medicinsk radiologi,医用放射学
881-01-09,diagnostic radiology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-09,طب إشعاعي تشخيصي,,diagnostic radiology,diagnóstico radiológicoradiodiagnóstico,"radiodiagnostic, m",radiodiagnostica,診断放射線医学,진단 방사선학,radiodiagnostyka,radiodiagnóstico,diagnostisk radiologi,放射诊断学
881-01-10,radiotherapy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=881-01-10,علاج بالأشعة,,radiotherapy,radioterapia,"radiothérapie, f",radioterapia,放射線治療（法）,방사선 치료방사선 요법,radioterapia,radioterapia,radioterapi  strålbehandling,放射治疗
