term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
395-03-22,capacitive ionization chamber,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-22,,"Kondensatorkammer, f",capacitive ionization chamber,"cámara de ionización capacitiva, f","chambre d’ionisation capacitive, f",camera di ionizzazione (a scarica) capacitiva,容量性電離箱,용량성 이온화 실용량성 전리함,"komora jonizacyjna kondensatorowa, f",câmara de ionização capacitiva,电容电离室
395-03-23,electret ionization chamber,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-23,,"Elektret-Ionisationskammer, f",electret ionization chamber,"cámara de ionización de electros, f","chambre d’ionisation à électret, f",comera di ionizzazione ed elettrete,エレクトレット電離箱,일렉트릿 이온화 실일렉트릿 전리함,"komora jonizacyjna elektretowa, f",câmara de ionização de eletreto,驻极体电离室
395-03-24,counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-24,,"Zählrohr, n",counter tube,"tubo contador, m","tube compteur, m",tubo contatore,計数管,계수관,"licznik promieniowania, m",tubo contador,计数管
395-03-25,proportional counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-25,,"Proportionalzählrohr, n",proportional counter tube,"tubo contador proporcional, m","tube compteur proportionnel, m",tubo contatore proporzionale,比例計数管,비례 계수관,"licznik promieniowania proporcjonalny, m",tubo contador proporcional,正比计数管
395-03-26,boron trifluoride proportional counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-26,,"Bortrifluorid-Proportionalzählrohr, n",boron trifluoride proportional counter tube,"tubo contador proporcional de trifluoruro de boro, m","tube compteur proportionnel à trifluorure de bore, m",tubo contatore proporzionale al trifluoruro di boro,ＢＦ３比例計数管,3불화 붕소비례 계수관,"licznik promieniowania z trójfluorkiem boru, m",tubo contador proporcional de trifluoreto de boro,三氟化硼正比计数管
395-03-27,boron lined counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-27,,"Borzählrohr, n",boron lined counter tube,"tubo contador de depósito de boro, m","tube compteur à dépôt de bore, m",tubo contatore a deposito di boro,ほう素被覆計数管,붕소 도료 계수관,"licznik z pokryciem borowym, m",tubo contador com revestimento de boro,涂硼计数管
395-03-28,helium counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-28,,"Helium-3-Zählrohr, n",helium counter tube,"tubo contador de helio, m","tube compteur à hélium, m",tubo contatore ad elio,ヘリウム計数管,헬륨 계수관,"licznik helowy, m",tubo contador de hélio,氦计数管
395-03-29,recoil nuclei counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-29,,"Rückstoßkern-Zählrohr, n",recoil nuclei counter tube,"tubo contador de núcleos de retroceso, m","tube compteur à noyaux de recul, m",tubo contatore a nuclei di rinculo,反跳核計数管,반동 원자핵 계수관리코일 원자핵 계수관,"licznik z wykorzystaniem jąder odrzutu, m",tubo contador de núcleos de recuo,反冲核计数管
395-03-30,Geiger-Müller counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-30,,"Geiger-Müller-Zählrohr, n",Geiger-Müller counter tube,"tubo contador de Geiger-Muller, m","tube compteur de Geiger-Muller, m",turbo contatore Geiger-Muller,ガイガーミュラー計数管,가이거뮐러 계수관,"licznik Geigera-Müllera, m",tubo contador de Geiger-Müller,盖革-米勒计数管
395-03-31,self-quenched counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-31,,"selbstlöschendes Zählrohr, n",self-quenched counter tube,"tubo contador de autocorte, m","tube compteur autocoupeur, m",tubo contatore autospegnente,自己消滅形計数管,자체 소멸 계수관,"licznik samogaszący, m",tubo contador autocortador,自猝灭计数管
395-03-32,thin wall counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-32,,"dünnwandiges Zählrohr, n",thin wall counter tube,"tubo contador de pared delgada, m","tube compteur à paroi mince, m",tubo contatore a parete sottile,薄壁形計数管,박막 계수관,"licznik cienkościenny, m",tubo contador de parede fina,薄壁计数管
395-03-33,fission counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-33,,"Spaltzählrohr, n",fission counter tube,"tubo contador de fisión, m","tube compteur à fission, m",tubo contatore a fissione,核分裂計数管,핵분열 계수관,"licznik rozszczepieniowy, m",tubo contador de fissão,裂变计数管
395-03-34,liquid counter tube,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-34,,"Becherzählrohr, n",liquid counter tube,"tubo contador líquido, m","tube compteur à jupe, m",tubo contatore per liquidi,液体計数管,액체계수관,"licznik aktywności cieczy, m",tubo contador de líquidos,液体计数管
395-03-35,semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-35,,"Halbleiterdetektor, m",semiconductor detector,"detector de semiconductor, m","détecteur semiconducteur, mDÉCONSEILLÉ: semicteur, m",rivelatore a semiconduttore,半導体検出器,반도체 검출기,"detektor półprzewodnikowy, m",detetor semicondutor,半导体探测器
395-03-36,surface barrier detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-36,,"Oberflächensperrschichtdetektor, m",surface barrier detector,"detector de barrera de superficie, m","détecteur à barrière de surface, m",rivelatore (a semiconduttore) a barriera superficiale,表面障壁形検出器,표면 장벽형 검출기,"detektor półprzewodnikowy z barierą powierzchniową, m",detetor de barreira de superfície,表面势垒探测器
395-03-37,diffused junction detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-37,,"Detektor mit diffundierter Sperrschicht, m",diffused junction detector,"detector de unión difusa, m","détecteur à jonction diffusée, mDÉCONSEILLÉ: semicteur à jonction diffusée, m",rivelatore (a semiconduttore) a giunzione diffusa,拡散接合形検出器,확산 접합 검출기,"detektor półprzewodnikowy dyfuzyjny, m",detetor de junção por difusão,扩散结探测器
395-03-38,implanted junction detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-38,,"Detektor mit implantierter Sperrschicht, m",implanted junction detector,"detector de unión implantada, m","détecteur à jonction implantée, mDÉCONSEILLÉ: semicteur à jonction implantée, m",rivelatore (a semiconduttore) a giunzione impiantata,注入接合形検出器,주입 접합형 검출기,"detektor implantacyjny, m",detetor de junção implantada,注入结探测器
395-03-39,compensated semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-39,,"Kompensations-Halbleiterdetektor, mPIN-Detektor, m",compensated semiconductor detectorPIN detector,"detector de semiconductor compensado PIN, mdetector de solapa, m","détecteur semiconducteur compensé, mdétecteur pin, mDÉCONSEILLÉ: semicteur compensé, m",rivelatore a semiconduttore compensatorilevatore PIN,補償形半導体検出器,보상형 반도체 검출기,"detektor półprzewodnikowy skompensowany, mdetektor typu P i N, m",detetor semicondutor compensadodetetor pin,补偿型半导体探测器
395-03-40,lithium drifted semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-40,,"Lithium-gedrifteter Halbleiterdetektor, m",lithium drifted semiconductor detector,"detector de semiconductor compensado de litio, m","détecteur semiconducteur compensé au lithium, mDÉCONSEILLÉ: semicteur compensé au lithium, m",rivelatore a semiconduttore a migrazione di litio,リチウムドリフト形半導体検出器,리튬 드리프트형 반도체 검출기,"detektor półprzewodnikowy skompensowany litem, m",detetor semicondutor compensado com lítio,锂漂移半导体探测器
395-03-41,amplifying semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-41,,"Halbleiterdetektor mit innerer Verstärkung, m",amplifying semiconductor detector,"detector de semiconductor de amplificación interna, m","détecteur semiconducteur à amplification interne, mDÉCONSEILLÉ: semicteur à amplification interne, m",rivelatore a semiconduttore a moltiplicazione di carica,増幅形半導体検出器,증폭형 반도체 검출기,"detektor półprzewodnikowy wzmacniający, m",detetor semicondutor de amplificação interna,内放大半导体探测器
395-03-42,transmission semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-42,,"Transmissions-Halbleiterdetektor, m",transmission semiconductor detector,"detector de semiconductor por transmisión, m","détecteur semiconducteur à transmission, mDÉCONSEILLÉ: semicteur à transmission, m",rivelatore a semiconduttore a trasmissione,透過形半導体検出器,투과형 반도체 검출기,"detektor półprzewodnikowy transmisyjny, m",detetor semicondutor de transmissão,透射式半导体探测器
395-03-43,differential dE/dx semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-43,,"dE/dx-Halbleiterdetektor, m",differential dE/dx semiconductor detector,"detector de semiconductor diferencial dE/dx, m","détecteur semiconducteur différentiel dE/dx, mDÉCONSEILLÉ: semicteur différentiel dE/dx, m",rivelatore a semiconduttore differenziale dE/dϰ,ｄＥ／ｄｘ形半導体検出器,미분형 dE/dx 반도체 검출기,"detektor półprzewodnikowy dE/dx, m",detetor semicondutor diferencial dE/dx,dE/dx半导体探测器
395-03-44,totally depleted semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-44,,"Halbleiterdetektor mit völliger Ladungsträgerverarmung, m",totally depleted semiconductor detector,"detector de semiconductor en una zona empobrecida, m","détecteur semiconducteur à zone de déplétion totale, mDÉCONSEILLÉ: semicteur à zone de déplétion totale, m",rivelatore di semiconduttore a svuotamento totale,全空乏層形半導体検出器,완전 결핍형 반도체 검출기,"detektor półprzewodnikowy całkowicie zamknięty, m",detetor semicondutor de depleção total,全耗尽半导体探测器
395-03-45,boron coated semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-45,,"Halbleiterdetektor mit Borbelag, m",boron coated semiconductor detector,"detector de semiconductor de depósito de boro, m","détecteur semiconducteur à dépôt de bore, mDÉCONSEILLÉ: semicteur à dépôt de bore, m",rivelatore a semiconduttore a deposito di boro,ほう素塗布半導体検出器,붕소 도포형 반도체 검출기,"detektor półprzewodnikowy z pokryciem borowym, m",detetor semicondutor com revestimento de boro,涂硼半导体探测器
395-03-46,lithium coated semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-46,,"Halbleiterdetektor mit Lithiumbelag, m",lithium coated semiconductor detector,"detector de semiconductor de depósito de litio, m","détecteur semiconducteur à dépôt de lithium, mDÉCONSEILLÉ: semicteur à dépôt de lithium, m",rivelatore a semiconduttore a deposito di litio,リチウム塗布半導体検出器,리튬 도포형 반도체 검출기,"detektor półprzewodnikowy z pokryciem litowym, m",detetor semicondutor com revestimento de lítio,涂锂半导体探测器
395-03-47,fission semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-47,,"Halbleiter-Spaltdetektor, m",fission semiconductor detector,"detector de semiconductor de fisión, m","détecteur semiconducteur à fission, mDÉCONSEILLÉ: semicteur à fission, m",rivelatore a semiconduttore a fissione,核分裂半導体検出器,핵 분열 반도체 검출기,"detektor półprzewodnikowy rozszczepieniowy, m",detetor semicondutor de fissão,裂变半导体探测器
395-03-48,high purity semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-48,,"hochreiner Halbleiterdetektor, m",high purity semiconductor detector,"detector de semiconductor de alta pureza, m","détecteur semiconducteur à haute pureté, mDÉCONSEILLÉ: semicteur à haute pureté, m",rivelatore a semiconduttore ad alta purezza,高純度半導体検出器,고순도 반도체 검출기,"detektor półprzewodnikowy o wysokiej czystości, m",detetor semicondutor de alta pureza,高纯半导体探测器
395-03-49,radiation compensated semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-49,,"strahlungskompensierter Halbleiterdetektor, m",radiation compensated semiconductor detector,"detector de semiconductor compensado por radiación, m","détecteur semiconducteur compensé par rayonnement, mDÉCONSEILLÉ: semicteur compensé par rayonnement, m",rivelatore di radiazione a semiconduttore compensato,放射線補償形半導体検出器,방사선 보상 반도체 검출기,"detektor półprzewodnikowy kompensowany radiacyjnie, m",detetor semicondutor compensado por radiação,辐照掺杂半导体探测器
395-03-50,multi-junction semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-50,,"Halbleiterdetektor mit mehreren Sperrschichten, m",multi-junction semiconductor detector,"detector de semiconductor multiunión, m","détecteur semiconducteur multi-jonction, mDÉCONSEILLÉ: semicteur multi-jonction, m",rivelatore a semiconduttore a giunzioni multiple,マルチ接合形半導体検出器,다중 접합 반도체 검출기,"detektor półprzewodnikowy wielozłączowy, m",detetor semicondutor multijunção,多结型半导体探测器
395-03-51,planar semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-51,,"planarer Halbleiterdetektor, m",planar semiconductor detector,"detector de semiconductor plano, m","détecteur semiconducteur plan, mDÉCONSEILLÉ: semicteur plan, m",rivelatore a semiconduttore piano,プレーナ形半導体検出器,평면형 반도체 검출기,"detektor półprzewodnikowy planarny, m",detetor semicondutor planar,平面型半导体探测器
395-03-52,coaxial semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-52,,"koaxialer Halbleiterdetektor, m",coaxial semiconductor detector,"detector de semiconductor coaxial, m","détecteur semiconducteur coaxial, mDÉCONSEILLÉ: semicteur coaxial, m",rivelatore a semiconduttore coassiale,同軸形半導体検出器,동축형 반도체 검출기,"detektor półprzewodnikowy koaksjalny, m",detetor semicondutor coaxial,同轴型半导体探测器
395-03-53,guard-ring semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-53,,"Schutzring-Halbleiterdetektor, m",guard-ring semiconductor detector,"detector de semiconductor de anillo de guarda, m","détecteur semiconducteur à anneau de garde, mDÉCONSEILLÉ: semicteur à anneau de garde, m",rivelatore a semiconduttore ad anello di guardia,保護環付き半導体検出器,보호링 반도체 검출기가드링 반도체 검출기,"detektor półprzewodnikowy z pierścieniem ochronnym, m",detetor semicondutor com anel de guarda,保护环半导体探测器
395-03-54,mosaic semiconductor detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-54,,"Mosaik-Halbleiterdetektor, m",mosaic semiconductor detector,"detector de semiconductor de mosaico, m","détecteur semiconducteur mosaïque, mDÉCONSEILLÉ: semicteur mosaïque, m",rivelatore di semiconduttore a mosaico,モザイク半導体検出器,모자이크 반도체검출기,"detektor półprzewodnikowy mozaikowy, m",detetor semicondutor mosaico,镶嵌式半导体探测器
395-03-55,calorimetric detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-55,,"kalorimetrischer Detektor, m",calorimetric detector,"detector calorimétrico, m","détecteur calorimétrique, m",rivelatore calorimetrico,カロリメトリック検出器,열량 측정 검출기,"detektor kalorymetryczny, m",detetor calorimétrico,量热探测器
395-03-56,track detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-56,,"Spurendetektor, m",track detector,"detector de taza, m","détecteur de trace, m",rivelatore di tracce,飛跡検出器,비적 검출기,"detektor śladowy, m",detetor de traços,径迹探测器
395-03-57,well-type detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-57,,"Bohrlochdetektor, m",well-type detector,"detector de pared, m","détecteur à puits, m",rivelatore a pozzo,井戸形検出器,우물형 검출기,"detektor wnękowy, m",detetor de poço,井型探测器
395-03-58,nuclear emulsion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-58,,"Kernemulsion, f",nuclear emulsion,"emulsión nuclear, f","émulsion nucléaire, f",emulsione nucleare,原子核乳剤,원자핵 유제,"emulsja jądrowa, f",emulsão nuclear,核乳胶
395-03-59,scintillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-59,,"Szintillation, f",scintillation,"centelleo, m","scintillation, f",scintillazione,シンチレーション,섬광번쩍임,"scyntylacja, f",cintilação,闪烁
395-03-60,scintillation duration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-60,,"Szintillationsdauer, f",scintillation duration,"duración de un centelleo, f","durée d’une scintillation, f",durata di (una) scintillazione,シンチレーション継続時間,섬광 지속 시간,"czas trwania scyntylacji, m",duração de uma cintilação,闪烁持续时间
395-03-61,scintillation rise time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-61,,"Anstiegszeit der Szintillation, f",scintillation rise time,"tiempo de crecimiento de un centelleo, m","temps de montée d’une scintillation, m",tempo di salita di (una) scintillazione,シンチレーション立上り時間,섬광 상승 시간,"czas narastania scyntylacji, m",tempo de subida de uma cintilação,闪烁上升时间
395-03-62,scintillation fall time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-62,,"Abfallzeit der Szintillation, f",scintillation fall time,"tiempo de caída de un centelleo, m","temps de descente d’une scintillation, m",tempo di discesa di (una) scintillazione,シンチレーション立下り時間,섬광 강하 시간신틸레이션 강하 시간,"czas opadania scyntylacji, m",tempo de descida de uma cintilação,闪烁下降时间
395-03-63,scintillation decay time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-63,,"Abklingzeit der Szintillation, f",scintillation decay time,"tiempo de decaimiento de centelleo, m","temps de décroissance d’une scintillation, m",tempo di decadimento di (una) scintillazione,シンチレーション減衰時間,섬광 감쇠 시간,"czas zaniku scyntylacji, m",tempo de decaimento de uma cintilação,闪烁衰减时间
395-03-64,activator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-64,,"Aktivator, m",activator,"activador, m","activateur, m",attivatore,活性化物質,활성체,"aktywator, m",ativador,激活剂
395-03-65,wavelength shifter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-65,,"Wellenlängenschieber, m",wavelength shifter,"convertidor de longitud de onda, m","convertisseur de longueur d’onde, m",convertitore di lunghezza d’onda,波長シフタ,파장 변이재파장 시프터,"przetwornik długości fali, m",conversor de comprimento de onda,移波剂
395-03-66,"emission spectrum, <of a scintillator>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-66,,"Emissionsspektrum,  n","emission spectrum, <of a scintillator>","espectro de emisión,  m","spectre d’émission, <d’un scintillateur> m","spettro di emissione,","蛍光スペクトル, ＜シンチレータの＞","방출 스펙트럼, <섬광체>발광 스펙트럼, <섬광체>","widmo emisyjne,  n","espetro de emissão,","发射光谱, <闪烁体>"
395-03-67,"photon emission curve, <of a scintillator>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-67,,"Zeitverlauf der Photonenemission,  m","photon emission curve, <of a scintillator>","curva de emisión de fotones,  f","courbe d’émission de photons, <d’un scintillateur> f","curva di emissione fotonica,","光子放出曲線, ＜シンチレータの＞","광자 방출곡선, <섬광체>","krzywa fotoemisji,  f","curva de emissão de fotões,","光子发射曲线, <闪烁体>"
395-03-68,"energy conversion efficiency, <of a scintillator>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-68,,"Wirkungsgrad der Energieumwandlung,  m","energy conversion efficiency, <of a scintillator>","rendimiento de conversión de energía,  m","rendement énergétique de conversion, <d’un scintillateur> m","rendimento energetico di conversione,","エネルギー変換効率, ＜シンチレータの＞","에너지 변환 효율, <섬광체>","sprawność konwersji energii,  f","eficiência energética de conversão,","能量转换效率, <闪烁体>"
395-03-69,"conversion efficiency, <of a photocathode>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-69,,"Quantenausbeute,  f","conversion efficiency, <of a photocathode>","rendimiento de conversión, m","rendement de conversion, <d’une photocathode> m","rendimento di conversione,","量子効率, ＜光電陰極の＞","변환 효율, <광전음극>","sprawność konwersji,  f","eficiência de conversão,","转换效率, <光阴极>"
395-03-70,"spectral response curve, <of a photocathode>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-70,,"spektrale Ansprechfunktion,  f","spectral response curve, <of a photocathode>","curva de respuesta espectral,  f","courbe de réponse spectrale, <d’une photocathode> f","curva di risposta spettrale,","スペクトル応答曲線, ＜光電陰極の＞","분광 응답 곡선, <광전음극>","charakterystyka widmowa,  f","curva de resposta espetral,","光谱响应曲线, <光阴极>"
395-03-71,photocathode efficiency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-71,,"Wirkungsgrad einer Photokathode, m",photocathode efficiency,"sensibilidad de un fotocátodo, f","sensibilité d’une photocathode, f",efficienza di un fotocatodo,光電陰極効率,광전음극 효율,"wydajność fotokatody, f",eficiência de um fotocátodo,光阴极效率
395-03-72,response of a radiation measuring assembly,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-72,,"Ansprechvermögen einer Strahlungsmessanordnung, n",response of a radiation measuring assembly,"respuesta de un conjunto de medida de radiación, f","réponse d’un ensemble de mesure de rayonnement, f",risposta di un assieme di misura di radiazioni,放射線測定器の応答,방사선 측정기 응답,"odpowiedź układu mierzącego promieniowanie, f",resposta de um conjunto de medição de radiação,辐射测量装置响应
395-03-73,detector efficiency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-73,,"Ansprechwahrscheinlichkeit, f",detector efficiency,"rendimiento de un detector, m","rendement d’un détecteur, m",rendimento di un rivelatore,検出器効率,검출기 효율,"sprawność detektora, f",eficiência de um detetor,探测器效率
395-03-74,detection efficiency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-74,,"Nachweiswahrscheinlichkeit, f",detection efficiencyinstrument efficiency,"rendimiento de detección, m","rendement de détection, mrendement d’un instrument de mesure, m",efficienza di rivelazionerendimento di uno strumento,検出効率,"검출 효율, <광전음극>탐지 효율, <광전음극>","sprawność detekcji, f",eficiência de deteçãoeficiência de um instrumento,探测效率
395-03-75,wall effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-75,,"Wandeffekt, m",wall effect,"efecto pared, m","effet de paroi, m",effetto parete,壁効果,벽 효과,"efekt ścianki, m",efeito de parede,壁效应
395-03-76,"residual current, <of a detector>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-76,,"Reststrom,  m","residual current, <of a detector>","corriente residual,  m","courant résiduel, <d’un détecteur> m","corrente residua,","残留電流, ＜検出器の＞","잔류 전류, <검출기>","prąd szczątkowy,  m","corrente residual,","剩余电流, <探测器>"
395-03-77,"saturation current, <in an ionization chamber>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-77,,"Sättigungsstrom,  m","saturation current, <in an ionization chamber>","corriente de saturación,  f","courant de saturation, <dans une chambre d’ionisation> m","corrente di saturazione,","飽和電流, ＜電離箱の＞","포화 전류, <전리 실>","prąd nasycenia,  m","corrente de saturação,","饱和电流, <电离室>"
395-03-78,"saturation voltage, <in an ionization chamber>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-78,,"Sättigungsspannung,  f","saturation voltage, <in an ionization chamber>","tensión de saturación,  f","tension de saturation, <dans une chambre d’ionisation> f","tensione di saturazione,","飽和電圧, ＜電離箱の＞","포화 전압, < 전리 실>","napięcie nasycenia,  n","tensão de saturação,","饱和电压, <电离室>"
395-03-79,"saturation curve, <in a current ionization chamber>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-79,,"Sättigungskurve,  f","saturation curve, <in a current ionization chamber>","curva de saturación,  f","courbe de saturation, <dans une chambre d’ionisation à courant> f","curva di saturazione,","飽和曲線, ＜電流電離箱の＞","포화 곡선, <전류 전리실>","krzywa nasycenia,  f","curva de saturação,","饱和曲线, <电流电离室>"
395-03-80,Bragg-Gray cavity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-80,,"Bragg-Gray-Hohlraum, m",Bragg-Gray cavity,"cavidad de Bragg-Gray, f","cavité de Bragg-Gray, f",cavità di Bragg-Gray,ブラッググレイ空洞,브래그 그레이 공동,"wnęka Bragga-Graya, f",cavidade de Bragg-Gray,布拉格-戈瑞空腔
395-03-81,Townsend avalanche,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-81,,"Townsend-Lawine, f",Townsend avalanche,"avalancha de Towsend, f","avalanche de Townsend, f",scarica alla Townsend,タウンゼントなだれ,타운센드 붕괴,"wyładowanie Towsenda, n",avalancha de Townsend,汤森雪崩
395-03-82,"end effect, <of a counter>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-82,,"Endeffekt,  m","end effect, <of a counter>","efecto terminal,  m","effet de bout, <d’un compteur> m","effetto ai bordi,","端効果, ＜計数管の＞","단말 효과, <계수기>","efekt brzegowy,  m","efeito de extremidade,","边缘效应, <计数管>"
395-03-83,proportional region,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-83,,"Proportionalbereich, m",proportional region,"región proporcional, f","région de proportionnalité, f",regione di proporzionalità,比例領域,비례 영역,"obszar proporcjonalności, m",região de proporcionalidade,正比区
395-03-84,region of limited proportionality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-84,,"beschränkter Proportionalbereich, m",region of limited proportionality,"región de proporción limitada, f","région de proportionnalité limitée, f",regione di proporzionalità limitata,制限比例領域,제한 비례 영역,"obszar ograniczonej proporcjonalności, m",região de proporcionalidade limitada,有限正比区
395-03-85,Geiger-Müller region,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-85,,"Geiger-Müller-Bereich, mAuslösebereich, m",Geiger-Müller region,"región  Geiger-Müller, f","région de Geiger-Müller, f",regione di Geiger-Muller,ガイガーミュラー領域,가이거ㆍ뮐러 영역,"zakres Geigera-Müllera, m",região de Geiger-Müller,盖革-米勒区
395-03-86,Geiger-Müller threshold,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-86,,"Geiger-Müller-Schwellenspannung, f",Geiger-Müller threshold,"umbral Geiger-Müller, f","seuil de Geiger-Müller, m",soglia di Geiger-Muller,ガイガーミュラー領域のしきい値,가이거ㆍ뮐러 임계값,"próg Geigera-Müllera, m",limiar de Geiger-Müller,盖革-米勒阈
395-03-87,"characteristic curve, <of a radiation detector>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-87,,"Kennlinie,  f","characteristic curve, <of a radiation detector>","curva característica,  f","courbe caractéristique, <d’un détecteur de rayonnement> f","curva caratteristica,","特性曲線, ＜放射線検出器の＞","특성 곡선, <방사선 검출기>","charakterystyka,  f","curva característica,","特性曲线, <辐射探测器>"
395-03-88,plateau,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-88,,"Plateau, n",plateau,"plateau, m","palier, m",plateau,プラトー,플래토,"plato, n",patamar,坪
395-03-89,plateau relative slope,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-89,,"relative Plateausteigung, f",plateau relative slope,"pendiente relativa de un plateau, f","pente du palier, f",pendenza del plateau,相対プラトー傾斜,상대 플래토 경사상대 플래토 구배율,"nachylenie względne plato, n",declive do patamar,坪斜
395-03-90,quenching,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-90,,"löschen, Verb",quenching,"ruptura, f","coupure, f",spegnimento,クエンチング,담금질퀜칭소지,"gaszenie, n",amortecimento,猝灭
395-03-91,discriminator curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-91,,"Diskriminatorkurve, f",discriminator curve,"curva de discriminación, f","courbe de discrimination, f",curva di discriminazione,ディスクリミネータ曲線,판별 곡선,"wykres dyskryminacji, n",curva de discriminação,甄别器曲线
395-03-92,Compton continuum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-92,,"Compton-Kontinuum, n",Compton continuum,"espectro Compton continuo, ms","spectre continu Compton, m",(spettro) continuo Compton,コンプトン連続部,컴푸톤 연속,"widmo Comptona, n",espetro contínuo de Compton,康普顿连续谱
395-03-93,photoelectric peak,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-03-93,,"Photolinie, f",photoelectric peakphotopeak,"pico fotoeléctrico, mfotopico, m","pic photoélectrique, mphotopic, m",picco fotoelettrico,光電ピーク,광전 피크광전 첨두,"pik fotoelektryczny, m",pico fotoelétrico,光电峰
