term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,zh
395-01-22,fission spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-22,,"Spaltspektrum, n",fission spectrum,"espectro de fisión, m","spectre de fission, m",spettro di fissione,核分裂スペクトル,핵 분열 스펙트럼,"widmo rozszczepienia, n",espetro de fissão,裂变谱
395-01-23,"cross-section, <nuclear>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-23,,"Wirkungsquerschnitt, m","cross-section, <nuclear>","sección eficaz,  f","section efficace, <nucléaire> f","sezione d'urto,","断面積, <核＞","단면적, <원자력>","przekrój czynny,  m","secção eficaz,","截面, <核的>"
395-01-24,attenuation coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-24,,"Schwächungskoeffizient, m",attenuation coefficient,"coeficiente de atenuación, m","coefficient d’atténuation, m",coefficiente di attenuazione,減衰係数減弱係数,감쇠 계수,"współczynnik osłabienia, m",coeficiente de atenuação,衰减系数
395-01-25,attenuation factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-25,,"Schwächungsfaktor, m",attenuation factor,"factor de atenuación, m","facteur d’atténuation, m",fattore di attenuazione,減衰率減弱率,감쇠율,"czynnik osłabienia, m",fator de atenuação,衰减因数
395-01-26,absorption coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-26,,"Absorptionskoeffizient, m",absorption coefficient,"coeficiente de absorción, m","coefficient d'absorption, m",coefficiente di assorbimento,吸収係数,흡수 계수,"współczynnik pochłaniania, mwspółczynnik absorpcji, m",coeficiente de absorção,吸收系数
395-01-27,total linear stopping power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-27,,"lineares Bremsvermögen, n",total linear stopping power,"poder de frenado lineal total, m","pouvoir d’arrêt linéique total, m",potere frenante lineico totale,全線阻止能,총 선 저지능,"zdolność liniowa hamowania całkowitego, f",poder de travagem linear total,总线阻止本领
395-01-28,linear collision stopping power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-28,,"lineares Stoßbremsvermögen, n",linear collision stopping power,"poder de frenado lineal por colisiones, m","pouvoir d’arrêt linéique par collisions, m",potere frenante lineico per urti,線衝突阻止能,선 충돌 저지능,"zdolność liniowa hamowania zderzeniowego, f",poder de travagem linear por colisões,线碰撞阻止本领
395-01-29,linear radiation stopping power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-29,,"lineares Strahlungsbremsvermögen, n",linear radiation stopping power,"poder de frenado lineal por radiación, m","pouvoir d’arrêt linéique par rayonnement, m",potere frenante lineico per irraggiamento,線放射阻止能,선 방사 저지능,"zdolność liniowa hamowania radiacyjnego, f",poder de travagem linear por radiações,线辐射阻止本领
395-01-30,linear energy transfer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-30,,"lineares Energieübertragungsvermögen, n",linear energy transfer linear energy transfer coefficientLET,"transferencia lineal de energía, m","transfert d’énergie linéique, mTEL, m",trasferimento lineico di energiacoefficiente di trasferimento lineico di energia,線エネルギー付与,선 에너지 전달,"przekazanie energii liniowe, nLET,",transferência linear de energia,传能线密度
395-01-31,mean energy expended per ion pair formed,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-31,,"mittlerer Energieaufwand zur Bildung eines Ionenpaares,  m",mean energy expended per ion pair formed,"energía media perdida por formación de pares de iones,  f","perte moyenne d’énergie par paire d’ions formée, <dans une substance> f",energia media per coppia di ioni formata,W値,이온쌍 생성당 평균 소요에너지,"energia średnia wytwarzania pary jonów,  f",perda média de energia por par de iões formado,离子对形成平均消耗能
395-01-32,exposure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-32,,"Exposition, fStrahlenexposition, fStandard-Ionendosis, f",exposure,"exposición, f","exposition, f",esposizione,照射線量,피폭노출,"dawka ekspozycyjna, fekspozycja, f",exposição,照射量
395-01-33,roentgen,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-33,,"Röntgen, n",roentgen,"roetgen, m","röntgen, m",roentgen,レントゲン,뢴트겐,"rentgen, m",roentgen,伦琴
395-01-34,energy imparted,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-34,,"übertragene Energie, f",energy imparted,"energía impartida, f","énergie communiquée, f",energia impartita,付与されたエネルギー,부여된 에너지,"energia przekazana,  f",energia comunicada,授予能授能
395-01-35,absorbed dose,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-35,,"Energiedosis, f",absorbed dose,"dosis absorbida, f","dose absorbée, f",dose assorbita,吸収線量,흡수 전량,"dawka pochłonięta, f",dose absorvida,吸收剂量
395-01-36,kerma,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-36,,"Kerma, f",kerma,"kerma, m","kerma, m",kerma,カーマ,커마,"kerma, f",kerma,比释动能
395-01-37,sievert,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-37,,"Sievert, n",sievert,"sievert, m","sievert, m",sievert,シーベルト,시버트,"siwert, m",sievert,希沃特希
395-01-38,rem,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=395-01-38,,"Rem, n",rem,"rem, m","rem, m",rem,レム,렘,"rem, m",rem,雷姆
