term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sl,sr,sv,zh
321-01-01,instrument transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-01,مقاومة ربط التيار,"Messwandler, m",instrument transformer,transformador de medida,mittamuuntaja,"transformateur de mesure, m",trasformatore di misura,計器用変圧器,계기용 변성기,хэмжүүрийн трансформатор,przekładnik,transformador de medição,измерительный трансформатор,instrumentni transformator,"мерни трансформатор, м јд",mättransformator,互感器
321-01-02,instrument autotransformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-02,محول قياس,"Messwandler in Sparschaltung, m",instrument autotransformer,autotransformador de medida,säästökytketty mittamuuntaja,"autotransformateur de mesure, m",autotrasformatore di misura,計器用単巻変成器,계기용 단권 변압기,хэмжүүрийн автотрансформатор,przekładnik autotransformatorowy,autotransformador de medição,измерительный автотрансформатор,instrumentni avtotransformator,"мерни аутотрансформатор, м јд",autokopplad mättransformator,自耦式互感器
321-01-03,combined transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-03,محول قياس ذاتي,"kombinierter Messwandler, m",combined transformer,transformador combinado,yhdistetty virta- ja jännitemuuntaja,"transformateur combiné, m",trasformatore cominato,複合変圧器,복합 변압기,хосолсон трансформатор,przekładnik kombinowany,transformador combinado,комбинированный трансформатор,kombinirani transformator,"комбиновани трансформатор, м јд",kombinerad mättransformator,组合互感器
321-01-04,primary winding (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-04,محول قياس مركب,"Primärwicklung (eines Stromwandlers), f",primary winding (of a current transformer),arrollamiento primario (de un transformador de intensidad),virtamuuntajan ensiökäämi,enroulement primaire (d'un transformateur de courant) m,"avvolgimento primario (di un trasformatore di
corrente",一次巻線（変流器の）変流器の一次巻線,"일차 권선, <전류 변성기>","анхдагч ороомог, <гүйдлийн трансформаторын>",uzwojenie pierwotne (przekładnika prądowego),enrolamento primário (de um transformador de corrente),"первичная обмотка, <трансформатора тока>",primarno navitje (tokovnika),"примарни намотај, <струјног трансформатора> м јд",primärlindning (hos strömtransformator),"一次绕组, <电流互感器的>"
321-01-05,primary winding (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-05,ملف ابتدائي (لمحول التيار),"Primärwicklung (eines Spannungswandlers), f",primary winding (of a voltage transformer),arrollamiento primario (de un transformador de tensión),jännitemuuntajan ensiökäämi,enroulement primaire (d'un transformateur de tension) m,"avvolgimento primario (di un trasformatore di
tensione",一次巻線（計器用変圧器の）計器用変圧器の一次巻線,"일차 권선, <전압 변성기>","анхдагч ороомог, <хүчдэлийн трансформаторын>",uzwojenie pierwotne (przekładnika napięciowego),enrolamento primário (de um transformador de tensão),"первичная обмотка, <трансформатора напряжения>",primarno navitje (napetostnika),"примарни намотај, <напонског трансформатора> м јд",primärlindning (hos spänningstransformator),"一次绕组, <电压互感器的>"
321-01-06,secondary winding (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-06,ملف ابتدائي (لمحول الجهد),"Sekundärwicklung (eines Stromwandlers), f",secondary winding (of a current transformer),arrollamiento secundario (de un transformador de intensidad),virtamuuntajan toisiokäämi,enroulement secondaire (d'un transformateur de courant) m,"avvolgimento secondario (di un trasformatore
di corrente)",二次巻線（変流器の）変流器の二次巻線,"이차 권선, <전류 변성기>","хоёрдогч ороомог, <гүйдлийн трансформаторын>",uzwojenie wtórne (przekładnika prądowego),enrolamento secundário (de um transformador de corrente),"вторичная обмотка, <трансформатора тока>",sekundarno navitje (tokovnika),"секундарни намотај, <струјног трансформатора> м јд",sekundärlindning (hos strömtransformator),"二次绕组, <电流互感器的>"
321-01-07,secondary winding (of a voltage trans-former),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-07,ملف ثانوي (لمحول التيار),"Sekundärwicklung (eines Spannungswandlers), f",secondary winding (of a voltage trans-former),arrollamiento secundario (de un transformador de tensión),jännitemuuntajan tosiokäämi,enroulement secondaire (d'un transformateur de tension) m,"avvolgimento secondario (di un trasformatore
di tensione)",二次巻線（計器用変圧器の）計器用変圧器の二次巻線,"이차 권선, <전압 변성기>","хоёрдогч ороомог, <хүчдэлийн трансформаторын>",uzwojenie wtórne (przekładnika napięciowego),enrolamento secundário (de um transformador de tensão),"вторичная обмотка, <трансформатора напряжения>",sekundarno navitje (napetostnika),"секундарни намотај, <напонског трансформатора> м јд",sekundärlindning (hos spänningstransformator),"二次绕组, <电压互感器的>"
321-01-08,secondary circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-08,ملف ثانوي (لمحول الجهد),"Sekundärkreis, m",secondary circuit,circuito secundario,ulkoinen toisiopiiri,"circuit secondaire, m",circuito secondario,二次回路,이차 회로,хоёрдогч хэлхээ,obwód wtórny,circuito secundário,вторичная цепь,sekundarni tokokrog,"секундарно коло, с јд",sekundärkrets,二次电路
321-01-09,primary current (of a current trans-former),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-09,تيار إبتدائى,"Primärstrom (eines Stromwandlers), m",primary current (of a current trans-former),intensidad primaria (de un transformador de intensidad),virtamuuntajan ensiövirta,courant primaire (d'un transformateur de courant) m,"corrente primaria (di un trasformatore di
corrente)",一次電流,"일차 전류, <전류 변성기>","анхдагч гүйдэл, <гүйдлийн трансформаторын>",prąd pierwotny (przekładnika prądowego),corrente primária (de um transformador de corrente),"первичный ток, <трансформатора тока>",primarni tok (tokovnika),"примарна струја, <струјног трансформатора> ж јд",primärström (hos strömtransformator),"一次电流, <电流互感器的>"
321-01-10,primary voltage (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-10,تيار ابتدائي (لمحول التيار),"Primärspannung (eines Spannungswandlers), f",primary voltage (of a voltage transformer),tensión primaria (de un transformador de tensión),jännitemuuntajan ensiöjännite,tension primaire (d'un transformateur de tension) f,"tensione primaria (di un trasformatore di
tensione)",一次電圧,"일차 전압, <전압 변성기>","анхдагч хүчдэл, <хүчдэлийн трансформаторын>",napięcie pierwotne (przekładnika napięciowego),tensão primária (de um transformador de tensão),"первичное напряжение, <трансформатора напряжения>",primarna napetost (napetostnika),"примарни напон, <напонског трансформатора> м јд",primärspänning (hos spänningstransformator),"一次电压, <电压互感器的>"
321-01-11,rated primary current (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-11,جهد ابتدائي (لمحول الجهد),"Bemessungs-Primärstrom (eines Stromwandlers), m",rated primary current (of a current transformer),intensidad primaria asignada (de un transformador de intensidad),mitoitusensiövirta,courant primaire assigné (d'un transformateur de courant) m,"corrente primaria nominale (di un
 trasformatore di corrente)",定格一次電流,"정격 일차 전류, <전류 변성기>","хэвийн анхдагч гүйдэл, <гүйдлийн трансформаторын>",prąd znamionowy pierwotny (przekładnika prądowego),corrente primária estipulada (de um transformador de corrente),"номинальный первичный ток, <трансформатора тока>",naznačeni primarni tok (tokovnika),"назначена примарна струја , <струјног трансформатора> ж јд",primär märkström,"额定一次电流, <电流互感器的>"
321-01-12,rated primary voltage (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-12,تيار ابتدائي اسمي (لمحول التيار),"Bemessungs-Primärspannung (eines Spannungswandlers), f",rated primary voltage (of a voltage transformer),tensión primaria asignada (de un transformador de tensión),mitoitusensiöjännite,tension primaire assignée (d'un transformateur de tension) f,"tensione primaria nominale (di un 
trasformatore di tensione)",定格一次電圧,"정격 일차 전압, <전압 변성기>","хэвийн анхдагч хүчдэл, <хүчдэлийн трансформаторын>",napięcie znamionowe pierwotne (przekładnika napięciowego),tensão primária estipulada (de um transformador de tensão),"номинальное первичное напряжение, <трансформатора напряжения>",naznačena primarna napetost (napetostnika),"назначени примарни напон , <напонског трансформатора> м јд",primär märkspänning,"额定一次电压, <电压互感器的>"
321-01-13,secondary current (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-13,جهد ابتدائي اسمي (لمحول الجهد),"Sekundärstrom (eines Stromwandlers), m",secondary current (of a current transformer),intensidad secundaria (de un transformador de intensidad),toisiovirta,courant secondaire (d'un transformateur de courant) m,"corrente secondaria (di un trasformatore
di corrente)",二次電流,"이차 전류, <전류 변성기>","хоёрдогч гүйдэл, <гүйдлийн трансформаторын>",prąd wtórny (przekładnika prądowego),corrente secundária (de um transformador de corrente),"вторичный ток, <трансформатора тока>",sekundarni tok (tokovnika),"секундарна струја , <струјног трансформатора> ж јд",sekundärström (hos strömtransformator),"二次电流, <电流互感器的>"
321-01-14,secondary voltage (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-14,تيار ثانوي (لمحول التيار),"Sekundärspannung (eines Spannungswandlers), f",secondary voltage (of a voltage transformer),tensión secundaria (de un transformador de tensión),toisiojännite,tension secondaire (d'un transformateur de tension) f,"tensione secondaria (di un trasformatore
di tensione)",二次電圧,"2차 전압, <전압 변성기>","хоёрдогч хүчдэл, <хүчдэлийн трансформаторын>",napięcie wtórne (przekładnika napięciowego),tensão secundária (de um transformador de tensão),"вторичное напряжение, <трансформатора напряжения>",sekundarna napetost (napetostnika),"секундарни напон , <напонског трансформатора> м јд",sekundärspänning (hos spänningstransformator),"二次电压, <电压互感器的>"
321-01-15,rated secondary current (of a current transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-15,جهد ثانوي (لمحول الجهد),"Bemessungs-Sekundärstrom (eines Stromwandlers), m",rated secondary current (of a current transformer),intensidad secundaria asignada (de un transformador de intensidad),mitoitustoisiovirta,courant secondaire assigné (d'un transformateur de courant) m,"corrente secondaria nominale (di un 
trasformatore di corrente)",定格二次電流,"정격 이차 전류, <전류 변성기>","хэвийн хоёрдогч гүйдэл, <гүйдлийн трансформаторын>",prąd znamionowy wtórny (przekładnika prądowego),corrente secundária estipulada (de um transformador de corrente),"номинальный вторичный ток, <трансформатора тока>",naznačeni sekundarni tok (tokovnika),"назначена секундарна струја , <струјног трансформатора> ж јд",sekundär märkström,"额定二次电流, <电流互感器的>"
321-01-16,rated secondary voltage (of a voltage transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-16,تيار ثانوي اسمي (لمحول التيار),"Bemessungs-Sekundärspannung (eines Spannungswandlers), f",rated secondary voltage (of a voltage transformer),tensión secundaria asignada (de un transformador de tensión),mitoitustoisiojännite,tension secondaire assignée (d'un transformateur de tension) f,"tensione secondaria nominale (di un 
trasformatore di tensione)",定格二次電圧,"정격 이차 전압, <전압 변성기>","хэвийн хоёрдогч хүчдэл, <хүчдэлийн трансформаторын>",napięcie znamionowe wtórne (przekładnika napięciowego),tensão secundária estipulada (de um transformador de tensão),"номинальное вторичное напряжение, <трансформатора напряжения>",naznačena sekundarna napetost (napetostnika),"назначени секундарни напон , <напонског трансформатора>м јд",sekundär märkspänning,"额定二次电压, <电压互感器的>"
321-01-17,actual transformation ratio of a current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-17,جهد ثانوي اسمي (لمحول الجهد),"tatsächliche Übersetzung eines Stromwandlers, f",actual transformation ratio of a current transformer,relación de transformación de un transformador de intensidad,virtamuuntajan todellinen muuntosuhde,"rapport de transformation d'un transformateur de courant, m","rapporto di trasformazione di un 
trasformatore di corrente",変流器の実変流比,전류변성기 실 변류비,гүйдлийн трансформаторын бодит трансформацлах коэффициент,przekładnia rzeczywista przekładnika prądowego,relação de transformação de um transformador de corrente,действительный коэффициент трансформации трансформатора тока,prestava tokovnika,"однос трансформације струјног трансформатора, м јд",verklig strömomsättning,电流互感器实际电流比
321-01-18,actual transformation ratio of a voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-18,نسبة التحويل الفعلية لمحول التيار,"tatsächliche Übersetzung eines Spannungswandlers, f",actual transformation ratio of a voltage transformer,relación de transformación de un transformador de tensión,jännitemuuntajan todellinen muuntosuhde,"rapport de transformation d'un transformateur de tension, m","rapporto di trasformazione di un 
trasformatore di tensione",計器用変圧器の実変圧比,전압 변성기 실변압비,хүчдэлийн трансформаторын бодит трансформацлах коэффициент,przekładnia rzeczywista przekładnika napięciowego,relação de transformação de um transformador de tensão,действительный коэффициент трансформации трансформатора напряжения,prestava napetostnika,"однос трансформације напонског трансформатора, м јд",verklig spänningsomsättning,电压互感器实际电压比
321-01-19,rated transformation ratio of a current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-19,نسبة التحويل الفعلية لمحول الجهد,"Bemessungsübersetzung eines Stromwandlers, f",rated transformation ratio of a current transformer,relación de transformación asignada de un transformador de intensidad,virtamuuntajan mitoitusmuuntosuhde,"rapport de transformation assigné d'un transformateur de courant, m","rapporto di trasformazione nominale di un
trasformatore di corrente",変流器の定格変流比,전류 변성기 정격변류비,гүйдлийн трансформаторын хэвийн трансформацлах коэффициент,przekładnia znamionowa przekładnika prądowego,relação de transformação estipulada de um transformador de corrente,номинальный коэффициент трансформации трансформатора тока,naznačena prestava tokovnika,"назначени однос трансформације струјног трансформатора, м јд",strömtransformators märkomsättning,电流互感器额定电流比
321-01-20,rated transformation ratio of a voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-20,نسبة التحويل الاسمية لمحول التيار,"Bemessungsübersetzung eines Spannungswandlers, f",rated transformation ratio of a voltage transformer,relación de transformación asignada de un transformador de tensión,jännitemuuntajan mitoitusmuuntosuhde,"rapport de transformation assigné d'un transformateur de tension, m","rapporto di trasformazione nominale di un
trasformatore di tensione",計器用変圧器の定格変圧比,전압 변성기 정격 변압비,хүчдэлийн трансформаторын хэвийн трансформацлах коэффициент,przekładnia znamionowa przekładnika napięciowego,relação de transformação estipulada de um transformador de tensão,номинальный коэффициент трансформации трансформатора напряжения,naznačena prestava napetostnika,"назначени однос трансформације напонског трансформатора, м јд",spänningstransformators märkomsättning,电压互感器额定电压比
321-01-21,current error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-21,نسبة التحويل الاسمية لمحول الجهد,"Strommessabweichung, f",current error,error de intensidad,virtavirhe,"erreur de courant, ferreur de rapport  (d'un transformateur de courant) f",errore di corrente,電流誤差,전류 오차,гүйдлийн алдаа,błąd prądowy,erro de corrente,токовая погрешность,tokovni pogrešek,"струјна грешка, ж јд",strömfel,电流误差
321-01-22,voltage error,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-22,خطأ التيار,"Spannungsmessabweichung, f",voltage error,error de tensión,jännitevirhe,"erreur de tension, ferreur de rapport  (d'un transformateur de tension) f",errore di tensione,電圧誤差,전압 오차,хүчдэлийн алдаа,błąd napięciowy,erro de tensão,погрешность напряжения,napetostni pogrešek,"напонска грешка, ж јд",spänningsfel,电压误差
321-01-23,phase displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-23,خطأ الجهد,"Phasenverschiebung, fFehlwinkel, m",phase displacement,desfase,kulmavirhe,"déphasage, m",errore d'angolo,位相変位,위상 변위,фазын шилжилт,błąd kątowy,desfasamentoerro de fase,угловая погрешность,fazni pogrešekkotni pogrešek,"фазна грешка, ж јд",vinkelfel,相位差
321-01-24,accuracy class,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-24,ازاحة الطور(فرق الطور ),"Genauigkeitsklasse (eines Messwandlers), f",accuracy class,clase de precisión,tarkkuusluokka,"classe de précision, f",classe di precisione,精度等級,정확도 등급,нарийвчлалын анги,klasa dokładności,classe de precisão,класс точности,razred točnosti,"класа тачности, ж јд",noggrannhetsklass,准确级
321-01-25,burden (of an instrument transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-25,درجة الدقة,"Bürde (eines Messwandlers), f",burden (of an instrument transformer),carga (de un transformador de medida),taakka,charge (d'un transformateur de mesure) f,prestazione (di un trasformatore di misura),負担,"부담, <전압 변성기>","ачаалал, <хэмжүүрийн трансформаторын>",obciążenie (przekładnika),carga (de um transformador de medição),"нагрузка, <измерительного трансформатора>",breme (instrumentnega transformatorja),"терет, <мерног трансформатора> м јд",börda (för mättransformator),"负荷, <互感器的>"
321-01-26,rated burden,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-26,حمل (لمحول قياس),"Bemessungsbürde, f",rated burden,carga asignada (de un transformador de medida)carga de precisión,mitoitustaakka,"charge assignée (d'un transformateur de mesure) fcharge de précision, f",prestazione nominale,定格負担,정격 부담,хэвийн ачаалал,obciążenie znamionowe (przekładnika),carga estipulada (de um transformador de medição),номинальная нагрузка,naznačeno breme,"назначени терет, м јд",märkbörda,额定负荷
321-01-27,rated output (of an instrument transformer),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-01-27,حمل مقنن,"Bemessungsleistung (eines Messwandlers), f",rated output (of an instrument transformer),potencia de salida asignada (de un transformador de medida),mitoitustoisioteho,"puissance de sortie assignée (d'un transformateur de mesure) fpuissance de précision, f","potenza nominale (di un trasformatore di
misura",定格出力,"정격 출력, <전압 변성기>","хэвийн гаралтын чадал, <хэмжүүрийн трансформаторын>",moc znamionowa (przekładnika),potência de saída estipulada (de um transformador de medição),"номинальная мощность, <измерительного трансформатора>",naznačena (izhodna) moč (instrumentnega transformatorja),"назначена снага , <мерног трансформатора> ж јд",märkuteffekt (för mättransformator),"额定输出, <互感器的>"
321-02-01,current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-01,خرج مقنن,"Stromwandler, m",current transformer,transformador de intensidad,virtamuuntaja,"transformateur de courant, m",trasformatore di corrente,変流器,전류 변성기,гүйдлийн трансформатор,przekładnik prądowy,transformador de corrente,трансформатор тока,tokovniktokovni transformator,"струјни трансформатор, м јд",strömtransformator,电流互感器
321-02-02,bushing type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-02,محول تيار,"Aufsteckstromwandler, m",bushing type current transformer,transformador de intensidad para pasatapas,rengasvirtamuuntaja,"transformateur de courant pour traversée, m","trasformatore di corrente incorporato nel
passante",ブッシング変流器,부싱형 전류 변성기,нэвтрэх оруулга хэлбэрийн гүйдлийн трансформатор,przekładnik prądowy przepustowy,transformador de corrente para travessia,встроенный трансформатор тока,nasadni tokovnik,"навлачни струјни трансформатор, м јдобухватни струјни трансформатор, м јд",genomföringsströmtransformator,套管式电流互感器
321-02-03,bus type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-03,محول تيار اجتيازي(نفاذ),"vollisolierter Aufsteckstromwandler, m",bus type current transformer,transformador de intensidad para paso de barras,kiskovirtamuuntaja,"transformateur de courant pour passage de barre, m",trasformatore di corrente a barra passante,バス変流器,버스형 전류 변성기,шинийн гүйдлийн трансформатор,przekładnik prądowy szynowy,transformador de corrente de barra passante,шинный трансформатор тока,zbiralnični tokovnik,"сабирнички струјни трансформатор, м јд",skenströmtransformator,母线式电流互感器
321-02-04,cable type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-04,محول التيار لقضبان التوصيل,"Kabelumbauwandler, m",cable type current transformer,transformador de intensidad para cables,kaapelivirtamuuntaja,"transformateur de courant pour câble, m",trasformatore di corrente a cavo passante,ケーブル変流器,케이블형 전류 변성기,кабелийн гүйдлийн трансформатор,przekładnik prądowy kablowy,transformador de corrente (de enfiar) para cabos,кабельный трансформатор тока,kabelski tokovnik,"кабловски струјни трансформатор , м јдобухватни струјни трансформатор, м јд",kabelströmtransformator,电缆式电流互感器
321-02-05,split core type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-05,محول تيار لكبل,"Zangenstromwandler, mAnlegestromwandler, m",split core type current transformer,transformador de intensidad abrible,avattavasydäminen virtamuuntaja,"transformateur de courant à circuit magnétique ouvrant, m",trasformatore di corrente a nucleo apribile,分割コア変流器,분할철심형 전류 변성기,хуваасан зүрхэвчтэй гүйдлийн трансформатор,przekładnik prądowy z otwieranym rdzeniem,transformador de corrente de abrir (para cabos),разъемный трансформатор тока,kleščni tokovnik,"струјна клешта, с јд",öppningsbar strömtransformator,分裂铁心电流互感器
321-02-06,bar primary type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-06,محول تيار ذو دارة مغناطيسية مفتوحة,"Schienenstromwandler, m",bar primary type current transformer,transformador de intensidad de barra incorporada,sauvavirtamuuntaja,"transformateur de courant à barre incorporée, m","trasformatore di corrente con primario a
barra",棒一次変流器,봉일차형 전류 변성기,саваа хэлбэрийн анхдагч ороомогтой гүйдлийн трансформатор,przekładnik prądowy prętowy,transformador de corrente de barra incorporada,стержневой трансформатор тока,palični tokovnik,"штапни струјни трансформатор, м јд",strömtransformator av stavtyp,单匝贯穿式电流互感器
321-02-07,bar primary bushing type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-07,محول تيار ذو قضيب ابتدائي,"Durchführungsstromwandler, m",bar primary bushing type current transformer,transformador de intensidad de tipo pasamuros,läpivientivirtamuuntaja,"transformateur de courant type traversée, m","trasformatore di corrente con primario a
passante",棒一次ブッシング変流器,봉일차 부싱형 전류 변성기,"саваа хэлбэрийн анхдагч ороомогтой, нэвтрэх хэлбэрийн гүйдлийн трансформатор",przekładnik prądowy prętowy typu przepustowego,transformador de corrente do tipo travessia,проходной стержневой трансформатор тока,skoznjiški tokovnik,"проводни струјни трансформатор, м јд",strömtransformator av genomföringstyp,单匝贯穿套管式电流互感器
321-02-08,support type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-08,محول تيار اجتيازي ذي قضيب ايتدائي,"Stützerstromwandler, m",support type current transformer,transformador de intensidad de tipo soporte,tukieristinvirtamuuntaja,"transformateur de courant type support de conducteur primaire, m",trasformatore di corrente di tipo portante,支持変流器,지지형 전류 변성기,тулгуур хэлбэрийн гүйдлийн трансформатор,przekładnik prądowy wsporczy,transformador de corrente tipo suporte,опорный трансформатор тока,podporni tokovnik,"потпорни струјни трансформатор, м јд",saknas,支柱式电流互感器
321-02-09,wound primary type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-09,محول تيار ذو دعامة,"Wickelstromwandler, m",wound primary type current transformer,transformador de intensidad de primario bobinado,ensiökäämitty virtamuuntaja,"transformateur de courant à primaire bobiné, m","trasformatore di corrente con primario
avvolto",巻一次変流器,일차권선형 전류 변성기,анхдагч ороомог нь ороодостой гүйдлийн трансформатор,przekładnik prądowy zwojnicowy,transformador de corrente com primário bobinado,катушечный трансформатор тока,tokovnik s primarnim navitjem,"струјни трансформатор са мотаним примаром, м јд",strömtransformator av spoltyp,线圈式电流互感器
321-02-10,fully insulated current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-10,محول تيار ذو ملف ابتدائي,"vollisolierter Stromwandler, m",fully insulated current transformer,transformador de intensidad con aislamiento total,täyseristetty virtamuuntaja,"transformateur de courant à isolation totale, m","trasformatore di corrente a isolamento
completo",完全絶縁変流器,완전절연 전류 변성기,бүрэн тусгаарласан гүйдлийн трансформатор,przekładnik prądowy z pełną izolacją,transformador de corrente com isolamento total,полностью изолированный трансформатор тока,popolno izolirani tokovnik,"потпуно изолован струјни трансформатор, м јд",fullisolerad strömtransformator,全绝缘电流互感器
321-02-11,extended rating type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-11,محول تيار معزول كلياً,"Stromwandler mit erweitertem Messbereich, mGroßbereichsstromwandler, m",extended rating type current transformer,transformador de intensidad de gama extendida,laajennetun virta-alueen muuntaja,"transformateur de courant à gamme étendue, m",trasformatore di corrente a gamma estesa,超過定格変流器,초과정격 전류 변성기,өргөтгөсөн үзүүлэлттэй гүйдлийн трансформатор,przekładnik prądowy o rozszerzonym zakresie,transformador de corrente de gama extensa,трансформатор тока расширенного диапазона,tokovnik z razširjenim območjem,"струјни трансформатор са проши-реним мерним опсегом, м јд",strömtransformator med utökat mätområde,扩大额定值的电流互感器
321-02-12,single-core type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-12,محول تيار ذو مجال موسع,"Einkernstromwandler, m",single-core type current transformer,transformador de intensidad de núcleo único,yksisydäminen virtamuuntaja,"transformateur de courant à noyau unique, m",trasformatore di corrente a nucleo singolo,単磁心変流器,단자심 전류 변성기,дан-зүрхэвчтэй гүйдлийн трансформатор,przekładnik prądowy jednordzeniowy,transformador de corrente com um só núcleo,трансформатор тока с одним магнитопроводом,enojedrni tokovnik,"струјни трансформатор са једним језгром, м јд",enkärnig strömtransformator,单铁心电流互感器
321-02-13,multi-core type current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-13,محول تيار ذو قلب (وحيد النواة),"Mehrkernstromwandler, m",multi-core type current transformer,transformador de intensidad de varios núcleos,monisydäminen virtamuuntaja,"transformateur de courant à plusieurs noyaux, m",trasformatore di corrente a più nuclei,複磁心変流器,다자심 전류 변성기,олон зүрхэвчтэй гүйдлийн трансформатор,przekładnik prądowy wielordzeniowy,transformador de corrente com vários núcleos,трансформатор тока с несколькими магнитопроводами,večjedrni tokovnik,"струјни трансформатор са више језгара, м јд",flerkärnig strömtransformator,多铁心电流互感器
321-02-14,compound-wound current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-14,محول تيار متعدد القلوب,"Stromwandler mit Zusatzmagnetisierung, m",compound-wound current transformer,transformador de intensidad compensado,ulkoisesti esimagnetoitu virtamuuntaja,"transformateur de courant compoundé, m","trasformatore di corrente con avvolgimento
compensatore",複巻き変流器,복권선 전류 변성기,нийлмэл ороомогтой гүйдлийн трансформатор,przekładnik prądowy z uzwojeniem korekcyjnym zasilanym z obcego źródła,transformador de corrente compensado,компенсированный трансформатор,kompaundirani tokovnik,"компаундовани струјни трансформатор, м јдструјни трансформатор са компензованом грешком, м јд",(separat) förmagnetiserad strömtransformator,复绕式电流互感器
321-02-15,auto-compound current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-15,محول تيار مركّب اللف,"Stromwandler mit Selbstkompensation, m",auto-compound current transformer,transformador de intensidad autocompensado,esimagnetoitu virtamuuntaja,"transformateur de courant autocompoundé, m",trasformatore di corrente autocompensato,自動複巻き変流器,자동 복권선 전류 변성기,нийлмэл хийцтэй гүйдлийн трансформатор,przekładnik prądowy z uzwojeniem korekcyjnym zasilanym prądem wtórnym,transformador de corrente autocompensado,автокомпенсированный трансформатор тока,avtokompaundirani tokovnik,"аутокомпаундовани струјни трансформатор, м јд",(själv)förmagnetiserad strömtransformator,自耦复绕式电流互感器
321-02-16,summation current transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-16,محول تيار مركب ذاتياً,"Summenstromwandler, m",summation current transformer,transformador de intensidad sumador,summavirtamuuntaja,"transformateur de courant sommateur, mtransformateur de courant totalisateur, m",trasformatore di corrente sommatore,総和変流器,총합 전류 변성기,нийлбэрийн гүйдлийн трансформатор,przekładnik prądowy sumujący,transformador de corrente somador,суммирующий трансформатор тока,seštevalni tokovnik,"збирни струјни трансформатор, м јд",summaströmtransformator,累加用电流互感器
321-02-17,current matching transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-02-17,محول تيار مجمّع,"Zwischenstromwandler, m",current matching transformer,transformador de intensidad adaptador,sovitusvirtamuuntaja,"transformateur de courant adaptateur, m",trasformatore di corrente adattatore,定格整合変流器,전류 정합 전류 변성기,гүйдэл тохируулах трансформатор,przekładnik prądowy wyrównawczy,transformador de corrente adaptador,промежуточный трансформатор тока,prilagodilni tokovnikvmesni tokovnik,"струјни међутрансформатор, м јд",mellanströmtransformator,匹配用电流互感器
