term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,pl,pt,ru,sl,sr,sv,zh
321-03-04,measuring voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-04,محول جهد  مؤرض,"Spannungswandler für Messzwecke, m",measuring voltage transformer,transformador de tensión para medida,mittausjännitemuuntaja,"transformateur de tension pour mesures, m",trasformatore di tensione per misura,計測用変圧器,계측용 전압 변성기계측용 계기용 변압기,хэмжүүрийн хүчдэлийн трансформатор,przekładnik napięciowy do pomiarów,transformador de tensão para medição,трансформатор напряжения для измерений,merilni napetostnik,"напонски трансформатор за мерење, м јд",spänningstransformator för mätning,测量用电压互感器
321-03-05,protective voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-05,محول جهد للقياس,"Spannungswandler für Schutzzwecke, m",protective voltage transformer,transformador de tensión para protección,suojausjännitemuuntaja,"transformateur de tension pour protection, m",trasformatore di tensione per protezione,保護用変圧器,보호용 전압 변성기보호용 계기용 변압기,реле хамгаалалтыг тэжээх хүчдэлийн трансформатор,przekładnik napięciowy do zabezpieczeń,transformador de tensão para protecção,трансформатор напряжения для защиты,zaščitni napetostnik,"напонски трансформатор за заштиту, м јд",spänningstransformator för reläskydd,保护用电压互感器
321-03-06,dual purpose voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-06,محول جهد للحماية(للوقاية),"Spannungswandler für Mess- und Schutzzwecke, m",dual purpose voltage transformer,transformador de tensión de doble función,mittaus- ja suojausjännitemuuntaja,"transformateur de tension à double fonction, m",trasformatore di tensione a doppia funzione,両用変圧器,이중목적 전압 변성기이중목적 계기용 변압기,хоёр зориулалттай хүчдэлийн трансформатор,przekładnik napięciowy uniwersalny,transformador de tensão de dupla função,трансформатор напряжения двойного назначения,dvonamenski napetostnik (za meritve in zaščito),"напонски трансформатор за двоструку намену, м јд",spänningstransformator för mätning och reläskydd,双功能电压互感器
321-03-07,cascade (inductive) voltage transfor­mer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-07,محول جهد ثنائي الغرض(الوظيفة),"induktiver Kaskadenspannungswandler, mKaskadenspannungswandler, m",cascade (inductive) voltage transfor­mer,transformador de tensión (inductivo) en cascada,kaskadikytkentäinen jännitemuuntaja,"transformateur de tension (à induction) en cascade, m","trasformatore di tensione (induttivo) in 
cascata",カスケード（誘導）変圧器,캐스케이드 유도 전압 변성기케스케이드 유도 계기용 변압기,угсраа цахилгаан соронзон хүчдэлийн трансформатор,przekładnik napięciowy kaskadowy,transformador de tensão (de indução) em cascata,каскадный (электромагнитный) трансформатор напряжения,(induktivni) kaskadni napetostnik,"напонски каскадни трансформатор, м јд",kaskadkopplad (magnetisk) spänningstransformator,串级式电压互感器
321-03-08,voltage matching transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-08,محول جهد  تعاقبي (حثّي),"Zwischenspannungswandler, m",voltage matching transformer,transformador de tensión adaptador,sovitusjännitemuuntaja,"transformateur de tension adaptateur, m",trasformatore di tensione adattatore,定格整合変圧器,전압 정합 변압기,хүчдэл тохируулах трансформатор,przekładnik napięciowy wyrównawczy,transformador de tensão adaptador,согласующий трансформатор напряжения,prilagodilni napetostnikvmesni napetostnik,"напонски међутрансформатор, м јд",mellanspänningstransformator,匹配用电压互感器
321-03-09,residual voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-09,محول جهد  موائم,"Verlagerungsspannung, f",residual voltage,tensión residual,nollajännite,"tension résiduelle, f",tensione residua,残留電圧,잔류 전압,ялгаврын хүчдэл,napięcie zerowe,tensão residual,напряжение нулевой последовательности,residualna napetost,"нулта компонента напона, ж јд",summaspänning; nollföljdsspänning,剩余电压
321-03-10,residual voltage transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-10,جهد متبقي,"Spannungswandler zur Erfassung der Verlagerungsspannung, m",residual voltage transformer,transformador de tensión residual,avokolmiojännitemuuntaja,"transformateur de tension résiduelle, m",trasformatore di tensione residua,零相変圧器,잔류 전압 변성기영상 변압기,ялгаврын хүчдэлийн трансформатор,przekładnik napięciowy ziemnozwarciowy,transformador de tensão residual,трансформатор напряжения нулевой последовательности,residualni napetostnik,"напонски трансформатор нулте компоненте напона, м јд",summaspänningstransfomator,剩余电压互感器
321-03-11,residual voltage winding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-11,محول جهد متبقي,"Wicklung zur Erdschlusserfassung, f",residual voltage winding,arrollamiento de tensión residual,avokolmiokäämi,"enroulement de tension résiduelle, m",avvolgimento di tensione residua,残留電圧用巻線,잔류 전압용 권선,ялгаврын хүчдэлийн ороомог,uzwojenie dodatkowe,enrolamento de tensão residual,обмотка напряжения нулевой последовательности,navitje za residualno napetost,"намотај за мерење нулте компоненте напона, м јд",jordfelslindning,剩余电压绕组
321-03-12,rated voltage factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-12,ملفات جهد متبقي,"Bemessungs-Spannungsfaktor, m",rated voltage factor,factor de tensión asignado,mitoitusjännitekerroin,"facteur de tension assigné, m",fattore di tensione nominale,定格電圧係数,정격 전압 계수,хэвийн хүчдэлийн коэффициент,współczynnik napięciowy znamionowy,factor de tensão estipulada,нормированный коэффициент повышения напряжения,naznačeni napetostni faktor,"назначени фактор напона, м јд",märkspänningsfaktor,额定电压因数
321-03-13,secondary limiting thermal current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=321-03-13,عامل الجهد الاسمي,"sekundäre thermische Grenzstromstärke, f",secondary limiting thermal current,límite térmico de la intensidad secundaria de carga,toision terminen sietovirta,"limite thermique du courant secondaire de charge, f",corrente termica limite nominale,二次限界熱電流,이차한계 열전류,хоёрдогч хэлхээний дулааныг тэсвэрлэх хязгаарын гүйдэл,prąd wtórny graniczny cieplny,limite térmico da corrente secundária de carga,вторичный предельный ток термической стойкости,sekundarni mejni termični tok,"гранична секундарна термичка струја, ж јд",sekundär termisk gränsström,二次极限热电流
