term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,ru,sr,sv,zh
121-11-11,(electric) current density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-11,كثافة  تيار (كهربائي),"Leitungsstromdichte, fStromdichte, f",(electric) current density(conduction) current densityareic electric current,densidad de corriente (eléctrica),virtatiheys,"densité de courant (électrique), fdensité de courant (de conduction), f",densità di corrente (di conduzione)densità di corrente (elettrica),"電流密度J, （記号）",전기전류 밀도전도전류 밀도면 전류,elektrisk straumtettleik,gęstość prądu elektrycznegogęstość prądugęstość prądu przewodzenia,densidade de corrente (eléctrica)densidade de corrente (de condução),объемный электрический токплотность тока проводимости,"густина (електричне) струје, ж јдгустина струје (провођења), ж јдповршинска електрична струја, ж јд",strömtäthet,传导电流密度
121-11-12,lineic (electric) current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-12,تيار (كهربائي) خطي,"Strombelag, m",lineic (electric) currentlinear (electric) current density,densidad lineal de corriente (eléctrica),pintavirta,"densité linéique de courant (électrique), f",densità lineica di corrente (elettrica),"線電流密度A, （記号）",선 전기 전류선 전기 전류 밀도,lineær elektrisk straumtettleik,gęstość liniowa prąduokład prądu,densidade lineal de corrente (eléctrica),линейный электрический токплотность линейного электрического тока,"подужна (електрична) струја, ж јдгустина подужне (електричне) струје, ж јд",strömbeläggning,电流线密度
121-11-13,(electric) current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-13,تيار (كهربائي),"elektrische Stromstärke, fStromstärke, fStrom, m",(electric) current(conduction) current,corriente (de conducción)corriente (eléctrica),sähkövirta,"courant (électrique), mcourant (de conduction), m",corrente (di conduzione)corrente (elettrica),"電流電導電流I, （記号）",전기 전류전도 전류,elektrisk straum,prąd elektrycznyprąd prąd przewodzenia,corrente (eléctrica)corrente (de condução),электрический токток проводимости,"(електрична) струја, ж јдструја (провођења), ж јд",(elektrisk) strömpermeabiliteten för vakuum,传导电流
121-11-14,magnetic constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-14,ثابت مغناطيسى,"magnetische Feldkonstante, fABGELEHNT: Induktionskonstante, f",magnetic constantpermeability of vacuum,constante magnéticapermeabilidad del vacío,magneettinen vakiotyhjiön permeabilisuus,"constante magnétique, fperméabilité du vide, f",costante magneticapermeabilità del vuoto,磁気定数,자기 상수진공 투과성,magnetisk konstant,"stała magnetyczna, fprzenikalność magnetyczna próżni, f",constante magnéticapermeabilidade do vazio,магнитная постояннаяпроницаемость вакуума,"магнетска константа, ж јдпермеабилност вакуума, ж јд",magnetiska konstanten,磁常数真空磁导率
121-11-15,filiform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-15,خيطى,"fadenförmig, Adjektivfiliform, Adjektiv",filiform,filiforme,…..,"filiforme, adj",filiforme,等価的に無限小の糸状態,실모양,filiform,filamentowy,filiforme,нитевидная форма (filiforme),"влакнаста форма, ж јд",,线状的
121-11-16,tube of current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-16,أنبوبة تيار,"Stromröhre, f",tube of current,tubo de corriente,virtavuo,"tube de courant, m",tubo di corrente,電流管,전류관,straumrøyr,rurka prądu,tubo de corrente,трубка тока,"струјна туба, ж јд",strömrör,电流管
121-11-17,current element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-17,عنصر تيار,"Stromelement, n",current element,elemento de corriente,virta-alkio,"élément de courant, m",elemento di corrente,電流要素,전류 원소,straumelement,element różniczkowy rurki prąduelement różniczkowy prąduelement prądu,elemento de corrente,элемент тока,"струјни елемент, м јд",strömelement,电流元
121-11-18,electric field strength,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-18,شدة مجال كهربائي,"elektrische Feldstärke, f",electric field strength,intensidad de campo eléctrico,sähkökentän voimakkuus,"champ électrique, m",campo elettrico,"電界強度E, （記号）",전기장 강도,elektrisk feltstyrke,natężenie pola elektrycznego,campo eléctrico,напряженность электрического поля,"јачина електричног поља, ж јд",elektrisk fältstyrka,电场强度
121-11-19,magnetic flux density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-19,كثافة فيض مغناطيسي ،حث مغناطيسي,"magnetische Flussdichte, fmagnetische Induktion (abgelehnt)Induktion (abgelehnt)",magnetic flux densitymagnetic induction,densidad de flujo magnéticoinducción magnética,magneettivuon tiheys,"induction magnétique, f",induzione magnetica,"磁束密度B, （記号）",자속 밀도자기 유도,magnetisk flukstettleik,indukcja magnetyczna,indução magnética,магнитная индукция,"густина магнетског флукса, ж јдмагнетска индукција, ж јд",magnetisk flödestäthet,磁通量密度磁感应强度
121-11-20,Coulomb-Lorentz force,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=121-11-20,قوة كولوم- لورنتز,"Coulomb-Lorentz-Kraft, f",Coulomb-Lorentz force,fuerza de Coulomb-Lorentz,Coulombin-Lorentzin voimalaki,"force de Coulomb-Lorentz, f",forza di Coulomb-Lorentz,クローン・ローレンツ力,쿨롱 로렌츠 힘,coulomb-lorentz-kraft,siła Coulomba-Lorentza,força de Coulomb-Lorentz,сила Кулона-Лоренца,"Кулон-Лоренцова сила, ж јд",Coulomb-Lorentzkraft,库仑—洛仑兹力
