term_id,term,term_url,ar,de,en,es,fr,ja,ko,nl,pl,pt,sr,sv,zh
102-03-36,vector product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-36,,"Vektorprodukt, nvektorielles Produkt, n",vector product,producto vectorialproducto externo,"produit vectoriel, mproduit extérieur, m",ベクトル積外積,벡터곱,"vectorieel product, nvectorproduct, nuitproduct, nkruisproduct, n",iloczyn wektorowy,produto vectorial,"векторски производ, м јд","vektorprodukt, kryssprodukt",向量积
102-03-37,"determinant, <of n vectors>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-37,,"Determinante (von n Vektoren), f","determinant, <of n vectors>",determinante (de n vectores),"déterminant, <de n vecteurs> m",nベクトルの行列式,"행렬식, <<i>n</i> 벡터>","determinant, <van n vectoren> m",wyznacznik (n wektorów),determinante (de n vectores),"детерминанта, <n вектора> ж јд",determinant (av n vektorer),"行列式, <n个向量的>"
102-03-38,scalar triple product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-38,,"Spatprodukt, n",scalar triple producttriple product,producto mixtoproducto triple escalar,"produit mixte, m",スカラ三重積三重積,스칼라 3중곱3중 곱,"gemengd product, n",iloczyn mieszany,produto triplo escalarproduto triplo,"скаларни троструки производ, м јдтроструки производ, м јд",skalär trippelprodukt,标量三重积三重积
102-03-39,tensor of the second order,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-39,,"Tensor der zweiten Stufe, mTensor, m",tensor of the second ordertensor,tensor de segundo ordentensor,"tenseur du deuxième ordre, mtenseur, m",二階のテンソルテンソル,2차 텐서,"tensor van de tweede orde, m",tensor drugiego rzędutensor,tensor de segunda ordem,"тензор другог реда, м јдтензор, м јд",tensortensor av andra ordningen,二阶张量张量
102-03-40,tensor quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-40,,"Tensorgröße, f",tensor quantity,magnitud tensorial,"grandeur tensorielle, f",テンソル量,텐서량,"tensoriële grootheid, f",wielkość tensorowa,grandeza tensorial,"тензорска величина, ж јд",tensorstorhet,张量量
102-03-41,dyadic product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-41,,"Tensorprodukt (zweier Vektoren), ndyadisches Produkt, n","dyadic producttensor product, <of two vectors>",producto tensorial (de dos vectores)producto diádico,"produit tensoriel, <de deux vecteurs> m","二項積テンソル積, <2つのベクトルの>",이항 곱,"dyadisch product, ndyade, m",iloczyn tensorowy (dwóch wektorów),produto tensorial,"тензорски производ, <два вектора> м јд",dyadisk produkttensorprodukt (av två vektorer),"并向量积张量积, <两个向量的>"
102-03-42,symmetric tensor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-42,,"symmetrischer Tensor, m",symmetric tensor,tensor simétrico,"tenseur symétrique, m",対称テンソル,대칭 텐서,"symmetrische tensor, m",tensor symetryczny,tensor simétrico,"симетрични тензор, м јд",symmetrisk tensor,对称张量
102-03-43,antisymmetric tensor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-43,,"antisymmetrischer Tensor, m",antisymmetric tensor,tensor antisimétrico,"tenseur antisymétrique, m",反対称テンソル,반대칭 텐서,"antisymmetrische tensor, m",tensor antysymetrycznytensor skośny,tensor anti-simétrico,"антисиметрични тензор, м јд",antisymmetrisk tensor,反对称张量
102-03-44,"tensor product, <of two tensors>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-44,,"Tensorprodukt (zweier Tensoren), n","tensor product, <of two tensors>",producto tensorial (de dos tensores),"produit tensoriel, <de deux tenseurs> m","テンソル積, <2つのテンソルの>","텐서 곱, <2 텐서>","tensorproduct, <van twee tensoren> n",iloczyn tensorowy (dwóch tensorów),produto tensorial (de dois tensores),"тензорски производ, <два тензора> м јд",tensorprodukt (av två tensorer),"张量积, <两个张量的>"
102-03-45,"inner product, <of two tensors>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-45,,"inneres Produkt (zweier Tensoren), n","inner product, <of two tensors>contracted product, <of two tensors>",producto interior (de dos tensores),"produit intérieur, <de deux tenseurs> mproduit contracté, <de deux tenseurs> m","内積, <2つのテンソルの>縮約積, <2つのテンソルの>","내적, <2 텐서>축약곱, <2 텐서>","inwendig product, <van twee tensoren> n",iloczyn wewnętrzny (dwóch tensorów)iloczyn przez kontrakcję (dwóch tensorów),produto interior (de dois tensores)produto contratado (de dois tensores),"унутрашњи производ, <два тензора> м јдскраћени производ, <два тензора> м јд",inre produkt (av två tensorer)inre produkt av två tensorer,"内积, <两个张量的>收缩积, <两个张量的>"
102-03-46,"tensor product, <of a tensor and a vector>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-46,,"Tensorprodukt (eines Tensors mit einem Vektor), n","tensor product, <of a tensor and a vector>",producto tensorial (de un tensor y un vector),"produit tensoriel, <d'un tenseur et d'un vecteur> m","テンソル積, <テンソルとベクトルとの>","텐서 곱, <텐서와 벡터>","tensorproduct, <van een tensor en een vector> n",iloczyn tensorowy (tensora i wektora),produto tensorial (de um tensor e de um vector),"тензорски производ, <тензора и вектора> м јд",tensorprodukt (av en tensor och en vektor),"张量积, <一个张量和一个向量的>"
102-03-47,"inner product, <of a tensor and a vector>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-47,,"inneres Produkt (eines Tensors mit einem Vektor), n","inner product, <of a tensor and a vector>contracted product, <of a tensor and a vector>",producto interior (de un tensor y un vector),"produit intérieur, <d'un tenseur et d'un vecteur> mproduit contracté, <d'un tenseur et d'un vecteur> m","内積, <テンソルとベクトルとの>縮約積, <テンソルとベクトルとの>","내적, <텐서와 벡터>","inwendig product, <van een tensor en een vector> n",iloczyn wewnętrzny (tensora i wektora)iloczyn przez kontrakcję (tensora i wektora),produto interior (de um tensor e de um vector)produto contratado (de um tensor e de um vector),"унутрашњи производ, <тензора и вектора> м јдскраћени производ, <тензора и вектора> м јд",inre produkt (av en tensor och en vektor),"内积, <一个张量和一个向量的>收缩积, <一个张量和一个向量的>"
102-03-48,"scalar product, <of two tensors>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-48,,"Skalarprodukt, <zweier Tensoren> n","scalar product, <of two tensors>",producto escalar (de dos tensores),"produit scalaire, <de deux tenseurs> m","スカラ積, <2つのテンソルの>","스칼라 곱, <2 텐서>","scalair product, <van twee tensoren> n",iloczyn skalarny (dwóch tensorów),produto escalar (de dois tensores),"скаларни производ, <два тензора> м јд",skalärprodukt (av två tensorer),"标量积, <两个张量的>"
102-03-49,Kronecker tensor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-03-49,,"Kronecker-Tensor, m",Kronecker tensor,tensor de Kronecker,"tenseur de Kronecker, m",クロネッカーテンソル,크로넥커 텐서,"tensor van Kronecker, m",tensor Kroneckera,tensor de Kronecker,"Кронекеров тензор, м јд",Kroneckers delta,克罗内克张量
102-04-01,point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-01,,"Punkt, m",point,punto,"point, m",点,점,"punt, n",punkt,ponto,"тачка, ж јд",punkt,点
102-04-02,straight line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-02,خط مستقيم,"Gerade, f","straight lineline, <in mathematics>",línea rectarecta,"droite, f",直線,직선,"rechte, f","prosta, f",reta,"права, ж јдправа линија, ж јд",linjerät linje,直线
102-04-03,straight-line segment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-03,,"Strecke, f",straight-line segment,segmento de línea rectasegmento de recta,"segment de droite, m",直線分,직선분,"lijnstuk, n",odcinek (prostej),segmento de recta,"одсечак праве, м јддуж, ж јд",del av rät linje,直线段
102-04-04,axis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-04,,"Strahl, mHalbgerade, f",axis,eje,"axe, m",軸,축,"as, m",oś,eixo,"оса, ж јд",axel,轴
102-04-05,plane,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-05,,"Ebene, f",plane,plano,"plan, m",平面,평면,"vlak, n",płaszczyzna,plano,"раван, ж јд",plan,平面
102-04-06,"collinear, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-06,,"kollinear, adj","collinear, adj",colineal,"colinéaire, adj",同一直線(共線)上の,공선,"collineair, adj","współliniowy, adjkolinearny, adj","colinear, adj","колинеарни, придев","liggande på samma räta linje, adjektiv",共线的
102-04-07,"coplanar, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-07,,"komplanar, adj","coplanar, adj",coplanar,"coplanaire, adj",同一平面(共面)上の,공면,"coplanair, adj","współpłaszczyznowy, adjkoplanarny, adj","coplanar, adj","копланарни, придев","liggande på samma plan, adjektiv",共面的
102-04-08,"parallel, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-08,,"parallel, Adjektiv","parallel, adj",paralelo,"parallèle, adj","並行, 形容詞","평행, 형용사","parallel, adj",równoległy,paralelo (adjectivo),"паралелан, придев","parallell, adjektiv",平行的
102-04-09,"perpendicular, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-09,,"senkrecht, Adjektiv","perpendicular, adj",perpendicular,"perpendiculaire, adj","垂直, 形容詞","수직, 형용사","loodrecht, adj",prostopadły,perpendicular (adjectivo),"нормалан, придев","vinkelrät, adjektiv",垂直的
102-04-10,"projection, <on a plane>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-10,,"Projektion, <auf eine Ebene> f","projection, <on a plane>",proyección (sobre un plano),"projection, <sur un plan> f","射影, <平面上で>","투영, <평면위>","projectie, <op een vlak> f","rzut, <na płaszczyznę> m","projeção, <numa reta>","пројекција, <на раван> ж јд",projektion (på ett plan),"投影, <平面> <相关条目：IEV 102-04-11>"
102-04-11,"projection, <on a line>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-11,,"Projektion, <auf eine Gerade> f","projection, <on a line>",proyección (sobre una recta),"projection, <sur une droite> f","射影, <直線上で>","투영, <선위>","projectie, <op een rechte> f","rzut, <na prostą> m","projeção, <num plano>","пројекција, <на праву> ж јд",projektion (på en linje),"投影, <直线> <相关条目：IEV 102-04-10>"
102-04-12,"orthogonal projection, <on a plane>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-12,,"orthogonale Projektion, <auf eine Ebene> f","orthogonal projection, <on a plane>",proyección ortogonal (sobre un plano),"projection orthogonale, <sur un plan> f","正射影, <平面上で>","직각투영, <평면위>정투영, <평면위>","loodrechte projectie, <op een vlak> f","rzut ortogonalny, <na płaszczyznę> m","projeção ortogonal, <numa reta>","ортогонална пројекција, <на раван> ж јд",ortogonal projektion (på ett plan),"正交投影, <平面> <相关条目：IEV 102-04-13>"
102-04-13,"orthogonal projection, <on a line>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-13,,"orthogonale Projektion, <auf eine Gerade> f","orthogonal projection, <on a line>",proyección ortogonal (sobre una recta),"projection orthogonale, <sur une droite> f","正射影, <直線上で>","직각투영, <선위>정투영, <선위>","loodrechte projectie, <op een rechte> f","rzut ortogonalny, <na prostą> m","projeção ortogonal, <num plano>","ортогонална пројекција, <на праву> ж јд",ortogonal projektion (på en linje),"正交投影, <直线> <相关条目：IEV 102-04-12>"
102-04-14,"angle, <between two straight lines>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-14,,"Winkel, <zwischen zwei Geraden> mebener Winkel, m","angle, <between two straight lines>plane angle",ángulo (en geometría)ángulo plano,"angle, <de deux droites> mangle plan, m","角度, <2つの直線の間の>平面角","각, <기하학>평면각, <기하학>","hoek, <tussen twee rechten> m","kąt, <w geometrii> mkąt płaski, m","ângulo, <entre duas retas>","угао, <у геометрији> м јдугао у равни, м јд",plan vinkelvinkel (i geometri),"角, <两直线间的> <相关条目：IEV 102-04-56，102-04-57>平面角"
102-04-15,curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-15,,"Kurve, f",curve,curva,"courbe, f",曲線,곡선,"kromme, mcurve, f",krzywa,curva,"крива, ж јд",kurva,曲线
102-04-16,closed curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-16,,"geschlossene Kurve, f",closed curve,curva cerrada,"courbe fermée, f",閉曲線,폐곡선,"gesloten curve, f",krzywa zamknięta,curva fechada,"затворена крива, ж јд",sluten kurva,闭曲线
102-04-17,polygonal line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-17,,"Polygonzug, m",polygonal line,línea poligonal,"courbe polygonale, f",折れ線,꺾은선,"polygonale lijn, f",krzywa łamana,curva poligonal,"полигонална линија, ж јд",polygon,折线
102-04-18,"length, <of a curve>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-18,,"Länge (einer Kurve), f","length, <of a curve>",longitud (de una curva),"longueur, <d'une courbe> f","長さ, <曲線の>","길이, <곡선>","lengte, <van een curve> f",długość (krzywej),comprimento (de uma curva),"дужина, <криве> ж јд",längd (av en kurva),"长度, <曲线的>"
102-04-19,"orientation, <of a curve>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-19,,Orientierung (einer Kurve) f,"orientation, <of a curve>",orientación (de una curva),"orientation, <d'une courbe> f","向き, <曲線の>","지향, <곡선>","oriëntatie, <van een curve> f",orientacja (krzywej),orientação (de uma curva),"оријентација, <криве> ж јд",orientering (av en kurva),"定向, <曲线的>"
102-04-20,oriented curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-20,,"orientierte Kurve, f",oriented curve,curva orientada,"courbe orientée, f",有向曲線,지향곡선,"georiënteerde ktomme, f",krzywa zorientowana,curva orientada,"оријентисана крива, ж јд",riktad orientering (av en kurva),定向曲线
102-04-21,closed path,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-21,,"geschlossener Weg, m",closed path,contorno cerrado,"contour fermé, m",閉路,폐경로,"georiënteerde gesloten kromme, f",kontur zamkniętydroga zamknięta,contorno fechado,"затворена путања, ж јд",sluten kurva,闭路
102-04-22,"abscissa, <along a curve>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-22,,"Abszisse (entlang einer Kurve), f","abscissa, <along a curve>",abscisa (a lo largo de una curva),"abscisse, <le long d'une courbe> f","横座標, <曲線に沿った>横軸","가로좌표, <곡선>","abscis, m/f",odcięta (wzdłuż krzywej),abcissa (ao longo de uma curva),"апсциса, <дуж криве> ж јд",abskissa,"坐标, <沿曲线的>"
102-04-23,"tangent, <to a curve> noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-23,,"Tangente (an einer Kurve), f","tangent, <to a curve> noun",tangente (a una curva),"tangente, <à une courbe> f","接線, <曲線に対する>　名詞","접선, <곡선>, 명사","raaklijn, <aan een kromme> f",styczna (do krzywej),tangente (a uma curva),"тангента, <на криву> ж јд",tangent (till en kurva),"切线, <曲线的>"
102-04-24,"osculating plane, <of a curve>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-24,,"Schmiegebene (an einer Kurve), fSchmiegungsebene (an einer Kurve), f","osculating plane, <of a curve>",plano osculador (a una curva),"plan osculateur, <à une courbe> m","接触平面, <曲線の>","접촉평면, <곡선>","osculerend vlak, <van een kromme> n",płaszczyzna styczna (do krzywej),plano osculador (a uma curva),"оскулаторна раван, <криве> ж јд",oskulerande plan (till en kurva),"密切平面, <曲线的>密切面"
102-04-25,"normal, <to a curve> noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-25,,"Normale (an einer Kurve), f","normal, <to a curve> noun",normal (a una curva),"normale, <à une courbe> f","法線, <曲線に対する>　名詞","법선, <곡선>, 명사","normaal, <van een kromme> m",normalna (do krzywej),normal (a uma curva),"нормала, <на криву> ж јд","normal (till en kurva), substantiv","法线, <曲线的>"
102-04-26,"main normal, <to a curve>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-26,,"Hauptnormale, f","main normal, <to a curve>",normal principal (a una curva),"normale principale, <à une courbe> f","主法線, <曲線に対する>","주법선, <곡선>","hoofdnormaal, <van een kromme> m",normalna główna (do krzywej),normal principal (a uma curva),"главна нормала, <на криву> ж јд",huvudnormal (till en kurva),"主法线, <曲线的>"
102-04-27,"binormal, <to a curve>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-27,,"Binormale, f","binormal, <to a curve>",binormal (a una curva),"binormale, <à une courbe> f","従法線, <曲線に対する>","종법선, <곡선>","binormaal, <van een kromme> m",binormalna,binormal (a uma curva),"бинормала, <на криву> ж јд",binormal (till en kurva),"副法线, <曲线的>"
102-04-28,circle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-28,,"Kreis, m",circle,círculo,"cercle, m",円,원,"cirkel, m",okrąg,círculo,"кружница, ж јд",cirkel,圆
102-04-29,disk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-29,,"Kreisscheibe, f",diskDEPRECATED: circle,disco,"disque, mDÉCONSEILLÉ: cercle, m",円盤,원반,"schijf, f",dyskkoło (termin nie zalecany w tym sensie),disco,"круг, м јдкружница, ж јд",cirkelyta,"圆盘圆, （在此意义下拒用）"
102-04-30,radian,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-30,,"Radiant, m",radian,radián,"radian, m",ラジアン弧度,라디안,"radiaal, m/f",radian,radiano,"радијан, м јд",radian,弧度
102-04-31,surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-31,,"Fläche, f",surface,superficie,"surface, f",曲面,곡면,"oppervlak, n",powierzchnia,superfície,"површ, ж јд",yta,曲面
102-04-32,closed surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-32,,"geschlossene Fläche, f",closed surface,superficie cerrada,"surface fermée, f",閉曲面,폐곡면,"gesloten oppervlak, n",powierzchnia zamknięta,superfície fechada,"затворена површ, ж јд",sluten yta,闭曲面
102-04-33,area,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-33,,"Flächeninhalt, m",area,área,"aire, f",面積,넓이,"oppervlakte, f",pole powierzchnipole (1),área,"површина, ж јд",area,面积
102-04-34,tangent plane,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-34,,"Tangentialebene, f",tangent plane,plano tangente (a una superficie),"plan tangent, m",接平面,접평면,"raakvlak, n",powierzchnia styczna,plano tangente,"тангентна раван, ж јд",tangentplan,切平面
102-04-35,"normal, <to a surface> noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-35,,"Normale (auf einer Fläche), f","normal, <to a surface> noun",normal (a una superficie),"normale, <à une surface> f","法線, <曲面に対する>　名詞","법선, <곡면>, 명사","normaal, <van een oppervlak> m",normalna (do powierzchni),normal (a uma superfície),"нормала, <на површ> ж јд",normal (till en yta) substantiv,"法线, <曲面的>"
102-04-36,"orientation, <of a surface>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-36,,Orientierung (einer Fläche) f,"orientation, <of a surface>",orientación (de una superficie),"orientation, <d'une surface> f","向き, <曲面>","지향, <곡면>","oriëntatie, <van een oppervlak> f",orientacja (powierzchni),orientação (de uma superfície),"оријентација, <површи> ж јд",riktning (av en yta),"定向, <曲面的>"
102-04-37,oriented surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-37,,"orientierte Fläche, f",oriented surface,superficie orientada,"surface orientée, f",有向曲面,지향곡면,"georiënteerd oppervlak, n",powierzchnia zorientowana,superfície orientada,"оријентисана површ, ж јд",riktad yta,定向曲面
102-04-38,cylindrical surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-38,,"Zylinderfläche, f",cylindrical surface,superficie cilíndrica,"surface cylindrique, f",柱面円筒面,기둥면,"cilindervlak, n",powierzchnia cylindryczna,superfície cilíndrica,"цилиндрична површ, ж јд",cylindrisk yta,柱面
102-04-39,three-dimensional domain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-39,,"dreidimensionaler Raumbereich, mVolumen, n, (abgelehnt)",three-dimensional domain3-D domainDEPRECATED: volume,dominio tridimensional,"domaine tridimensionnel, mDÉCONSEILLÉ: volume, m",三次元領域3-D領域,3차원 영역,"driedimensionaal domein, n",obszar trójwymiarowyobjętość (termin nie zalecany w tym sensie),domínio tridimensional,"тродимензионална област, ж јд3-D домен, м јдзапремина, ж јд",3-D domäntredimensionell domän,三维区域
102-04-40,volume,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-40,,"Volumen, n",volume,volumen,"volume, m",体積,부피체적,"volume, n",objętość,volume,"запремина, ж јд",volym,体积
102-04-41,cylinder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-41,,"Zylinder, m",cylinder,cilindro,"cylindre, m",柱体,원통,"cilinder, m",cylinder,cilindro,"цилиндар, м јд",cylinder,柱体
102-04-42,circular cylinder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-42,,"Kreiszylinder, m",circular cylinder,cilindro circular,"cylindre circulaire, m",円柱円筒,원기둥,"ronde cilinder, m",cylinder kołowy,cilindro circular,"кружни цилиндар, м јд",cirkulär cylinder,圆柱体
102-04-43,sphere,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-43,,"Kugelfläche, f",sphere,esfera,"sphère, f",球面,구면,"sfeer, fboloppervlak, n",sferapowierzchnia kulista,esfera,"сфера, ж јд",sfär,球面
102-04-44,ball,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-44,,"Kugel, f",ballDEPRECATED: sphere,bola,"boule, fDÉCONSEILLÉ: sphère, f","球体球, deprecated",공구,"bol, m",kula,bola,"лопта, ж јдсфера, ж јд",klot,球
102-04-45,cone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-45,,"Kegel, m",cone,cono,"cône, m",円錐体錐体,원뿔,"kegel, m",stożek,cone,"купа, ж јд",kon,锥体
102-04-46,solid angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-46,,"Raumwinkel, m",solid angle,ángulo sólido,"angle solide, m",立体角,입체각,"ruimtehoek, m",kąt bryłowy,ângulo sólido,"просторни угао, м јд",rymdvinkel,立体角
102-04-47,steradian,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-47,,"Steradiant, m",steradian,estereorradián,"stéradian, m",ステラジアン,스테라디안,"steradiaal, m/f",steradian,esterradiano,"стерадијан, м јд",steradian,球面度
102-04-48,symmetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-48,,"Symmetrie, f",symmetry,simetría,"symétrie, f",対称,대칭,"symmetrie, f",symetria,simetria,"симетрија, ж јд",symmetri,对称
102-04-49,"symmetric, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-49,,"symmetrisch, adj","symmetric, adj",simétrico,"symétrique, adj",対称の,"대칭적, 형용사","symmetrisch, adj","symetryczny, adj","simétrico, adj","симетрично, придев","symmetrisk, adjektiv",对称的
102-04-50,symmetry with respect to a point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-50,,"Punktsymmetrie, f",symmetry with respect to a point,simetría con respecto a un punto,"symétrie par rapport à un point, fsymétrie centrale, f",点対称,점대칭,"symmetrie ten opzichte van een punt, f",symetria środkowasymetria względem punktu,simetria em relação a um pontosimetria central,"симетрија у односу на тачку, ж јд",symmetri med avseende på en punkt,关于点的对称
102-04-51,centre of symmetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-51,,"Symmetriezentrum, n",centre of symmetry,centro de simetría,"centre de symétrie, m",対称心対称中心,대칭중심,"symmetriecentrum, n",środek symetrii,centro de simetria,"центар симетрије, м јд",symmetricentrum,对称中心
102-04-52,symmetry with respect to a line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-52,,"Achsensymmetrie, fAxialsymmetrie, f",symmetry with respect to a line,simetría con respecto a una rectasimetría axial,"symétrie par rapport à une droite, fsymétrie axiale, f",線対称,선대칭,"symmetrie ten opzichte van een rechte, f",symetria osiowasymetria względem prostej,simetria em relação a uma rectasimetria axial,"симетрија у односу на праву, ж јд",symmetri med avseende på en linje,关于直线的对称
102-04-53,axis of symmetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-53,,"Symmetrieachse, f",axis of symmetry,eje de simetría,"axe de symétrie, m",対称軸,대칭축,"symmetrieas, m",oś symetrii,eixo de simetria,"оса симетрије, ж јд",symmetriaxel,对称轴
102-04-54,symmetry with respect to a plane,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-54,,"Ebenensymmetrie, f",symmetry with respect to a planemirror symmetry,simetría con respecto a un planosimetría especular,"symétrie par rapport à un plan, f",面対称鏡面対称,면대칭,"symmetrie ten opzichte van een vlak, f",symetria zwierciadlanasymetria względem płaszczyzny,simetria em relação a um plano,"симетрија у односу на раван, ж јдрефлексивна симетрија, ж јд",spegelsymmetrisymmetri med avseende på ett plan,关于平面的对称镜对称
102-04-55,plane of symmetry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-55,,"Symmetrieebene, f",plane of symmetry,plano de simetría,"plan de symétrie, m",対称面,대칭면,"symmetrievlak, n",płaszczyzna symetrii,plano de simetria,"раван симетрије, ж јд",symmetriplan,对称平面
102-04-56,"angle, <between a straight line and a plane>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-56,,"Winkel, <zwischen einer Geraden und einer Ebene> m","angle, <between a straight line and a plane>",,"angle, <entre une droite et un plan> m","角度, <直線と平面の間の>",,"hoek, <tussen een rechte en een vlak> m","kąt, <między prostą a płaszczyzną> m","ângulo, <entre uma reta e um plano>",,,"角, <一条直线与一个平面间的> <相关条目：IEV 102-04-14，102-04-57>"
102-04-57,"angle, <between two planes>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-04-57,,"Winkel, <zwischen zwei Ebenen> m","angle, <between two planes>dihedral angle",,"angle, <entre deux plans> mangle dièdre, m","角度, <2つの平面の間の>",,"hoek, <tussen twee vlakken> m","kąt, <między dwoma płaszczyznami> m","ângulo, <entre dois planos>",,,"角, <两平面间的> <相关条目：IEV 102-04-14，102-04-56>"
102-05-01,scalar line element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-01,,"skalares Linienelement, n",scalar line element,elemento escalar de líneaelemento escalar de arco,"élément scalaire d'arc, m",スカラ場の線素,스칼라 선 원소,"scalair lijnelement, n",element różniczkowy skalarny krzywej,elemento escalar do arco,"скаларни линијски елемент, м јд",skalärt längdelement,标量线元素
102-05-02,vector line element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-02,,"vektorielles Linienelement, n",vector line elementvector path element,elemento vectorial de líneaelemento vectorial de arco,"élément vectoriel d'arc, m",ベクトル場の線素,벡터 선 원소,"vectorieel lijnelement, n",element różniczkowy wektorowy krzywej,elemento vectorial do arco,"векторски линијски елемент, м јд",vektoriellt längdelement.,向量线元素向量路径元素
102-05-03,line integral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-03,,"Linienintegral, n",line integral,integral de línea,"intégrale curviligne, fintégrale de ligne, f",線積分,선적분,"lijnintegraal, m",całka krzywoliniowa,integral de linha,"линијски интеграл, м јд","linjeintegral, kurvintegral",线积分
102-05-04,scalar line integral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=102-05-04,,"skalares Linienintegral, n",scalar line integral,integral de línea orientadacirculación (1),"circulation, f",スカラー線積分,스칼라 중심 적분,"scalaire lijnintegraal, m","całka krzywoliniowa skalarna, fcyrkulacja, f",circulação,"скаларни линијски интеграл, м јд","riktad skalär linje integral, riktad skalär kurvintegral",标量线积分
