term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
723-01-01,broadcasting service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-01,بث إذاعي (خدمة),"Rundfunkdienst, mRundfunk, m",broadcasting service,emisión (en servicio)radiodifusión (en servicio),"radiodiffusion, f",radiodiffusione,"放送, ＜サービス＞",방송 서비스,"usługi radiokomunikacyjne, f pl",radiodifusão,rundradio,广播业务
723-01-02,"programme, <in broadcasting>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-02,"برنامج, <فى البث الإذاعى>","Rundfunkprogramm, nProgramm, nRundfunksendung, fSendung, f","programme, <in broadcasting>emission, <programme>",programa (de radiodifusión),"programme, <en radiodiffusion ou en télédistribution> mémission, <programme> f",programma,"番組, ＜放送における＞","프로그램, <방송>","program, <radiowy i/lub telewizyjny> memisja, <programu> f","programa, <em radiodifusão ou teledistribuição>",program,"程序, <在广播中>"
723-01-03,"transmission, <in broadcasting>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-03,"إرسال, <فى البث الإذاعى>نقل, <فى البث الإذاعى>","Aussendung, <beim Rundfunk> f","transmission, <in broadcasting>emission, <in broadcasting>",emisión (en radiodifusión)transmisión,"émission, <en radiodiffusion> f",trasmissione,"伝送波, ＜放送における＞","전송, <방송>","transmisja, <programu radiowego lub TV> femisja, <programu radiowego lub TV> fnadawanie, <programu radiowego lub TV> n","emissão, <em radiodifusão>",sändning,"传输, <在广播中>"
723-01-04,sound programme,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-04,برنامج صوتي,"Tonrundfunkprogramm, nTonprogramm, nTonrundfunksendung, fTonsendung, f",sound programme,programa sonoro,"programme sonore, m",programma sonoro,音声番組,음성 프로그램,program foniczny,programa sonoro,ljudradioprogram(ljud)radioprogram,
723-01-05,television programme,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-05,برنامج تلفازي,"Fernsehprogramm, nFernsehsendung, f",television programme,programa de televisión,"programme de télévision, m",programma televisivo,テレビジョン番組テレビ番組,텔레비젼 프로그램,program telewizyjny,programa de televisão,televisionsprogram,
723-01-06,sound broadcasting (service),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-06,بث صوتي (خدمة),"Tonrundfunk, mHörfunk, m",sound broadcasting (service),radiodifusión sonora,"radiodiffusion sonore, f",radiodiffusione sonora,音声放送,"음향 방송, <서비스>",radiofoniaradiodyfuzja foniczna (usługa),radiodifusão sonora,ljudradio,
723-01-07,to broadcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-07,ليذيع,"senden, Verbausstrahlen, Verb",to broadcast,radiodifundir,"radiodiffuser, verbe",da radiodiffondere,放送する,방송,nadawać transmitować,radiodifundir,sända,
723-01-08,stereophonic broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-08,إذاعة مجسّمة,"Stereorundfunk, m",stereophonic broadcasting,radiodifusión estereofónica,"radiodiffusion stéréophonique, f",radiodiffusione stereofonica,ステレオホニック放送ステレオ放送立体音声放送,입체 음향 방송,radiodyfuzja stereofoniczna,radiodifusão estereofónica,stereosändning,
723-01-09,television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-09,تلفاز,"Fernsehen, n",televisionTV,televisiónTV (abreviatura),"télévision, fTV, f",television,テレビジョン,텔레비전,"telewizja, fTV",televisão,televisionTV,电视
723-01-10,television broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-10,بث تلفازي  (خدمة),"Fernsehrundfunk, mABGELEHNT: Fernsehen, n",television broadcastingDEPRECATED: television,(servicio) radiodifusión audiovisual (TV) (abreviatura)radiodifusión audiovisual (servicio)radiodifusión de televisión,"radiodiffusion visuelle, fradiodiffusion de télévision, ftélévision, f",radiodiffusione televisiva,テレビ放送,텔레비전 방송,"telewizja, fradiodyfuzja telewizyjna, <usługa> f",radiodifusão visualradiodifusão de televisão,televisionTV-tjänst,电视广播
723-01-11,to broadcast (in television),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-11,ليبث ( في التلفاز ),"senden, <im Fernsehen> Verb",to broadcast (in television)to televise (a programme),televisar (un programa)transmitir un programa,téléviser (un programme) verbe,da inviare alla radiodiffusione televisiva,"放送する, <テレビ番組を>","방송하기, <텔레비전>텔레비젼 방송하기, <텔레비전>",nadawać (program telewizyjny),televisar (um programa),telivisera,
723-01-12,black and white television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-12,تلفاز أسود و أبيض,"Schwarzweißfernsehen, n",black and white televisionmonochrome television,televisión en blanco y negrotelevisión monocroma,"télévision en noir et blanc, ftélévision achrome, ftélévision monochrome (terme déconseillé) f",televisione monocromatica,白黒テレビジョン白黒テレビ,흑백 텔레비젼,telewizja czarno-biała   telewizja monochromatyczna,televisão a preto e branco,svart-vit television,
723-01-13,colour television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-13,تلفاز ملون,"Farbfernsehen, n",colour televisionCTV (abbreviation),televisión en colorTVC (abreviatura),"télévision en couleur, fTVC (abréviation) f",televisione a colori,"カラーテレビジョンカラーテレビCTV, （略語）",컬러 텔레비전,telewizja kolorowa,televisão a cores,färgtelevision,
723-01-15,stereophonic television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-15,تلفاز مجسم للصوت,"Stereoton-Fernsehen, n",stereophonic television,televisión estereofónica,"télévision stéréophonique, f",televisione stereofonica,ステレオホニックテレビジョンステレオテレビ立体音声テレビジョン立体音声テレビ,입체 텔레비전,telewizja stereofoniczna,televisão estereofónica,TV med stereolujud,
723-01-16,scrambled television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-16,تلفاز مشفر,"verschlüsseltes Fernsehen, n",scrambled television,televisión codificada,"télévision embrouillée, ftélévision cryptée, f",televisione criptata,スクランブルテレビジョンスクランブルテレビ,스크램블 텔레비전혼합 텔레비전,telewizja utajniona,televisão codificadatelevisão criptada,krypterad TV,
723-01-17,conditional access television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-17,تلفاز مشروط المشاهدة,"Fernsehen mit bedingtem Zugang, n",conditional access television,televisión con aceso condicional,"télévision à accès conditionnel, f",televisione ad accesso condizionato,限定受信方式テレビジョン限定受信方式テレビ,제한 수신 텔레비젼,telewizja z uwarunkowanym odbiorem,televisão de acesso condicionado,TV med tillgångskontroll,
723-01-18,pay television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-18,تلفاز مدفوع,"Gebührenfernsehen, nAbonnementfernsehen, n",pay televisiontoll televisionsubscription television,televisión para abonados,"télévision payante, ftélévision à péage, f",televisione a pagamento,有料テレビジョン有料テレビ,유료 텔레비전,telewizja abonamentowa,televisão paga,betal-TV,
723-01-19,closed-circuit television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-19,تلفاز دارة مغلقة,"Fernsehen für geschlossene Nutzergruppen, nCCTV, Abkürzung",closed-circuit televisionCCTV (abbreviation),CCTV (abreviatura)circuito cerrado de televisión,"télévision en circuit fermé, f",televisione a circuito chiuso,専用テレビジョン専用テレビ閉回路テレビジョン閉回路テレビ,폐쇄회로 텔레비전시시티브이,telewizja użytkowa,televisão em circuito fechado,intern-TV,
723-01-20,still-picture television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-20,تلفاز  ثابت الصورة,"Standbildfernsehen, n",still-picture televisionSPTV (abbreviation),televisión de imagenes fijasTIF (abreviatura),"télévision à images fixes, f",televisione ad immagini fisse,静止画テレビジョン静止画テレビ,정지 화상 텔레비전,telewizja o obrazie nieruchomym,televisão de imagens fixas,stillbilds-TV,
723-01-21,cabled distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-21,التوزيع بالكبلات,"Breitband-Kabelverteilung, f",cabled distribution wired broadcasting,distribución por cable,"télédistribution, fcâblodistribution, fdistribution par câble, f",distribuzione via cavo,有線配信,케이블망 분배유선 방송,"radiodyfuzja, frozprowadzanie, <programów tele-wizyjnych lub dźwiękowych>, n","teledistribuiçãodistribuição por cabo, <de televisão>",ledningsbunden distribution,有线广播
723-01-22,cable television,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-22,تلفاز بالكبلات,"Kabelfernsehen, n",cable television,televisión por cable,"télévision par câble, f",televisione via cavo,ケーブルテレビジョンケーブルテレビ,케이블 텔레비전시에이티브이,telewizja kablowa,televisão por cabo,kabel-TV,
723-01-23,satellite broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-23,بث عبر القمر الصناعي,"Satellitenrundfunk, mDBS, Abkürzung",satellite broadcastingdirect broadcasting by satelliteDBS (abbreviation),radiodifusión por satélite,"radiodiffusion par satellite, fradiodiffusion directe par satellite (terme déconseillé) f",radiodiffusione da satellite,"衛星放送DBS, （略語）",위성방송직접 위성 방송디비에스,telewizja satelitarna,radiodifusão por satélite,satellitrundradiö,
723-01-24,stratovision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-24,بث من ارتفاع عالي,"Stratovision, f",stratovision,estratovisión,"stratovision, f",televisione da grandi altitudini,ストラトビジョン,스트래터비전성층권 텔레비전 방송,telewizja aeronautyczna,estratovisão,stratosfär-TV,
723-01-25,peritelevision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-25,ملحقات التلفاز,"Peritelevision, f",peritelevision,peritelevisión,"péritélévision, f",peritelevisione,ペリテレビジョンペリテレビ,텔레비전 기법,telewizja użytku domowego,peritelevisão,peritelevision,
723-01-26,live broadcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-26,بث مباشر,"Direktübertragung, fLive-Übertragung, f",live broadcast,emisión en directoprograma en directo,"programme en direct, mémission en direct, f",programma in diretta,生放送,생 방송,nadawanie programów na żywonadawanie na żywo,(programa) em directo(emissão) em directo,direktsändning,
723-01-27,recorded broadcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-27,بث مسجل,"Sendung einer Aufzeichnung, f",recorded broadcast,emisión en diferidoprograma en diferido,"(programme) en différé, adv(émission) en différé, adv",programma in differita (registrato),録画・録音放送,녹화 방송,nadawanie programów zarejestrowanych,(programa) em diferido(emissão) em diferido,inspelad sändning,
723-01-28,data broadcasting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-28,بث البيانات,"Datenrundfunk, m",data broadcasting,radiodifusión de datos,"radiodiffusion de données, f",radiodiffusione di dati,データ放送,데이터 방송,nadawanie danych,radiodifusão de dados,datarundradio,
723-01-29,outside broadcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-29,بث خارجي,"Außenübertragung, fAÜ, Abkürzung",outside broadcastОВ (abbreviation),reportaje,reportage (en radiodiffusion) m,programma con ripresa esterna,"局外中継OB, （略語）",옥외방송,nadawanie pozastudyjne,reportagem (em radiodifusão),fältproducerat programOB,
723-01-30,satellite news gathering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-30,تجمع الاخبار بواسطة القمر الصناعي,"Satelliten-Berichterstattung, f",satellite news gatheringSNG (abbreviation),reportaje por satélite,"reportage (d'actualités) par satellite, m",notiziario via satellite,"SNG, （略語）",위성 뉴스 취재에스엔지,zbieranie aktualności satelitarne,reportagem (de actualidades) por satélite,nyhetsinsamling via satellit,
723-01-31,electronic news gathering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-31,جمع الاخبار الكترونيا,"elektronische Berichterstattung, fEB, Abkürzung",electronic news gatheringENG (abbreviation),reportaje electrónico,"journalisme électronique (télévisuel), mJET (abréviation) mreportage électronique, m",notiziario in formato elettronico,"ENG, （略語）","전자식 뉴스 취재, 이엔지",zbieranie aktualności elektroniczne,reportagem electrónicajornalismo electrónico,elektronisk nyhetsinsamling,
723-01-32,electronic field production,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-32,إنتاج إلكتروني ميداني,"elektronische Außenproduktion, fEAP, Abkürzung",electronic field productionEFP (abbreviation),videoreportaje,"production légère, fvidéo légère, f",produzione di programmi con mezzi elettronici,"EFP, （略語）",전자식 현장 제작이에프피,wytwarzanie programów telewizyjnych,produção ligeira,elektronisk bildproduktion,
723-01-33,audiovideography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-33,تصوير صوتي مرئي,"Audiovideografie, f",audiovideography,audiovideografía,"audiovidéographie, f",audiovideografia,オーディオビデオグラフィー,음성영상 촬영술음성영상 그래피,audiowideografia,audiovideografia,audiovideografi,
723-01-34,videography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-34,تصوير مرئي,"Videografie, f",videography,videografía,"vidéographie, f",videografia,ビデオ撮影,비디오그래피비디오카메라 촬영녹화물,"wideografia, f",videografia,videografi,可视图文
723-01-35,broadcast videography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-35,نص عن بعد,"Videotext, mTeletext, m",broadcast videographyteletext,teletextovideografía radiodifundida,"vidéographie diffuse, ftélétexte, m",teletext (diffusione videografica),文字多重放送,방송녹화물,"teletekst, mwizjografia dyfuzyjna, f",teletextovideografia difundida,teletexttext-TV,图文广播图文电视
723-01-36,field blanking teletext,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-36,شريط المعلومات النصية,"Austastlücken-Videotext, m",field blanking teletext,teletexto a tiempo parcialvideografía radiodifundida a tiempo parcial,"dir vidéographie diffusée à temps partiel, ftélétexte à temps partiel, m",teletext trasmesso durante i ritorni di quadro,帰線期間文字放送,필드 귀선소거 문자 방송,teletekst równoczesny z obrazem (telewizyjnym) teletekst w czasie wygaszania linii (pola),teletexto a tempo parcialvideografia difundida a tempo parcial,bildsläcksteletext,
723-01-37,full-field teletext,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-37,نص مرئي كامل المجال,"Vollbild-Videotext, m",full-field teletext,teletexto a tiempo completo,"vidéographie diffusée à plein temps, ftélétexte à plein temps, m",teletext trasmesso su tutte le righe,フィールド期間文字放送,전 필드 문자방송,teletekst w czasie nieobecności sygnału obrazu telewizyjnego,teletexto a tempo inteirovideografia difundida a tempo inteiro,helbildsteletex,
723-01-38,computer graphics (in television),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-38,رسومات حاسب (في التلفاز),"Computergrafik, <im Fernsehen> f",computer graphics (in television),infografía (de imagen),infographie (en télévision) f,grafica mediante il computer,コンピュータグラフィックス,"컴퓨터그래픽스, <텔레비젼>컴퓨터도형, <텔레비젼>",grafika komputerowa (w telewizji),infografia (em televisão),datorgenererad grafIk,
723-01-39,programme delivery control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-39,التحكم بتسليم البرنامج,"Sendungskennung, f",programme delivery controlPDC (abbreviation),mensajeria de programas,"messagerie de programmes, f",controllo del programma fornito,"番組分配ＰＤＣ, （略語）",프로그램 전달 제어,sterowanie odbieranym programem,controlo de entregas de programas,programmärkt sändning,
723-01-40,video transmission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-40,إرسال مرئي,"Videoübertragung, f",video transmission,videotransmisión,"vidéotransmission, f",trasmissione video,ビデオ伝送,영상 전송,transmisja wizyjna,videotransmissão,videoöverföring,
723-01-41,broadcasting network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-41,شبكة إذاعية,"Rundfunknetz, n",broadcasting network,red de radiodifusión,"réseau de radiodiffusion, m",rete di radiodiffusione,放送網,방송망,sieć radiodyfuzyjna,rede de radiodifusão,rundradionät,
723-01-42,repeat broadcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-42,إعادة البث الاذاعي,"Wiederholungssendung, f",repeat broadcast,redifusión,"rediffusion, f",ripetizione di una radiodiffusione,再放送,재방송,nadawanie powtórne,redifusão,reprissändning,
723-01-43,simultaneous broadcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-43,بث فوري,"Gemeinschaftsprogramm, nGemeinschaftssendung, f",simultaneous broadcast,emisión simultánea,"diffusion simultanée, f",radiodiffusione simultanea,同時放送,동시 방송,nadawanie jednoczesne,difusão simultânea,samsändning,
723-01-44,simulcast,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-44,بثّ مزدوج,"Simultanausstrahlung, f",simulcast,emisión simultánea de imagen y sonido,"diffusion jumelée, f",diffusione simultanea,音声・映像の斉時放送斉時放送,동시 송출,nadawanie jednoczesne (przez nadajniki telewizyjne i radiofoniczne),difusão geminada,simultansändning,
723-01-45,broadcaster,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-45,مذيع,"Rundfunkveranstalter, m",broadcaster,radiodifusor,"radiodiffuseur, m",ente di radiodiffusione,放送者,방송인,organizacja radiodyfuzyjna,radiodifusor,rundradioföretag,
723-01-46,"audiovisual, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-46,سمعى بصرى,"audiovisuell, Adjektiv","audiovisual, adj",audiovisual,"audiovisuel, adj",audiovisuale,"オーディオ・ビジュアル(AV)の, 形容詞AVの",시청각,"audiowizualny, adj","audiovisual, adj.",audiovisuell,音像的视听的
723-01-47,televisual,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-47,مرئي,"televisuell, Adjektiv",televisual,televisual,"télévisuel, adj et nom m",televisuale,テレビジョン画像のテレビ画像の,텔레비전의,telewizualny,televisual,televisuell,
723-01-48,listener,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-48,مستمع,"Hörer, m",listener,oyente,"auditeur, m",ascoltatore,聴取者,청취자,słuchacz,auditor,lyssnare,
723-01-49,television viewer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-01-49,مشاهد,"Fernsehzuschauer, m",television viewer,telespectador,"téléspectateur, m",spettatore televisivo,視聴者,텔레비전 시청자,telewidz,tele-espectador,TV-tittare,
723-02-01,studio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-02-01,غرفة إنتاج البرامج - استوديو,"Studio, n",studio,estudio,studio (de prise de son ou de télévision) m,studio,スタジオ,촬영소스튜디오,studio,estúdio (de tomada de som ou de televisão),studio,
723-02-02,outside broadcast vehicle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-02-02,عربة بثّ خارجي,"Übertragungswagen, mÜ-Wagen, Abkürzung",outside broadcast vehicle,unidad móvil,"véhicule de reportage, m",veicolo per riprese all'esterno,局外中継移動体,옥외 방송 차량,wóz transmisyjny,veículo de reportagem,OB-buss,
723-02-03,recording studio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-02-03,غرفة التسجيل,"Aufnahmestudio, n",recording studio,estudio de grabación,"cellule d'enregistrement, f",studio di registrazione,録画・録音スタジオ,녹음실,studio rejestracji programów,estúdio de gravação,inspelningsstudio,
723-02-04,programme signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-02-04,إشارة برنامجِ,"Programmsignal, n",programme signalmodulation signal (deprecated),señal de modulacion (desaconsejada)señal de programa,"signal de programme, msignal de modulation (terme déconseillé) m",segnale del programma,番組信号,프로그램 신호,sygnał programowy,sinal de programasinal de modulação (desaconselhado),programsignal,
723-02-05,television signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=723-02-05,إشارة تلفاز,"Fernsehprogrammsignal, nFernsehsignal, n",television signal,señal de televisión,"signal de télévision, m",segnale televisivo,テレビジョン信号テレビ信号,텔레비전 신호,sygnał telewizyjny,sinal de televisão,TV-signal,
