term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
801-21-01,acoustic oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-01,تذبذب صوتي,"Schallschwingung, fSchall, m",acoustic oscillationacoustic vibrationsound,oscilación acústicavibración acústica,akustinen värähtely,"oscillation acoustique, fvibration acoustique, fson, m",vibrazione acustica,音音響振動,음향 진동음 진동,drganie akustyczne dźwięk,oscilação acústicavibração acústicasom,akustisk svängning,声振荡声振动声波
801-21-02,audible sound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-02,صوت مسموع,"Hörschall, m",audible sound,sonido,äänikuuluva ääni,"son (audible), m",suono udibile,可聴音音,가청음,dźwięk słyszalny,som (audível),ljud,可听声
801-21-03,infrasound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-03,تحت الصوتي - ما دون الصوتي,"Infraschall, m",infrasound,infrasonido,infraääni,"infrason, m",infrasuono,超低周波音,불가청음,infradźwięk,infrassom,infraljud,次声波
801-21-04,ultrasound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-04,فوق الصوتي - ما فوق الصوتي,"Ultraschall, m",ultrasound,ultrasonido,ultraääni,"ultrason, m",ultrasuono,超音波音,초음파,ultradźwięk,ultrassom,ultraljud,超声波
801-21-05,pure sound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-05,صوت نقي,"reiner Ton, m",pure soundpure tone,sonido puro,äänes,"son pur, m",suono puro,純音,순음단순음,dźwięk prosty ton,som puro,ren ton,纯音
801-21-06,complex sound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-06,صوت مركّب,"komplexer Schall, m",complex sound,sonido compuesto,seosääni,"son complexe, m",suono complesso,複合音,복합음,dźwięk złożony,som complexo,sammansatt ljud,复声复音
801-21-07,warble tone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-07,نغمة متأرجحة,"Wobbelton, m",warble tone,sonido ululado,uikkuääni,"son ululé, m",suono ululato,振音,진음진동음,dźwięk wibrujący ton wibrujący,som ululado,svajton,啭声颤音
801-21-08,noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-08,شوشرة,"Geräusch, nStörschall, mLärmschall, m",noise,ruido,kohinamelu,"bruit, m",rumore,雑音騒音,잡음,szum hałas,ruído,brusbullerstörljud,噪声
801-21-09,random noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-09,شوشرة عشوائية,"Rauschen, n",random noise,ruido aleatorioruido errático,satunnaiskohina,"bruit aléatoire, mDÉCONSEILLÉ: bruit erratique, m",rumore casuale,ランダムノイズ不規則雑音,불규칙 잡음,szum przypadkowy szum losowy hałas przypadkowy hałas losowy,ruído aleatório,slumpbrus,随机噪声无规噪声
801-21-10,white noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-10,شوشرة بيضاء,"weißes Rauschen, n",white noise,ruido blanco,valkoinen kohina,"bruit blanc, m",rumore biancosuono bianco,ホワイトノイズ白色雑音,백색 잡음,szum biały,ruído branco,vitt brus,白噪声
801-21-11,pink noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-11,شوشرة وردية,"rosa Rauschen, n",pink noise,ruido rosa,vaaleanpunainen kohina,"bruit rose, m",rumore rosasuono rosa,ピンクノイズ,분홍색 잡음,szum różowy,ruído rosa,skärt brus,粉红噪声
801-21-12,ambient noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-12,شوشرة محيطية,"Umgebungsgeräusch, n",ambient noise,ruido ambiental,ympäristömelu,"bruit ambiant, m",rumore ambiente,周囲雑音環境騒音,주위 잡음암 소음,szum otoczeniahałas otoczenia,ruído ambiente,omgivningsbUller,环境噪声
801-21-13,background noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-13,شوشرة خلفية,"Eigengeräusch, n",background noise,ruido de fondo,taustakohina,"bruit de fond, m",rumore di fondo,暗騒音背景雑音,암 소음주위 소음배경소음배경 잡음,szum tła hałas tła,ruído de fundo,bakgrundsbrus,背景噪声
801-21-14,reverberation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-14,انعكاس - ارتداد,"Nachhall, mHall, m",reverberation,reverberación,kaiunta,"réverbération, f",riverberazione,残響,반향잔향,pogłos rewerberacja,reverberação,efterklang,混响
801-21-15,sound spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-15,طيف صوتي,"Schallspektrum, n",sound spectrum,espectro acústico,äänispektri,"spectre acoustique, m",spettro acustico,音響スペクトル,음향스펙트럼,widmo akustyczne widmo dźwięku,espectro acústicoespectro sonoro,ljudspektrum,声谱
801-21-16,"line spectrum, <in acoustics>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-16,طيف خطى,"Linienspektrum, n","line spectrum, <in acoustics>",espectro de líneas,viivaspektri,"spectre de raies, <en acoustique> m",spettro a righe,線スペクトル,선스펙트럼,widmo akustyczne prążkowe,espectro de riscas,linjespektrum,线谱
801-21-17,continuous spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-17,طيف مستمر,"kontinuierliches Spektrum, n",continuous spectrum,espectro continuo,jatkuva spektri,"spectre continu, m",spettro continuo,連続スペクトル,연속스펙트럼,widmo akustyczne ciągłe,espectro contínuo,kontinuerligt spektrum,连续谱
801-21-18,static pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-18,ضغط ساكن,"statischer Druck, m",static pressure,presión estática,staattinen paine,"pression statique, f",pressione statica,静圧,정압,ciśnienie statyczne,pressão estática,statiskt tryck,静压
801-21-19,instantaneous sound pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-19,ضغط صوتي لحظي,"Augenblickswert des Schalldruckes, m",instantaneous sound pressure,presión acústica instantánea,äänenpaineen hetkellisarvo,"pression acoustique instantanée, f",pressione acustica istantanea,瞬時音圧,순시 음압,ciśnienie akustyczne chwilowe,pressão acústica instantâneapressão sonora instantânea,momentant ljudtryck,瞬时声压
801-21-20,sound pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-20,ضغط صوتي,"Schalldruck, m",sound pressure,presión acústica,äänenpaine,"pression acoustique, f",pressione acusticapressione sonora,音圧,음압,ciśnienie akustyczne,pressão acústicapressão sonora,ljudtryck,声压
801-21-21,peak sound pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-21,ضغط صوتي ذروني,"Spitzenschalldruck, m",peak sound pressure,presión acústica de cresta,äänenpaineen huippuarvo,"pression acoustique de crête, f",pressione acustica di picco,ピーク音圧,첨두 음압마루 음압,ciśnienie akustyczne szczytowe,pressão acústica de pico,toppvärde av ljudtryck,峰值声压
