term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
801-21-22,reference sound pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-22,ضغط صوتي مرجعي,"Bezugsschalldruck, m",reference sound pressure,presión acústica de referencia,vertailuäänenpaine,"pression acoustique de référence, f",pressione acustica di riferimento,基準音圧,기준 음압,ciśnienie akustyczne odniesienia,pressão acústica de referência,referensljudtryck,基准声压
801-21-23,sound exposure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-23,تعرض صوتي,"Immissionsschall, m",sound exposure,exposición al ruido,äänialtistus,"exposition au bruit, f",esposizione al rumore,音響暴露量騒音暴露量,음 노출,ekspozycja na hałasnarażenie na hałas,exposição ao ruído,ljudexponering,声曝露
801-21-24,particle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-24,جزئ (جسيم),"Teilchen, nPartikel, n",particle,partícula,hiukkanen,"particule, f",particella,粒子,입자,cząstka,partícula,partikel,质点
801-21-25,instantaneous particle displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-25,إزاحة جسيم لحظية,"Augenblickswert der Teilchenauslenkung, m",instantaneous particle displacement,elongación instantánea,hiukkaspoikkeaman hetkellisarvo,"élongation instantanée, f",ampiezza di spostamento istantanea,瞬時粒子変位,순간 입자 변위,przesunięcie akustyczne chwilowe wychylenie akustyczne chwilowe przesunięcie cząstki chwilowe (termin nie zalecany),elongação instantânea,momentan partikelförskjutning,瞬时质点位移
801-21-26,particle displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-26,إزاحة جسيم,"Teilchenauslenkung, f",particle displacement,elongación,hiukkaspoikkeama,"élongation, f",ampiezza di spostamento,粒子変位,입자변위,przesunięcie akustyczne przesunięcie cząstki (termin nie zalecany),elongação,partikelförskjutning,质点位移
801-21-27,peak particle displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-27,إزاحة جسيم قصوى,"Spitzenwert der Teilchenauslenkung, m",peak particle displacement,elongación de cresta,hiukkaspoikkeaman huippuarvo,"élongation de crête, f",spostamento di picco,ピーク粒子変位,첨두 입자 변위,przesunięcie akustyczne szczytoweprzesunięcie cząstki szczytowe (termin nie zalecany),elongação de pico,toppväde av partikelförskjutning,峰值质点位移
801-21-28,instantaneous particle velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-28,سرعة جسيم لحظية,"Augenblickswert der Schallschnelle, m",instantaneous particle velocity,velocidad instantánea de una partícula,hiukkasnopeuden hetkellisarvo,"vitesse instantanée d'une particule, f",velocità di spostamento istantanea,瞬時粒子速度,순간 입자 속도,prędkość akustyczna chwilowa,velocidade instantânea de uma partícula,momentan partikelhastighet,瞬时质点速度
801-21-29,particle velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-29,سرعة جسيم,"Schallschnelle, f",particle velocity,velocidad acústica de una partícula,hiukkasnopeus,"vitesse acoustique d'une particule, f",velocità di spostamento,粒子速度,입자 속도,prędkość akustycznaprędkość cząstki,velocidade acústica de uma partícula,partikelhastighet,质点速度
801-21-30,peak particle velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-30,سرعة جسيم قصوى,"Spitzenwert der Schallschnelle, m",peak particle velocity,velocidad de cresta de una partícula,hiukkasnopeuden huippuarvo,"vitesse de crête d'une particule, f",velocità di spostamento di picco,ピーク粒子速度,첨두 입자 속도,prędkość akustyczna szczytowa prędkość cząstki szczytowa,velocidade de pico de uma partícula,toppvärde av partikelhastighet,峰值质点速度
801-21-31,volume velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-31,سرعة حجمية (صوتية),"Schallfluss, m",volume velocity,flujo de velocidad acústica,tilavuusnopeus,"flux de vitesse acoustique, m",flusso di velocità acustica,体積速度,부피 속도체적 속도,strumień prędkości akustycznejprędkość objętościowa akustyczna,fluxo de velocidade acústica,partikelflöde,体积速度
801-21-32,instantaneous particle acceleration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-32,تعجيل جسيم لحظي أو تسارع الجسيم اللحظية,"Augenblickswert der Schallbeschleunigung, m",instantaneous particle acceleration,aceleración acústica instantánea,hiukkaskiihtyvyyden hetkellisarvo,"accélération acoustique instantanée, f",accelerazione acustica istantanea,瞬時粒子加速度,순간 입자 가속,przyspieszenie akustyczne chwilowe,aceleração acústica instantânea,momentan partikelacceleration,瞬时质点加速度
801-21-33,simple sound source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-33,منبع (مصدر)صوتي بسيط,"Kugelstrahler, m",simple sound sourcemonopole,fuente sonora simple,alkiolähde,"source acoustique simple, f",sorgente sonora semplice,モノポール単一音源,단순음원단극,źródło dźwięku prostemonopol akustyczny,fonte acústica simplesfonte sonora simples,kulstrålaremonopol,简单声源单极子声源
801-21-34,point sound source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-34,منبع (مصدر) صوتي نقطي,"Punktstrahler, m",point sound source,fuente sonora puntual,pistelähde,"source acoustique ponctuelle, f",sorgente puntiforme,点音源,점음원,źródło dźwięku punktowe,fonte acústica pontualfonte sonora pontual,punktstråiare,点声源
801-21-35,strength of a simple sound source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-35,شدة مصدر صوت بسيط -  القدر الأعلى لتدفق السرعة من مصدر بسيط,"Scheitelwert des Schallflusses eines Kugelstrahlers, m",strength of a simple sound sourcestrength of a monopole,valor máximo del flujo de velocidad acústica de una fuente sonora simple,alkiolähteen voimakkuus,"valeur maximale du flux de vitesse d'une source simple, f",valore massimo del flusso dovuto a una sorgente puntiforme,モノポールの強さ単一音源の強さ,단순 음원 세기단극 세기,wydajność źródła dźwięku prostego,valor máximo do fluxo de velocidade de uma fonte simples,flödesamplitud hos kulstrålare,简单声源强度
801-21-36,sound power of a source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-36,القدرة الصوتية للمصدر,"Schallleistung einer Quelle, f",sound power of a source,potencia acústica de una fuente,ääniteho,"puissance acoustique d'une source, f",potenza sonora di una sorgente,音源の音響パワー音源の音響出力,음향 출력,moc akustyczna źródła dźwięku,potência acústica de uma fontepotência sonora de uma fonte,ljudeffekt hos ljudkälla,声源声功率
801-21-37,sound energy flux,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-37,فيض طاقة صوتية - القدرة الصوتية عبر عنصر السطح,"Schallleistung durch ein Oberflächenelement, f",sound energy fluxsound power through a surface element,potencia acústica a través de un elemento superficial,äänivuo,"puissance acoustique à travers un élément de surface, f",potenza sonora attraverso un elemento di superficie,面積要素を通過する音響パワー音響のエネルギー束,음향 에너지속표면 소자 음향 출력,strumień energii akustycznej,potência acústica através de um elemento de superfíciepotência sonora através de um elemento de superfície,ljudeffekt,声能通量面元声功率
801-21-38,sound power density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-38,كثافة القدرة الصوتية - الشدة الصوتية,"Schallintensität, f",sound power densitysound intensitysound energy flux density,intensidad acústicapotencia acústica media superficial,äänen intensiteetti,"intensité acoustique, fpuissance surfacique acoustique moyenne, f",intensità acustica; intensità sonora,音の強さ音響インテンシティ音響エネルギー束密度,음향 출력 밀도음의 강도음에너지속 밀도,natężenie akustycznenatężenia dźwięku,densidade de potência acústicaintensidade sonorapotência acústica real média,ljudintensitet,声功率密度声强声能通量密度
801-21-39,instantaneous potential sound energy density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-39,كثافة طاقة صوت كامنة لحظية,"Augenblickswert der potentiellen Schallenergiedichte, m",instantaneous potential sound energy density,densidad de energía acústica potencial instantánea,potentiaalisen äänienergiatiheyden hetkellisarvo,"énergie volumique potentielle acoustique instantanée, fdensité d'énergie potentielle, f",energia acustica volumica potenziale,瞬時ポテンシャル音響エネルギー密度,순시 전위 음향 에너지 밀도,gęstość chwilowa energii akustycznej potencjalnej,densidade instantânea de energia potencialenergia volúmica potencial acústica instantânea,momentan potentiell ljudenergitäthet,瞬时声位能密度
801-21-40,instantaneous kinetic sound energy density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-40,كثافة طاقة صوت حركية لحظية,"Augenblickswert der kinetischen Schallenergiedichte, m",instantaneous kinetic sound energy density,densidad de energía acústica cinética instantánea,kineettisen äänienergiatiheyden hetkellisarvo,"énergie volumique cinétique acoustique instantanée, fdensité d'énergie-cinétique, f",energia acustica volumica cinetica,瞬時運動音響エネルギー密度,순시 운동 음향 에너지 밀도,gęstość chwilowa energii akustycznej kinetycznej,densidade instantânea de energia cinéticaenergia volúmica cinética acústica instantânea,momentan kinetisk ljudenergitäthet,瞬时声动能密度
801-21-41,sound energy density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-41,كثافة الطاقة الصوتية (طاقة حجمية صوتية),"Schallenergiedichte, f",sound energy densitytotal energy density,densidad de energía acústicadensidad de energía total,äänienergiatiheys,"énergie volumique acoustique, fdensité d'énergie totale, f",densità di energia acustica,全エネルギー密度音響エネルギー密度,음향 에너지 밀도,gęstość energii akustycznej,densidade de energia acústica totalenergia acústica volúmica,ljudenergitäthet,声能密度
801-21-42,acoustic radiation pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-42,ضغط الإشعاعِ السمعيِ,"Schallstrahlungsdruck, m",acoustic radiation pressure,presión acústica de radiación,akustinen säteilypaine,"pression acoustique de radiation, f",pressione di radiazione,音響放射圧,음향 복사압,ciśnienie akustyczne promieniowania,pressão acústica de radiação,ljudstrålningstryck,声辐射压力
801-21-43,spectral density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-43,كثافة طيفية,"spektrale Dichte, f",spectral densityspectrum density,densidad espectral,spektritiheys,"densité spectrale, f",densità spettrale,スペクトル密度,스펙트럼 밀도,gęstość widmowa,densidade espectral,spektraltäthet,谱密度
801-21-44,power spectral density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-44,كثافة طيف قدرة,"spektrale Schallleistungsdichte, f",power spectral densitypower spectrum density,densidad espectral de potencia,tehospektritiheys,"densité spectrale de puissance, f",densità spettrale di potenza,パワースペクトル密度,전력 스펙트럼 밀도,gęstość widmowa mocy akustycznej,densidade espectral de potência,spektral effekttäthet,功率谱密度
801-21-45,time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-45,تابت زمني,"Zeitkonstante, f",time constant,constante de tiempo,aikavakio,"constante de temps, f",costante di tempo,時定数,시상수,stała czasowa,constante de tempo,tidkonstant,时间常数
801-21-46,stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-46,منبّه ، حافز,"Erregung, fAnregung, f",stimulusexcitation,estímuloexcitación,heräte,"stimulus, mexcitation, f",stimolo,刺激励振,자극여기,bodziec pobudzenie,estímuloexcitação,exciteringdrivning,激励
801-21-47,response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-47,إستجابة,"Erregungsantwort, f",response,respuesta,vaste,"réponse, f",risposta,レスポンス応答,응답,sygnał wyjściowy (przy danym sygnale wejściowym)charakterystyka wyjściowaodpowiedź,resposta,responssvar,响应
801-21-48,distortion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-21-48,تشويه,"Verzerrung, f",distortion,distorsión,vääristymä,"distorsion, f",distorsione,ひずみ,왜곡,zniekształcenie,distorção,distorsionförvrängning,失真
801-22-01,level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-01,مستوى,"Pegel, m",level,nivel,taso,"niveau, m",livello,レベル,수준레벨,poziom,nível,nivå,级
801-22-02,bel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-02,بل (وحدة التفاوت فى مستوى الشدة الصوتية),"Bel, n",bel,belbelio,beli,"bel, m",bel,ベル,벨,bel,bel,bel,贝尔
801-22-03,decibel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-03,ديسيبل (وحدة قياس شدة الصوت),"Dezibel, n",decibel,decibelio,desibeli,"décibel, m",decibel,デシベル,데시벨,decybel,decibel,decibel,分贝
801-22-04,neper,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-04,نيبر (تعادل 8.686 ديسيبل),"Neper, n",neper,néperneperio,neperi,"neper, m",neper,ネーパ,네퍼,neper,néper,neper,奈培
801-22-05,sound power level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-05,مستوى القدرة الصوتية,"Schallleistungspegel, m",sound power level,nivel de potencia acústica,äänitehotaso,"niveau de puissance acoustique, m",livello di potenza acusticalivello di potenza sonora,音響パワーレベル,음향 출력 레벨,poziom mocy akustycznej,nível de potência acústicanível de potência sonora,ljudeffektnivå,声功率级声能级
801-22-06,sound intensity level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-06,مستوى شدة الصوت,"Schallintensitätspegel, m",sound intensity levelsound energy flux density level,nivel de intensidad acústica,äänen intensiteettitaso,"niveau d'intensité acoustique, m",livello di intensità sonora,音の強さのレベル音響インテンシティレベル,음 세기 수준음 강도 수준,poziom natężenia akustycznego poziom natężenia dźwięku,nível de intensidade acústicanível de intensidade sonora,ljudintensitetsnivå,声强级声能通量密度级
801-22-07,sound pressure level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-07,مستوى ضغط الصوت,"Schalldruckpegel, m",sound pressure level,nivel de presión acústica,äänenpainetaso,"niveau de pression acoustique, m",livello di pressione acusticalivello di pressione sonora,音圧レベル,음압 레벨,poziom ciśnienia akustycznego,nível de pressão acústicanível de pressão sonora,ljudtrycksnivå,声压级
801-22-08,particle velocity level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-08,مستوى سرعة الجزئي (جسيم),"Schallschnellepegel, mSchnellepegel, m",particle velocity level,nivel de velocidad acústica de una partícula,hiukkasnopeustaso,"niveau de vitesse acoustique d'une particule, m",livello di velocità di spostamento,粒子速度レベル,입자 속도 수준,poziom prędkości akustycznej,nível de velocidade acústica de uma partícula,partikelhastighetsnivå,质点速度级
801-22-09,(vibratory) acceleration level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-09,مستوى التعجيل الصوتي (اهتزازي),"Schwingbeschleunigungspegel, mBeschleunigungspegel, m",(vibratory) acceleration level,nivel de aceleración acústica,kiihtyvyystaso,"niveau d'accélération acoustique, m",livello di accelerazione,振動加速度レベル加速度レベル,진동 가속 수준,poziom przyspieszenia akustycznego,nível de aceleração acústica,partikelaccelerationsnivå,振动加速度级
801-22-10,peak level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-10,مستوى الذروة,"Spitzenpegel, m",peak level,nivel de cresta,huipputaso,"niveau de crête, m",livello di picco,ピークレベル,첨두 수준,poziom szczytowy,nível de pico,toppnivå,峰值级
801-22-11,time-average sound pressure level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-11,متوسط زمني لمستوى ضغط صوت,"äquivalenter Dauerschallpegel, mMittelungspegel, m",time-average sound pressure levelequivalent continuous sound pressure level,nivel equivalente continuo de presion acústica,samanarvoinen jatkuva äänenpainetaso,"niveau équivalent continu de pression acoustique, m",livello acustico equivalente,時間平均音圧レベル等価音圧レベル,시간 평균 음압 수준등가 연속 음압 수준,poziom ciśnienia akustycznego uśredniony,nível equivalente contínuo de pressão acústica,effektiv ljudtrycksnivå,时间平均声压级等效连续声压级
801-22-12,band sound pressure level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-12,مستوى ضغط صوت نطاقي,"Schalldruckbandpegel, m",band sound pressure level,nivel de presión acústica por banda,taajuuskaistan äänenpainetaso,"niveau de pression acoustique par bande, m",livello di pressione acustica di banda,帯域音圧レベル,대역 음압 수준,poziom ciśnienia akustycznego w paśmie częstotliwości,nível de pressão acústica por banda,ljudtrycksnivå för frekvensband,频带声压级
801-22-13,spectrum density level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-13,مستوى كثافة طيف,"Spektraldichtepegel, m",spectrum density levelspectrum level,nivel de densidad espectral,spektritiheystaso,"niveau de densité spectrale, m",livello di densità spettrale,スペクトルレベルスペクトル密度レベル,스펙트럼 밀도 수준,poziom gęstości widmowej,nível de densidade espectral,spektral nivå,谱密度级频谱级
801-22-14,weighted sound pressure level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-14,مستوى ضغط صوت موزون,"Schallpegel, mfrequenzbewerteter Schalldruckpegel, mbewerteter Schalldruckpegel, m",weighted sound pressure levelsound level,nivel de presión acústica ponderadanivel sonoro,äänitaso,"niveau de pression acoustique pondérée, m",livello sonoro,サウンドレベル重み付け音圧レベル騒音レベル,가중 음압 수준,poziom dźwięku poziom ciśnienia akustycznego ważony,nível de pressão acústica ponderadanível sonoro,ljudnivåvägd ljudtrycksnivå,计权声压级声级
801-22-15,peak frequency-weighted sound pressure level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-15,أقصى تردد لمستوى ضغط صوت موزون,"Spitzenwert des frequenzbewerteten Schalldruckpegels, mSpitzenwert des Schallpegels, m",peak frequency-weighted sound pressure levelpeak sound level,nivel de cresta de presión acústica ponderada en frecuencianivel sonoro de cresta,huippuäänitaso,"niveau de crête de pression acoustique pondérée (en fréquence), mniveau sonore de crête, m",livello sonoro di picco,ピークサウンドレベル,첨두 주파수 가중 음압 수준첨두 주파수 특성 음압 수준,poziom dźwięku szczytowy poziom ciśnienia akustycznego ważony szczytowy,nível de pico de pressão acústica ponderada (em frequência)nível sonoro de pico,toppvärde av ljudnivå,峰值频率计权声压级峰值声级
801-22-16,time-average sound level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-16,متوسط زمني لمستوى صوت,"bewerteter Mittelungspegel, m",time-average sound levelequivalent continuous sound level,nivel equivalente continuo de presión acústica ponderada en frecuencia,ekvivalentti äänitasosamanarvoinen jatkuva äänitaso,"niveau continu équivalent de pression acoustique pondérée (en fréquence), m",livello sonoro continuo equivalente,時間平均サウンドレベル等価サウンドレベル等価騒音レベル,시간 평균 음 수준등가 연속 음 수준,poziom dźwięku równoważny,nível contínuo equivalente de pressão acústica ponderada (em frequência)nível sonoro contínuo equivalente,effektiv ljudnivå,时间平均声级等效连续声级
801-22-17,sound exposure level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-22-17,مستوى التعرض للصوت,"Immissionsschallpegel, mabgestrahlter Schallpegel, m",sound exposure level,nivel de exposición al ruido,äänialtistustaso,"niveau d'exposition au bruit, m",livello di esposizione al rumore,音響暴露レベル騒音暴露レベル,음 노출 수준,poziom dźwięku ekspozycyjny,nível de exposição ao ruído,ljudexponeringsnivå,曝露声级
801-23-01,wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-01,موجة,"Welle, f",wave,onda,aalto,"onde, f",onda,波,파파동,fala akustyczna,onda,våg,波
801-23-02,surface wavefront,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-02,الجبهة الموجية السطحية,"Wellenfront, f",surface wavefront,superficie de onda,aaltorintama,"surface d'onde, f",fronte d'onda,波面,표면 파면,czoło fali akustycznejpowierzchnia falowa,superfície de onda,vågfront,波阵面波前
801-23-03,free progressive wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-03,موجة تقدمية حرة,"freie fortschreitende Welle, f",free progressive wave,onda progresiva,vapaa aaltovapaasti etenevä aalto,"onde progressive, f",onda progressiva,自由進行波,자유 진행파,fala akustyczna swobodna fala akustyczna bieżąca,onda progressiva,fri fortskridande våg,自由行波
801-23-04,compressional wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-04,موجة تضاغطية,"Kompressionswelle, f",compressional wave,onda de compresiónonda irrotacional,puristusaalto,"onde de compression, fonde irrotationnelle, f",onda di compressione,圧縮波,압축파,fala akustyczna zagęszczeniowafala zagęszczeń,onda de compressãoonda irrotacional,kompressionsvåg,压缩波
801-23-05,longitudinal wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-05,موجة طولية,"Longitudinalwelle, f",longitudinal wave,onda longitudinal,pitkittäisaalto,"onde longitudinale, f",onda longitudinale,縦波,종파세로파,fala akustyczna podłużna,onda longitudinal,longitudinell våg,纵波
801-23-06,plane wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-06,موجة مستوية,"ebene Welle, f",plane wave,onda plana,tasoaalto,"onde plane, f",onda piana,平面波,평면파,fala akustyczna płaska,onda plana,plan våg,平面波
801-23-07,spherical wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=801-23-07,موجة كروية,"Kugelwelle, f",spherical wave,onda esférica,palloaalto,"onde sphérique, f",onda sferica,球面波,구면파,fala akustyczna kulista,onda esférica,sfärisk våg,球面波
