term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
314-07-04,reference voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-04,تيار أقصى,"Bezugsspannung (eines Zählers), f",reference voltage,tensión de referencia,vertailujännite,"tension de référence, f",tensione di riferimento,定格電圧,기준 전압,napięcie odniesienia,tensão de referência,базовое напряжение,"референтни напон, м јд",referensspänning,参比电压
314-07-05,reference frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-05,جهد مرجعى,"Bezugsfrequenz (eines Zählers), f",reference frequency,frecuencia de referencia,vertailutaajuus,"fréquence de référence, f",frequenza di riferimento,定格周波数,기준 주파수,częstotliwość odniesienia,frequência de referência,базовая частота,"референтна фреквенција, ж јд",referensfrekvens,参比频率
314-07-06,class index (of an energy meter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-06,تردد مرجعي,"Klassenzeichen (eines Zählers), n",class index (of an energy meter),índice de clase (de un contador de energía),tarkkuusluokan tunnus,indice de classe (d'un compteur d'énergie) m,indice di classe,"精度指標, <エネルギー計の>","등급 지수, <전력량계>",wskaźnik klasy (licznika energii),índice de classe (de um contador de energia),обозначение класса (для счетчика энергии),"ознака класе , <бројила> ж јд",klassbeteckning,"等级指数, <关于电能表>"
314-07-07,meter type,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-07,دليل فئةالدقة (لعدّاد طاقة),"Zählertyp, m",meter type,tipo,mittarityyppi,"type, f",tipo di misuratore,計器の型式,계기 형식,typ licznika,tipo de contador,тип счетчика,"тип бројила, м јд",mätartyp,电能表型式电度表型式
314-07-08,(meter) constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-08,نوع العدّاد,"Zählerkonstante, f",(meter) constant,constante (del contador),mittarivakio,"constante (du compteur), m",costante (del misuratore),定数計器の定数,계기 정수,stała licznika,constante (do contador),постоянная (счетчика),"константа  , <бројила> ж јд",mätarkonstant,电能表常数常数
314-07-09,register,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-09,ثابت (لعدّاد),"Zähleinrichtung (eines Elektrizitätszählers), f",register,elemento indicador,rekisteri,"élément indicateur, m",registro,レジスタ,레지스터등록기,liczydło (licznika energii),elemento indicador,регистр,"регистар, м јд",räkneverk,计度器
314-07-10,memory (for static meters),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-10,مُسجِّل,"Speicher (für statische Zähler), m",memory (for static meters),memoria (para los contadores estáticos),muisti,mémoire (pour les compteurs statiques) f,memoria,"メモリ, <静止形計器用>","메모리, <정지형 계측기>",pamięć (licznika statycznego),memória (para os contadores estáticos),память (для статических счетчиков),"меморија , <статичког бројила> ж јд",minne,"存储器, <用于静止式电能表>"
314-07-11,display (for static meters),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-11,ذاكرة (للعدّادات الساكنة),"Anzeige (für statische Zähler), f",display (for static meters),pantalla (para los contadores estáticos),näyttö,affichage (pour les compteurs statiques) m,visualizzatore,"表示, <静止形計器用>","표시기, <정전기 측정기>",wyświetlacz (licznika statycznego),visualizador (para os contadores estáticos),индикатор (для статических счетчиков)дисплей (для статических счетчиков),"дисплеј , <за статичка бројила> м јд",teckenfönster,"显示器, <用于静止式电能表>"
314-07-12,test output device (of an energy meter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-12,شاشة عرض ( لعدادات ساكنة),"Prüfausgang (eines Zählers), m",test output device (of an energy meter),dispositivo (de salida) de ensayo (de un contador de energía),testipulssilähtö,dispositif (de sortie) d’essai (d'un compteur d'énergie) m,dispositivo (di uscita) di prova,"試験出力装置, <エネルギー計の>","시험 출력 장치, <적산 전력량계>",wyjście probiercze (licznika statycznego)wyjście kontrolne,dispositivo (de saída) de ensaio (de um contador de energia),испытательное выходное устройство (для счетчика энергии),"излазни склоп за испитивање , <бројила> м јд",mätarfelsindikator,"测试输出器件, <用于电能表>"
314-07-13,operation indicator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-13,أداة إختبار الخرج (لعدّاد طاقة),"Betriebsanzeige, f",operation indicator,indicador de funcionamiento,toiminnan osoitin,"indicateur de fonctionnement, m",indicatore di funzionamento,動作表示器,작동 표시기,wskaźnik pracy,indicador de funcionamento,индикатор работы,"индикатор рада, м јд",funktionsindikator,工作指示器
314-07-14,base (of an energy meter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-14,مُبين التشغيل,"Gehäuseunterteil (eines Zählers), n",base (of an energy meter),base (de un contador de energía),kantaosa,socle (d'un compteur d’énergie) m,base,"ベース, <エネルギー計の>","기저, <전력량계>베이스, <전력량계>",podstawa (licznika),base (de um contador de energia),основание (счетчика энергии),"основна плоча, <бројила> ж јд",mätarbotten,"表底, <用于电能表>"
314-07-15,socket (of an energy meter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-15,قاعدة (لعدّاد طاقة),"Zählersockel, m",socket (of an energy meter),zócalo (de un contador de energía),…..,embase (d'un compteur d’énergie) f,presa,"ソケット, <エネルギー計の>","소켓, <적산 전력량계>",gniazdo (licznika),suporte (de um contador de energia),розетка (счетчика энергии),"прикључница, <бројила> ж јд",sockel,"插座, <用于电能表>"
314-07-16,cover (of an energy meter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-16,مأخذ ( لعداد طاقة ),"Zählerkappe, f",cover (of an energy meter),tapa (de un contador de energía),kansi,couvercle (d'un compteur d’énergie) m,coperchio,"カバー, <エネルギー計の>","덮개, <전력량계>",osłona (licznika),tampa (de um contador de energia),крышка (счетчика энергии),"поклопац, <бројила> м јд",mätarhuv,"表盖, <用于电能表>"
314-07-17,case (of an energy meter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-17,غطاء (لعدّاد طاقة),"Zählergehäuse, n",case (of an energy meter),caja (de un contador de energía),kotelo,boîtier (d'un compteur d’énergie) m,custodia,"ケース, <エネルギー計の>","케이스, <적산 전력량계>",obudowa (licznika),caixa (de um contador de energia),корпус (счетчика энергии),"кућиште, <бројила> с јд",mätarhölje,"表壳, <用于电能表>"
314-07-18,terminal block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-18,صندوق حاوي (لعدّاد طاقة),"Zählerverteiler, m",terminal block,placa de bornes,riviliitin,"plaque à bornes, f",blocco terminali,端子ブロック,단자대,skrzynka zaciskowa,placa de terminais,клеммная колодка,"прикључна плоча, ж јд",anslutningsplint,端子座
314-07-19,terminal cover,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-19,مجموعة طرفيات توصيل,"Klemmendeckel (eines Zählers), m",terminal cover,cubrebornes,liitinsuoja,"couvre-bornes, m",coperchio terminali,端子カバー,단자 덮개,osłona skrzynki zaciskowej,tampa de terminais,клеммная крышка,"поклопац прикључака, м јд",anslutningslock,端子盖
314-07-20,indoor meter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-20,غطاء طرفيات توصيل,"Innenraum-Zähler, m",indoor meter,contador para interior,sisätiloihin asennettava mittari,"compteur intérieur, m",contatore per interno,屋内用計器,실내용 계기,licznik wnętrzowy,contador (para montagem) interior,счетчик для внутренних помещений,"бројило за примену у затвореном простору, с јд",inomhusmätare,室内电能表室内电度表
314-07-21,outdoor meter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-07-21,عدّاد داخل المباني,"Freiluftzähler, m",outdoor meter,contador para exterior,ulkotiloihin asennettava mittari,"compteur extérieur, m",contatore per esterno,屋外用計器,실외용 계기,licznik zewnętrzny,contador (para montagem) exterior,счетчик для открытого пространства,"бројило за примену на отвореном простору, с јд",utomhusmätare,室外电能表室外电度表
314-08-01,amplitude modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-01,عدّاد خارج المباني,"Amplitudenmodulation, fAM",amplitude modulationAM,modulación de amplitud,amplitudimodulaatio,"modulation d'amplitude, fmodulation en amplitude, fMA, f",modulazione di ampiezza,振幅変調,진폭 변조,"modulacja amplitudy, f",modulação de amplitudeamplitude moduladaAM,амплитудная модуляция,"амплитудска модулација, ж јд",amplitudmodulering,调幅AM
314-08-02,frequency modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-02,تعديل السعة,"Frequenzmodulation, f",frequency modulation,modulación de frecuencia,taajuusmodulaatio,"modulation de fréquence, f",modulazione di frequenza,周波数変調,주파수 변조,modulacja częstotliwości,modulação de frequência,частотная модуляция,"фреквенцијска модулација, ж јд",frekvensmodulering,调频
314-08-03,phase modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-03,تعديل التردد,"Phasenmodulation, f",phase modulation,modulación de fase,vaihemodulaatio,"modulation de phase, f",modulazione di fase,位相変調,위상 변조,modulacja fazy,modulação de fase,фазовая модуляция,"фазна модулација, ж јд",fasmodulering,调相
314-08-04,amplitude modulation factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-04,تعديل الطور,"Amplitudenmodulationsgrad, m",amplitude modulation factor,factor de modulación de amplitud,amplitudimodulaatiokerroin,"taux de modulation d'amplitude, m",fattore di modulazione di ampiezza,振幅変調度,진폭 변조율,głębokość modulacji amplitudy,factor de modulação de amplitude,коэффициент амплитудной модуляции,"фактор амплитудске модулације, м јд",amplitudmoduleringsfaktor,调幅因数
314-08-05,envelope of an amplitude modulated signal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-05,عامل تعديل السعة,"Hüllkurve eines amplitudenmodulierten Signals, f",envelope of an amplitude modulated signal,envolvente de una señal modulada en amplitud,amplitudimoduloidun signaalin verhokäyrä,"enveloppe d'un signal modulé en amplitude, f",inviluppo di un segnale modulato in ampiezza,振幅変調信号の包絡線,진폭 변조 신호 포락선,obwiednia sygnału o modulowanej amplitudzie,envolvente de um sinal modulado em amplitude,огибающая амплитудно - модулированного сигнала,"анвелопа амплитудски модулисаног сигнала, ж јд",envelopp hos amplitudmodulerad signal,调幅信号包络
314-08-06,amplitude modulation distortion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-06,غلاف لإشارة معدلة السعة,"Amplitudenmodulationsverzerrung, f",amplitude modulation distortion,distorsión de modulación de amplitud,amplitudimodulaatiosärö,"distorsion de modulation d'amplitude, f",distorsione di una modulazione di ampiezza,振幅変調ひずみ,진폭 변조 왜곡,zniekształcenie modulacji amplitudy,distorsão de modulação de amplitude,искажение амплитудной модуляции,"изобличење амплитудске модулације, с јд",amplitudmoduleringsdistorsion,调幅失真
314-08-07,(absolute) frequency deviation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-07,تشوه  تعديل السعة,"Frequenzabweichung, f",(absolute) frequency deviation,desviación (absoluta) de frecuencia,(absoluuttinen) taajuuspoikkeama,"excursion (absolue) de fréquence, f",deviazione (assoluta) di frequenza,周波数偏移絶対周波数偏移,절대 주파수 편이,odchylenie bezwzględne częstotliwościodchylenie częstotliwościdewiacja bezwzględna częstotliwościdewiacja częstotliwości,desvio (absoluto) de frequência,(абсолютная) девиация частоты,"апсолутна девијација фреквенције , ж јд",absolut frekvensdeviation,绝对频偏频偏绝对频率偏差频率偏差
314-08-08,frequency modulation distortion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-08,حيود التردد (المطلق),"Frequenzmodulationsverzerrung, f",frequency modulation distortion,distorsión de modulación de frecuencia,taajuusmodulaatiosärö,"distorsion de modulation de fréquence, f",distorsione della modulazione di frequenza,周波数変調ひずみ,주파수 변조 왜곡,zniekształcenie modulacji częstotliwości,distorsão de modulação de frequência,искажение частотной модуляции,"изобличење фреквенцијске модулације, с јд",frekvensmoduleringdistorsion,调频失真
314-08-09,carrier frequency shift,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-09,تشوه تعديل التردد,"Trägerfrequenzverschiebung, f",carrier frequency shift,desplazamiento de la frecuencia de la onda portadora,kantoaaltotaajuuden siirtymä,"décalage de la fréquence de l'onde porteuse, m",spostamento della frequenza portante,搬送周波数のシフト,반송 주파수 변화반송 주파수 편이,przesunięcie częstotliwości nośnej,desvio de frequência da onda portadora,сдвиг несущей частоты,"померање носеће фреквенције, с јд",bärvågsförskjutning,载波频率偏移
314-08-10,frequency range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-10,تزحزح  حامل التردد,"Frequenzbereich, m",frequency range,gama de frecuencia,taajuusalue,"gamme de fréquence, f",campo di frequenza,測定周波数の範囲,주파수 범위,zakres częstotliwości,gama de frequência,диапазон частот,"опсег фреквенција, м јд",frekvensområde,频率范围
314-08-11,"frequency band, <of a signal generator>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-11,مدى التردد,"Frequenzband, <eines Signalgenerators> n","frequency band, <of a signal generator>",banda de frecuencia,taajuuskaista,"bande de fréquence, <d'un générateur de signaux> f",banda di frequenza,"周波数帯域, <信号発生器の>",주파수 대역,"pasmo częstotliwości, n","banda de frequências, <dum gerador de sinal>",полоса частот,"подопсег фреквенција, м јд",frekvensband,"频段, <信号发生器的>"
314-08-12,band overlap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-12,نطاق التردد,"Bandüberlappung, f",band overlap,recubrimiento,päällekkäiskaista,"recouvrement de bande, m",sovrapposizione di banda,帯域の重なり,대역 중첩,zachodzenie pasm,sobreposição de bandas,перекрытие полосналожение полос,"преклапање подопсега, с јд",bandöverlappning,频段重叠
314-08-13,matched output voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-13,تداخل نطاق,"Ausgleichsspannung bei Bemessungslast, f",matched output voltage,tensión de salida adaptada,sovitettu lähtöjännite,"tension de sortie adaptée, f",tensione di uscita adattata,整合出力電圧,정합 출력 전압,napięcie wyjściowe dopasowane,tensão de saída adaptada,согласованное выходное напряжение,"излазни напон на прилагођеном оптерећењу, м јд",utspänning vid anpassning,匹配输出电压
314-08-14,source e.m.f.,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-14,جهد خرج متوائم,"Quellenspannung, fLeerlaufspannung, f",source e.m.f.open circuit voltage,f.e.m. de la fuente; tensión a circuito abierto,tyhjäkäyntijännite,"f.é.m. de la source, ftension en circuit ouvert, f",sorgente di f.e.m.,開放出力電圧,전원 기전력,napięcie źródłowenapięcie stanu jałowego źródła,tensão em circuito abertof.e.m. da fonte,э.д.с. источниканапряжение в разомкнутой цепи,"електромоторна сила извора, ж јд",tomgångsspänning,源电动势开路电压
314-08-15,maximum output power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-08-15,قوة دافعة كهربائية للمصدر,"maximale Ausgangsleistung, f",maximum output power,potencia máxima de salida,suurin lähtöteho,"puissance de sortie maximale, f",potenza di uscita massima,最大出力電力,최대 출력 전력,moc wyjściowa maksymalna,potência de saída máxima,максимальная выходная мощность,"највећа излазна снага, ж јд",maximal uteffekt,最大输出功率
314-09-01,range-changing device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-09-01,أقصي قدرة خرج,"Messbereichsumschalter, mBereichsumschalter, m",range-changing device,conmutador de campo de medida,mittausaluetta vaihtava mittauslaite,"commutateur de gamme, mcommutateur de calibre, m",commutatore di scala del dispositivo,レンジ変更装置,범위 변경 장치,przełącznik zakresu pomiarowego,comutador de gama,переключатель диапазонов,"склоп за промену опсега, м јд",mätområdesomkopplare,量限转换器
314-09-02,range factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-09-02,أداة تغيير المدى,"Messbereichsfaktor, m",range factor,factor de campo de medida,alueen kerroin,"facteur de calibre, m",fattore di scala,レンジ倍率,범위 배율,mnożnik zakresu,factor de gama,коэффициент диапазонов,"фактор опсега, м јд",områdesfaktor,量限因数
314-09-03,measuring dial,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-09-03,عامل المدى,"Messskalenträger, m",measuring dial,cuadrante de medida,näyttötaulu,"cadran de mesure, m",quadrante di misura,測定ダイアル,측정 문자반,podziałka pomiarowa,quadrante de medição,измерительная круговая шкала,"мерни бројчаник, м јд",mätskala,测量盘
314-09-04,dial setting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-09-04,لوحة بيان (شاشة) قياس,"Skalenträgereinstellung, f",dial setting,valor ajustado,näyttötaulun asettelu,"valeur affichée, f",predisposizione del quadrante,ダイアル設定,다이얼 설정문자반 설정,wartość wskazywana,valor visualizado,установка круговой шкалы,"постављање бројчаника, с јд",skalinställning,标度盘示值
314-09-05,connecting resistance (potential),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-09-05,ضبط وضع لوحة بيان (شاشة),"Potentialverbindungswiderstand, m",connecting resistance (potential),resistencia de toma de potencial,kytkentäresistanssi,"résistance de prise de potentiel, f",resistenza di presa di potenzialeresistenza di presa di tensione,電圧端子の接続抵抗接続抵抗,접속 저항,rezystancja połączeń toru napięciowego,resistência de tomada de potencial,соединительное сопротивление (потенциала),"напонска спрежна отпорност, ж јд",anslutningsresistans,电位端连接电阻连接电阻
314-09-06,link resistance (current),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=314-09-06,مقاومة توصيل الجهد,"Stromverbindungswiderstand, m",link resistance (current),resistencia de toma de corriente,silmukkaresistanssi,"résistance d’amenée de courant, f",resistenza dell'alimentazione di corrente,電流端子のリンク抵抗リンク抵抗,링크 저항,rezystancja połączeń toru prądowego,resistência de chegada de corrente,соединительное сопротивление (по току),"струјна спрежна отпорност , ж јд",länkresistans,跨线电阻
