term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
482-03-35,charge retention,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-35,احتفاظ بالشحنة,uchování nábojeuchování kapacity,"Ladungshaltung, f",charge retentioncapacity retention,conservación de la capacidadconservación de la carga,varauksen pysyvyys,"conservation de la charge, fconservation de la capacité, f",conservazione della carica,容量保存性能,충전 유지력용량 유지력,zdolność zachowania ładunku,conservação da cargaconservação da capacidade,"задржавање наелектрисања, с јдзадржавање капацитета, с јд",laddningshållning,荷电保持能力容量保持能力
482-03-36,internal apparent resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-36,مقاومة داخلية ظاهرة,zdánlivý vnitřní odpor,"scheinbarer Innenwiderstand, m",internal apparent resistance,resistencia interna aparente,sisäinen vastus,"résistance interne apparente, f",resistenza interna apparente,見かけの内部抵抗,내부 겉보기 저항,rezystancja wewnętrzna,resistência interna aparente,"привидни унутрашњи отпор, м јд",inre resistans,表观内阻
482-03-37,residual active mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-37,كتلة فعالة متبقية,zbytková aktivní hmota,"restliche aktive Masse, f",residual active mass,masa activa residual,käyttämätön aktiiviaine,"masse active résiduelle, f",massa attiva residua,未放電活物質量,잔여 유효 질량잔여 활성 질량,masa czynna szczątkowa,massa activa residual,"преостала активна маса, ж јд",outnyttjbart aktivt material,剩余活性物质
482-03-38,service mass,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-38,كتلة مستخدمة,pracovní hmotnostprovozní hmotnost,"Betriebsmasse (einer Batterie), f",service mass,masa en servicio,akun massa,"masse en service, f",massa in servizio,使用時質量,공급 질량,masa całkowita,massa em serviço,"маса батерије, ж јд",batterivikt,使用质量
482-03-39,parallel connection (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-39,توصيل على التوازي ( للخلايا أو البطاريات ),"paralelní spojení, <týká se článků nebo baterií>","Parallelschaltung (von Zellen oder Batterien), f",parallel connection (related to cells or batteries),conexión en paralelo (de un elemento o de una batería),rinnankytkentä,"montage en parallèle (d’un élément ou d’une batterie), m",connessione in parallelo,"並列接続, <電池に関する>","병렬 연결, <전지 또는 축전지>",połączenie równoległe (ogniw lub baterii),montagem em paralelo (de elementos ou de baterias),"паралелна веза, <односи се на ћелије или батерије> ж јд",parallellkoppling,并联
482-03-40,parallel series connection (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-40,توصيل توالى توازى,"paralelně sériové spojení, <týká se článků nebo baterií>","Parallel-Reihenschaltung (von Zellen oder Batterien), f",parallel series connection (related to cells or batteries),conexión paralelo-serie (de un elemento o de una batería),rinnankytkentäisten kennojen sarjakytkentä,"montage en parallèle-série (d’un élément ou d’une batterie), m",connessione in serie-parallelo,"並直列接続, <電池に関する>","병직렬 연결, <전지 또는 축전지 관련>",połączenie równoległo-szeregowe (ogniw lub baterii),montagem em paralelo-série (de elementos ou de baterias),"паралелно редна веза, <односи се на ћелије или батерије> ж јд",parallell-seriekoppling,并串联
482-03-41,series connection (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-41,توصيل على التوالي,"sériové spojení, <týká se článků nebo baterií>","Reihenschaltung (von Zellen oder Batterien), fSerienschaltung (von Zellen oder Batterien), f",series connection (related to cells or batteries),conexión en serie (de un elemento o de una batería),sarjakytkentä,"montage en série (d’un élément ou d’une batterie), m",connessione in serie-parallelo,"直列接続, <電池に関する>","직렬 연결, <전지 또는 축전지 관련>",połączenie szeregowe (ogniw lub baterii),montagem em série (de elementos ou de baterias),"редна веза, <односи се на ћелије или батерије>ж јд",seriekoppling,串联
482-03-42,series parallel connection (related to cells or batteries),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-42,توصيل على التوالي والتوازي,"sérioparalelní spojení, <týká se článků nebo baterií>","Reihen-Parallelschaltung (von Zellen oder Batterien), f",series parallel connection (related to cells or batteries),conexión serie-paralelo (de un elemento o de una batería),sarjakytkentäisten kennojen rinnankytkentä,"montage en série-parallèle (d’un élément ou d’une batterie), m",connessione in parallelo-serie,"直並列接続, <電池に関する>","직병렬 연결, <전지 또는 축전지 관련>",połączenie szeregowo-równoległe (ogniw lub baterii),montagem em série-paralelo (de elementos ou de baterias),"редно паралелна веза, <односи се на ћелије или батерије> ж јд",serie-parallellkoppling,串并联
482-03-43,nominal value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-43,قيمة اسمية,jmenovitá hodnota,"Nennwert, m",nominal value,valor nominal,nimellisarvo,"valeur nominale, fvaleur de dénomination, f",valore nominale,公称値,공칭값,wartość nominalna,valor nominal,"називна вредност, ж јд",nominellt värde,标称值
482-03-44,battery endurance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-44,تحمل البطارية,odolnost baterie,"Haltbarkeit einer Batterie, f",battery endurance,endurancia de batería,akun kestävyys,"endurance de batterie, f",durata di batteria,耐久特性,축전지 내성,właściwości eksploatacyjne baterii,endurância de uma bateria,"издржљивост батерије, ж јд",drifttid,电池耐久性
482-03-45,storage test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-45,اختبار التخزين,zkouška skladování,"Lagerungsprüfung, f",storage test,ensayo de conservación,varastointitesti,"essai de conservation, m",prova di magazzinaggio,貯蔵後試験貯蔵試験,축적 시험,próba przechowywania,ensaio de armazenagem,"испитивање очувања капацитета, с јд",lagringsprov,贮存试验
482-03-46,service life,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-46,عمر الخدمة,provozní životnost,"Lebensdauer, f",service life,vida útil,käyttöikä,"durée de vie en service, f",durata in servizio,電池寿命,유효 수명,czas użytkowania użyteczny czas życia,duração de vida em serviço,"радни век, м јд",livslängd,使用寿命放电时间
482-03-47,storage life,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-47,عمر التخزين,skladovatelnost,"Lagerfähigkeit, f",storage lifeshelf life,tiempo de almacenamientotiempo de conservación,varastointiaika,"durée de stockage, fdurée de conservation, f",durata di magazzinaggio,貯蔵寿命,축적 수명,dopuszczalny czas przechowywania,duração de armazenagem,"период складиштења, м јд",lagringstid,贮存寿命
482-03-48,continuous service test,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-03-48,اختبار الخدمة المستمرة,nepřetržitá provozní zkouška,"Dauerentladeprüfung, f",continuous service test,ensayo de servicio continuo,jatkuva purkutesti,"essai continu, m",prova in servizio continuativo,連続放電試験,연속 방전 시험,próba pracy ciągłej,ensaio de serviço contínuo,"испитивање континуалности рада, с јд",kontinuerligt urladdningsprov,连续工作试验
482-04-01,air metal battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-01,بطارية هوائية  معدنية,baterie vzduch-kov,"Luft-Metall-Batterie, f",air metal battery,pila de aire-metal,metalli-ilmaparisto,"pile air-métal, f",batteria aria-metallo,空気メタル電池,공기 금속 축전지,bateria powietrze-metal,pilha ar-metal,"батерија ваздух–метал, ж јд",metall-luftbatteri,金属-空气电池
482-04-02,alkaline zinc air battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-02,بطارية هوائية  زنك قلوية,alkalická baterie vzduch-zinek,"alkalische Luft-Zink-Batterie, f",alkaline zinc air battery,pila alcalina de aire-cinc,alkali-sinkki-ilmaparisto,"pile alcaline air-zinc, f",batteria alcalina aria-zinco,空気亜鉛電池,알칼리 아연 공기 축전지,bateria alkaliczna powietrze-cynk,pilha alcalina ar-zinco,"алкална цинк–ваздух батерија, ж јд",alkaliskt zink-luftbatteri,碱性锌-空气电池
482-04-03,alkaline zinc manganese dioxide battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-03,بطارية ثاني أكسيد المنجنيز زنك قلوية,alkalická baterie oxid manganičitý-zinek,"alkalische Zink-Mangandioxid-Batterie, f",alkaline zinc manganese dioxide battery,pila alcalina de dióxido de manganeso-cinc,alkalikuivaparisto,"pile alcaline au bioxyde de manganèse zinc, f",batteria alcalina al biossido di manganese-zinco,アルカリマンガン電池,알칼리 아연 이산화망간 축전지,bateria alkaliczna dwutlenek manganu – cynk,pilha alcalina de dióxido de manganésio-zinco,"алкална цинк–манган-диоксид батерија, ж јд",alkaliskt torrbatteri,碱性锌-二氧化锰电池
482-04-04,zinc silver oxide battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-04,بطارية  أكسيد الفضة- زنك القلوية,baterie oxid stříbrný-zinek,"Zink-Silberoxid-Batterie, f",zinc silver oxide battery,pila de óxido de plata-cinc,sinkki-hopeaoksidiparisto,"pile à oxyde d'argent et zinc, f",batteria all'ossido di zinco-argento,酸化銀電池,아연 산화은 축전지,bateria tlenek srebra – cynk,pilha de óxido de prata-zinco,"цинк–сребро-оксид батерија, ж јд",silveroxidbatteri,锌-氧化银电池
482-04-05,neutral electrolyte zinc air battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-05,بطارية هوائية - زنك ذات محلول متعادل,baterie vzduch-zinek s neutrálním elektrolytem,"Luft-Zink-Batterie mit neutralem Elektrolyt, f",neutral electrolyte zinc air battery,pila de aire-cinc con electrolito neutro,neutraalielektrolyyttinen sinkki-alkaliparisto,"pile air-zinc à électrolyte neutre, f",batteria aria-zinco ad elettrodo neutro,空気湿電池,중성 전해질 아연 축전지,bateria powietrze-cynk z elektrolitem obojętnym,pilha ar-zinco com electrólito neutro,"цинк–ваздух батерија са неутралним електролитом, ж јд",zink-luftbatteri med neutral elektrolyt,中性锌-空气电池
482-04-06,zinc chloride battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-06,بطارية كلوريد الزنك,baterie s chloridem zinečnatýmzinkochloridová baterie,"Zinkchloridbatterie, f",zinc chloride battery,pila de cloruro de cinc,sinkkikloridiparisto,"pile au chlorure de zinc, f",batteria al cloruro di zinco,塩化亜鉛電池,염화 아연 축전지,bateria z chlorkiem cynku,pilha de cloreto de zinco,"цинк-хлорид батерија, ж јд",zinkkloridbatteri,氯化锌电池
482-04-07,zinc carbon battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-07,بطارية كربون - زنك,baterie uhlík-zinek,"Zink-Kohle-Batterie, f",zinc carbon battery,pila salina,ruskokiviparisto,"pile saline, f",batteria zinco-carbone,マンガン乾電池,아연 탄소 축전지,bateria węgiel-cynk,pilha salina,"цинк–графит батерија, ж јд",brunstensbatteri,锌-碳电池
482-04-08,Leclanché battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-08,بطارية لاكلانشية,Laclanchéova baterie,"Leclanché-Batterie, f",Leclanché battery,pila Leclanché,Leclanchén paristo,"pile Leclanché, f",batteria Leclanché,ルクランシェ電池,르클랑셰 축전지,bateria Leclanchégo,pilha Leclanché,"Лекланшеова батерија, ж јд",Leclanché-batteri,勒克朗谢电池
482-04-09,lithium carbon monofluoride battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-09,بطارية أول فلوريد الكربون- ليثيوم,baterie fluorid uhlíku-lithium,"Lithium-Kohlenstoffmonofluorid-Batterie, f",lithium carbon monofluoride battery,pila de litio-monofluoruro de carbono,litium-hiilimonofluoridiparisto,"pile au lithium et monofluorure de carbone, f",batteria al litio e monofluoruro di carbone,ふっ化黒鉛リチウム一次電池,리튬 일플루오르화 탄소 축전지,bateria monofluorek węgla – lit,pilha de lítio-monofluoreto de carbono,"литијум–угљенмонофлуорид батерија, ж јд",litium-kolmonofluoridbatteri,锂-一氟化碳聚合物电池
482-04-10,lithium manganese dioxide battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-10,بطارية  ثاني أكسيد منجنيز - ليثيوم,baterie oxid manganičitý-lithium,"Lithium-Mangandioxid-Batterie, f",lithium manganese dioxide battery,pila alcalina de dióxido de manganeso-litio,litium-mangaanidioksidiparisto,"pile au bioxyde de manganèse et lithium, f",batteria al litio e biossido di manganese,二酸化マンガンリチウム一次電池,리튬 이산화망간 축전지,bateria dwutlenek manganu – lit,pilha de dióxido de manganésio-lítio,"литијум–манган-диоксид батерија, ж јд",litium-mangandioxidbatteri,锂-二氧化锰电池
482-04-11,lithium copper oxide battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-11,بطارية أكسيد نحاس - ليثيوم,baterie oxid měďnatý-lithium,"Lithium-Kupferoxid-Batterie, f",lithium copper oxide battery,pila de óxido de cobre-litio,litium-kuparioksidiparisto,"pile à l’oxyde de cuivre-lithium, f",batteria al litio e ossido di rame,酸化銅リチウム一次電池,리튬 산화구리 축전지,bateria tlenek miedzi – lit,pilha de óxido de cobre-lítio,"литијум–бакар-оксид батерија, ж јд",litium-kopparoxidbatteri,锂-氧化铜电池
482-04-12,lithium iron disulphide battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-12,بطارية ثاني كبريتيد الحديد -  ليثيوم,baterie disulfid železa-lithium,"Lithium-Eisendisulfid-Batterie, f",lithium iron disulphide battery,pila de disulfuro hierro-litio,litium-rautasulfaattiparisto,"pile au disulfure de fer et lithium, f",batteria al litio e al bisolfuro di ferro,二硫化鉄リチウム一次電池,리튬 이황화철 축전지,bateria dwusiarczek żelaza – lit,pilha de dissulfureto de ferro-lítio,"литијум–гвожђе-дисулфид батерија, ж јд",litium-järndisulfidbatteri,锂-二硫化铁电池
482-04-13,lithium thionyl chloride battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-13,بطارية كلوريد الثيونيل - ليثيوم,baterie thionylchlorid-lithium,"Lithium-Thionylchlorid-Batterie, f",lithium thionyl chloride battery,pila de dicloruro de tionilo-litio,litium-tionyylikloridiparisto,"pile au dichlorure de thionyle et lithium, f",batteria al litio e bicloruro di tionile,塩化チオニールリチウム一次電池,리튬 염화티모닐 축전지,bateria chlorek tionylu – lit,pilha de dicloreto de tionil-lítio,"литијум–тионил-хлорид батерија, ж јд",litium-tionylkloridbatteri,锂-亚硫酰氯电池
482-04-14,dry cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-14,خلية  جافة,suchý článek,"Trockenzelle, f",dry cell,pila seca,kuivaparisto,"pile sèche, f",pila a secco,乾電池,건전지,ogniwo suche,pilha seca,"сува ћелија, ж јд",torrcell,干电池
482-04-15,paper-lined cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-15,خلية بتبطين ورقي,článek vyplněný papírem,"papiergefütterte Zelle, f",paper-lined cell,pila con papel separador,paperieristeparisto,"pile au papier, f",pila a carta,ペーパーラインド電池,종이형 건전지,ogniwo z papierowym separatorem,pilha de papel,"ћелија са папирним сепаратором, ж јд",cell med absorberad elektrolyt,纸板电池
482-04-16,paste-lined cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-16,خلية بتبطين عجيني,článek vyplněný pastou,"Pastenzelle, f",paste-lined cell,pila con separador gelificado,geeliparisto,"pile à gel, f",pila al gel,のり式電池,페이스트 전지,ogniwo ze zżelowanym elektrolitem ogniwo pastowane (termin niezalecany),pilha de gel,"ћелија са сепаратором од желатинске пасте, ж јд",cell med gelatinerad elektrolyt,浆糊电池
482-04-17,round cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-04-17,خلية مستديرة,válcový článek,"Rundzelle, f",round cell,pila cilíndrica,sylinteriparisto,"pile ronde, f",elemento cilindrico,円形電池,원형전지,ogniwo okrągłe,pilha redonda,"округла ћелија, ж јд",cylindrisk cell,圆柱形原电池圆柱形电池
482-05-01,lead dioxide lead battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-01,بطارية  ثاني أكسيد الرصاص - الرصاص,akumulátorová baterie oxid olovičitý-olovoolověná akumulátorová baterie,"Bleibatterie, fBleiakkumulator, m",lead dioxide lead batterylead dioxide lead battery,batería de plomo ácidobatería de plomo-dióxido de plomo,lyijyakku,"batterie au plomb-bioxyde de plomb, fbatterie au plomb, f",batteria al piombo-biossido di piombo,鉛蓄電池,이산화납 축전지,bateria dwutlenek ołowiu – ołów bateria kwasowo-ołowiowa,bateria de chumbo-dióxido de chumbobateria de chumbo,"олово-диоксид–олово батерија, ж јдоловна батерија са киселином, ж јд",blybatteri,铅酸蓄电池
482-05-02,nickel oxide cadmium battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-02,بطارية  أكسيد نيكل- كادميوم,akumulátorová baterie oxid nikelnatý-kadmiumnikl-kadmiová akumulátorová baterie,"Nickel-Kadmium-Batterie, f",nickel oxide cadmium batterynickel cadmium battery,batería de cadmio-óxido de níquelbatería de níquel-cadmio,nikkeli-kadmiumakku,"batterie au cadmium-oxyde de nickel, fbatterie nickel-cadmium, f",batteria al cadmio-ossido di nichel,ニッケル・カドミウム蓄電池,니켈산화 카드뮴 축전지,bateria tlenek niklu – kadm bateria niklowo-kadmowa,bateria de cádmio-óxido de níquelbateria de níquel-cádmio,"никл-оксид–кадмијум батерија, ж јдникл–кадмијум батерија, ж јд",nickel-kadmiumbatteri,镉镍蓄电池
482-05-03,nickel oxide iron battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-03,بطارية  أكسيد نيكل- حديد,akumulátorová baterie oxid nikelnatý-železonikl-železná akumulátorová baterie,"Nickel-Eisen-Batterie, f",nickel oxide iron batterynickel iron battery,batería de níquel-hierrobatería de óxido de níquel-hierro,nikkeli-rauta-akku,"batterie à l’oxyde de nickel-fer, fbatterie nickel-fer, f",batteria al ferro-ossido di nichel,ニッケル・鉄蓄電池,니켈산화철 축전지,bateria tlenek niklu – żelazo bateria niklowo-żelazowa,bateria de óxido de níquel-ferrobateria de níquel-ferro,"никл-оксид–гвожђе батерија, ж јдникл–гвожђе батерија, ж јд",nickel-järnbatteri,铁镍蓄电池
482-05-04,nickel oxide zinc battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-04,بطارية أكسيد نيكل- زنك,akumulátorová baterie oxid nikelnatý-zineknikl-zinková akumulátorová baterie,"Nickel-Zink-Batterie, f",nickel oxide zinc batterynickel zinc battery,batería de níquel-cincbatería de óxido de níquel-cinc,nikkeli-sinkkiakku,"batterie à l’oxyde de nickel-zinc, fbatterie nickel-zinc, f",batteria allo zinco-ossido di nichel,ニッケル・亜鉛蓄電池,니켈산화 아연 축전지,bateria tlenek niklu – cynk bateria niklowo-cynkowa,bateria de óxido de níquel-zincobateria de níquel-zinco,"никл-оксид–цинк батерија, ж јдникл–цинк батерија, ж јд",nickel-zinkbatteri,锌镍蓄电池
482-05-05,silver oxide cadmium battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-05,بطارية أكسيد فضة- كادميوم,stříbro-kadmiová akumulátorová baterie,"Silber-Kadmium-Batterie, f",silver oxide cadmium battery,batería de óxido de plata-cadmio,hopea-kadmiumakku,"batterie à l’oxyde d’argent-cadmium, f",batteria al cadmio-ossido d'argento,酸化銀・カドミウム蓄電池,은산화 카드뮴 축전지,bateria tlenek srebra – kadm,bateria de óxido de prata-cádmio,"сребро-оксид–кадмијум батерија, ж јд",silver-kadmiumbatteri,镉银蓄电池
482-05-06,silver zinc battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-06,بطارية فضة - زنك,stříbro-zinková akumulátorová baterie,"Silber-Zink-Batterie, f",silver zinc battery,batería de plata-cinc,hopea-sinkkiakku,"accumulateur argent-zinc, m",batteria zinco-argento,酸化銀・亜鉛蓄電池,은 아연 축전지,bateria srebrowo-cynkowa,acumulador de prata-zinco,"сребро–цинк батерија, ж јд",silver-zinkbatteri,锌银蓄电池
482-05-07,lithium ion battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-07,بطارية هيدريد نيكل - معدن,lithium ion akumulátorová baterie,"Lithiumionenbatterie, f",lithium ion battery,batería de ión-litio,litiumioniakku,"batterie ion-lithium, f",batteria agli ioni di litio,リチウムイオン電池,리툼 이온 축전지,bateria litowo-jonowa,bateria ião-lítio,"литијум–јон батерија, ж јд",litiumjonbatteri,锂离子蓄电池
482-05-08,nickel-metal hydride battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-08,بطارية هيدريد نيكل - معدن,nikl-metalhydridová akumulátorová baterieakumulátorová baterie nikl-metalhydrid,"Nickel-Metallhydrid-Batterie, f",nickel-metal hydride battery,batería de níquel-hidruro metálico,nikkeli-metallihydridiakku,"batterie au sodium-chlorure de nickel, fbatterie nickel-hydrure métallique, f",batteria idruro metallico di nichel,ニッケル・水素蓄電池,니켈 수소 합금 전지엔아이엠에이치 배터리,bateria niklowo-wodorkowa,bateria de sódio-cloreto de níquelbateria de níquel-hidreto metálico,"никл–металхидрид батерија, ж јд",nickel-metallhydridbatteri,金属氢化物镍蓄电池
482-05-09,battery base,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-09,قاعدة بطارية,stojan pro baterie,"Batterieständer, m",battery base,base de batería,akkualusta,"chantier de batterie, m",base della batteria,電池支持台,전지 베이스,podstawa baterii,base de bateria,"батеријска основа, ж јд",batterifundament,电池底垫
482-05-10,battery crate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-10,قفص بطارية,bateriový nosič,"Batterieträger, m",battery crate,chasis de batería,tukilaatikko,"chassis, m",chassis della batteria,電池用枠,축전지 크레이트,blok baterii,cesto de baterias,"батеријско паковање, с јд",batterilåda,电池组合框
482-05-11,flame arrestor vent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-11,سدادة منفس مانعة اللهب,protiexplozivní zátkaprotizášlehová zátka,"Flammschutzvorrichtung, f",flame arrestor ventflame arrester vent,cierre antillama,räjähdyssuojaventtiili,"fermeture anti-déflagrante, f",apertura antideflagrante,防爆栓,불꽃 피뢰기 통풍구,zawór przeciwogniowy,exutor antideflagrante,"одводник пламена, м јд",flamspärrande ventil,阻燃孔
482-05-13,cell baffle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-13,حاجز خلية,ochranná vložka,"Schwappschutz, m",cell baffle,deflector de elemento,roiskesuojaerotinsuoja,"déflecteur d’élément, m",deflettore di elemento,防沫板,전지 방해판,przegroda ogniwa,deflector de elemento,"преграда, ж јд",spillskydd,电池保护板
482-05-14,vented cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-14,خلية ذاتية التنفيس,větraný článek,"geschlossene Zelle, f",vented cell,elemento abierto,avokenno,"élément ouvert, m",elemento aperto,ベント形蓄電池,방출형 단전지,ogniwo wentylowane,elemento aberto,"ћелија са одушком, ж јд",ventilerad cell,排气式电池
482-05-15,valve regulated lead acid battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-15,بطارية رصاص حمضية ذات الصمام المتحكم,uzavřená ventilem řízená olověná akumulátorová baterieVRLA,"verschlossene Bleibatterie, f",valve regulated lead acid batteryVRLA (abbreviation),batería sellada con válvula reguladaVRLA (abreviatura),suljettu lyijyakku,"batterie étanche à soupapes, fVRLA (abréviation) f",batteria all'acido di piombo regolata con valvole,"制御弁式鉛蓄電池VRLA, （略語）",밸브 조절형 납 산성 전지,bateria dwutlenek ołowiu – ołów z zaworem,bateria estanque com válvulasVRLA (abreviatura inglesa),"оловна батерија са вентилом, ж јд",ventilreglerat blybatteri,阀控式铅酸蓄电池VRLA
482-05-16,non-spillable cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-16,خلية لا يتسرب منها المحلول الالكتروليتي,nevylitelný článek,"kippsichere Zelle, f",non-spillable cell,elemento no derramable,vuotamaton kenno,"élément renversable, m",elemento antiversamento,防漏形電池,비유출 전지,ogniwo niewylewne,elemento virável,"ћелија заштићена од просипања, ж јд",läckagesäkrad cell,不漏液电池
482-05-17,sealed cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-17,خلية محكمة السد,uzavřený plynotěsný článek,"gasdichte Zelle, f",sealed cell,elemento estanco,kaasutiivis kenno,"élément étanche, m",elemento stagno,密閉形電池,밀봉 전지,ogniwo szczelne,elemento estanque,"непропусна ћелија, ж јд",sluten cell,密封电池
482-05-18,mudribs,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-18,قواعد ارتكاز اللواح بقاع صندوق البطارية,žebra kalového prostoru,"Schlammrippen, f, pl",mudribs,calzos,pohjaristikko,"tasseaux, m pl",nervature,くら,안장,użebrowanie obudowy użebrowanie,nervuras,"таложник, м јд",bottenprisma,鞍子
482-05-19,Faure plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-19,لوح (فور),elektroda Faure,"Faure-Platte, f",Faure plate,placa Faure,Fauren levy,"plaque Faure, f",elettrodo Faure,フォール式極板,포르식 극판,płyta Faure’a,placa Faure,"колекторска мрежица, ж јд",Faure-platta,富尔极板
482-05-20,Planté plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-20,لوح (بلانتي),elektroda Planté,"Planté-Platte, f",Planté plate,placa Planté,suurpintalevy,"plaque Planté, f",elettrodo Planté,プランテ式極板,플란테형 극판,płyta Planté’go,placa Planté,"Плантеова плоча, ж јд",Planté-platta,形成式极板普朗泰极板
482-05-21,pocket plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-21,لوح بشكل جيب,kapsová elektroda,"Taschenplatte, f",pocket plate,placa con cavidad,taskulevy,"plaque à pochettes, f",elettrodo assemblato,ポケット式極板,포켓 극판,płyta kieszonkowa,placa de bolsos,"џепна плоча, ж јд",fickplatta,袋式极板
482-05-22,sintered plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-22,لوح ملبد,sintrovaná elektroda,"Sinterplatte, f",sintered plate,placa sinterizada,sintrattu levy,"plaque frittée, f",elettrodo sinterizzato,焼結式極板,소결 극판,płyta spiekana,placa sinterizada,"синтерована плоча, ж јд",sintrad platta,烧结式极板
482-05-23,vent cap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-23,غطاء سدادة التهوية,větrací zátkavětrací uzávěr,"Entgasungsstopfen, m",vent cap,tapón,venttiilinhattu,"bouchon, m",tappo aperto,排気栓,방출 마개방출 캡,korek wentylacyjny,tampa furada,"вентилациони поклопац, м јд",ventil,排气帽
482-05-24,battery rack,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-24,حامل بطارية,bateriová policebateriový stojan,"Batteriegestell, n",battery rack,estante de baterías,akkuteline,"étagère pour batterie, f",armadio per batterie,架台,축전지 가대,stojak baterii,estante para bateria,"батеријско постоље, с јд",batteriställning,电池组架
482-05-25,maintenance-free battery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-25,نضيدة لا تحتاج صيانة,bezúdržbová akumulátorová baterie,"wartungsfreie Batterie, f",maintenance-free battery,batería libre de mantenimiento,huoltovapaa akku,"batterie sans entretien, f",batteria non trattenuta,メンテナンスフリ－蓄電池,유지 보수 불호 축전지,bateria bezobsługowa,bateria sem manutenção,"батерија којој није потребно одржавање, ж јд",underhållsfritt batteri,免维护电池
482-05-26,starting capability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=482-05-26,قدرة البدأ,startovací schopnost,"Startleistung, f",starting capability,capacidad de arranque,käynnistyskyky,"pouvoir de démarrage, m",capacità di avviamento,始動性能,개시 용량,zdolność rozruchowa,poder de arranque,"стартни капацитет, м јд",startförmåga,起动能力
