term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
712-02-31,directional null,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-31,ملغى الإتجاه,"Nullstelle, <in der Strahlungscharakteristik> f",directional null,mínimo direccional,nollakohtasuuntakuvion nollakohta,"zéro de rayonnement, m",zero d'irradiazione,無指向性,무방향성,zero kierunkowe,mínimo direccional,smerna ničlaničla,nollriktning,方向零点
712-02-32,beam axis (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-32,محور الحزمة (للهوائي),"Strahlachse, <einer Antenne> fStrahlrichtung, <einer Antenne> f",beam axis (of an antenna),eje del haz (de una antena),keilan akseli,axe d'un faisceau (d'une antenne) m,asse del fascio,ビーム軸,"빔 축, <안테나>",oś wiązki (anteny),eixo de feixe (de uma antena),os snopa antene,lobriktning,"波束轴, <天线的>射束轴"
712-02-33,"beamwidth, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-33,"عرض الشعاع, <للهوائي>","Keulenbreite, f","beamwidth, <of an antenna>",ancho del haz,keilanleveys,"largeur angulaire, <d'un faisceau ou d'un lobe de rayonnement> flargeur de faisceau, <d'une antenne> f",larghezza del fascio,"ビーム幅, <アンテナ>","빔 폭, <안테나>","szerokość wiązki, <anteny> f",largura angular (de um feixe ou de um lóbulo de radiação),širina snopa,lobvidd,"波束宽度, <天线的>射束宽度"
712-02-34,"electrical boresight, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-34,محور كهربائي هوائي,"Hauptstrahlrichtung, <einer Antenne> f","electrical boresight, <of an antenna>",eje radioeléctrico (de una antena),sähköinen akseli,"axe radioélectrique, <d'une antenne> maxe de tir, <d'une antenne> m",direzione di puntamento,電気照準,전기적 조준 축전기적 방사 축,"ukierunkowanie elektryczne, <anteny> n",eixo radioeléctrico (de uma antena),električna glavna smer snopa antene,elektrisk axel,"电轴, <天线的>"
712-02-35,reference boresight (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-35,مدى الرؤية المرجعى (للهوائى),"Referenz-Hauptstrahlrichtung, <einer Antenne> f",reference boresight (of an antenna),eje de referencia (de una antena),antennin vertailusuunta,axe de référence (d'une antenne) maxe de visée (d'une antenne) m,direzione di riferimento,基準照準,"기준 방사 축, <안테나>",ukierunkowanie odniesienia (anteny),eixo de referência (de uma antena),referenčna glavna smer snopa antene,referensriktning,"参考视轴, <天线的>"
712-02-36,boresight error (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-36,خطأ في الرؤية (للهوائي ),"Abweichung der Hauptstrahlrichtung, <einer Antenne> f",boresight error (of an antenna),error de alineamiento (de una antena),akselivirhe,écart de visée (d'une antenne) m,errore di puntamento,照準誤差,"조준 오차, <안테나>",błąd ukierunkowania (anteny),erro de referência (de uma antena),odmik glavne smeri snopa antene,vinkelfel,"视轴误差, <天线的>"
712-02-37,squint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-37,انحراف,"Schielen, <einer Antenne> f",squint,estrabismo (de una antena),vinoutuma,strabisme (d'une antenne) m,strabismo,スキント,사시스퀸트,odchylenie ukierunkowania (anteny),estrabismo (de uma antena),škiljenje antene,skelning,倾斜
712-02-38,squint angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-38,زاوية الإنحراف,"Schielwinkel, <einer Antenne> f",squint angle,ángulo de estrabismo (de una antena),vinoutumakulma,angle de strabisme (d'une antenne) m,angolo di strabismo,スキントアングル,사시각스퀸트각,kąt odchylenia ukierunkowania (anteny),ângulo de estrabismo (de uma antena),kot škiljenja,skelvinkel,倾斜角
712-02-41,radiation intensity (from an antenna in a given direction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-41,شدة الإشعاع ( من الهوائي باتجاه معين ),"Strahlungsintensität, <einer Antenne in eine gegebene Richtung> f",radiation intensity (from an antenna in a given direction),intensidad de radiación (de una antena en una dirección dada),säteilyintensiteettisäteilyintensiteetti tietyssä suunnassa,"intensité de rayonnement (d'une antenne, dans une direction) f",intensità d'irradiazione (potenza/angolo solido),放射強度,"방사 강도, <지정된 방향에서의 안테나>복사 강도",gęstość promieniowania (z anteny w danym kierunku),"intensidade de radiação (de uma antena, numa direcção)",sevalna jakost antene v dani smeri,strålningsstyrka,"辐射强度, <从给定方向的天线>"
712-02-42,"directivity (of an antenna, in a given direction)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-42,الاتجاهية (من الهوائي في اتجاه معين),"Richtfaktor, <einer Antenne in eine gegebene Richtung> mRichtwirkung, f","directivity (of an antenna, in a given direction)",directividad (de una antena en una dirección dada),suuntaavuus,"directivité (d'une antenne, dans une direction) fgain de directivité (terme déconseillé) m",direttività (in una data direzione),指向性,"방향성, <지정된 방향에서 안테나>지향성, <지정된 방향에서 안테나>",kierunkowość (anteny w danym kierunku),"directividade (de uma antena, numa direcção)",smernost antene v dani smeri,direktivitet,"方向性系数, <给定方向天线的>方向性, <给定方向天线的>"
712-02-43,"absolute gain, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-43,"كسب مطلق, <للهوائي>","absoluter Gewinn, <einer Antenne in einer gegebenen Richtung> misotroper Gewinn, <einer Antenne in einer gegebenen Richtung> m","absolute gain, <of an antenna>isotropic gain, <of an antenna>",ganancia (absoluta) (de una antena)ganancia isotrópica (de una antena) (en una dirección dada),isotrooppinen vahvistus,"gain isotrope, <d'une antenne> mDÉCONSEILLÉ: gain absolu, <d'une antenne> m",guadagno isotropo (riferito al radiatore),"絶対利得, <アンテナ>等方性利得","절대 이득, <안테나>등방성 이득","zysk bezwzględny, <anteny w danym kierunku> mzysk izotropowy, <anteny w danym kierunku> m","ganho (absoluto) (de uma antena, numa direcção)ganho isotrópico (de uma antena, numa direcção)",(absolutni) dobitek antene v dani smeriizotropni dobitek antene v dani smeri,antennvinst,"绝对增益, <天线的>"
712-02-44,"partial gain (of an antenna, for a given polarization)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-44,كسب جزئي ( لهوائي ، لإستقطاب معين ),"Teilgewinn, <einer Antenne für eine gegebene Polarisation> f","partial gain (of an antenna, for a given polarization)",ganancia parcial (de una antena para una polarización dada),polarisaatiokohtainen osittaisvahvistus,"gain isotrope (partiel) (d'une antenne, pour une polarisation spécifiée) m",guadagno isotropo parziale (per una data polarizzazione),部分利得,"부분 이득, <지정된 방향에서 안테나>",zysk cząstkowy (anteny dla danej polaryzacji),"ganho parcial (de uma antena, para uma polarização especificada)",delni dobitek antene za dano polarizacijo,partiell antennvinst,"部分增益, <给定极化的天线>"
712-02-45,relative gain (of an antenna with respect to that of a reference antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-45,كسب نسبي (لهوائى بالنسبة لهوائى مرجعى),"relativer Gewinn, <einer Antenne gegenüber einer Referenzantenne> m",relative gain (of an antenna with respect to that of a reference antenna),ganancia relativa (de una antena respecto a una antena de referencia),suhteellinen vahvistus,gain relatif (d'une antenne par rapport à une antenne de référence) m,guadagno relativo,相対利得,"상대 이득, <기준 안테나와 관련된 안테나>",zysk względny (anteny w stosunku do zysku anteny odniesienia),ganho relativo (de uma antena em relação a uma antena de referência),relativni dobitek antene glede na referenčno anteno,relativantennvinst,"相对增益, <相对于一个参考天线的天线>"
712-02-46,partial effective area (of an antenna for a given polarization and direction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-46,المساحة الفعالة الجزئية (للهوائي ولإستقطاب واتجاه محدد),"Teilwirkfläche, fpartielle Wirkfläche, <einer Antenne für eine gegebene Polarisation und Richtung>",partial effective area (of an antenna for a given polarization and direction),área efectiva parcial (para una polarización y dirección dadas)superficie equivalente (desaconsejado),osittaissieppauspinta,aire équivalente (partielle) (d'une antenne pour une polarisation et une direction données) fsurface équivalente (terme déconseillé) fsurface effective (terme déconseillé) f,area equivalente parziale (per una data polarizzazione),部分実効面積,"부분 유효 면적, <정해진 편파 및 방향을 위한 안테나>",powierzchnia skuteczna częściowa (anteny dla danej polaryzacji i kierunku),área equivalente (parcial) (de uma antena para uma polarização direcção dadas),delna efektivna površina antene za dano polarizacijo in smer,partiell absorptionsyta,"部分有效面积, <一个给定极化和方向的天线>"
712-02-47,(total) effective area (of an antenna for a given direction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-47,المساحة الفعالة الكلية (للهوائي وباتجاه محدد ),"Gesamtwirkfläche, <einer Antenne für eine gegebene Richtung> fWirkfläche, <einer Antenne für eine gegebene Richtung> f",(total) effective area (of an antenna for a given direction),área efectiva (total) (de una antena para una dirección dada)superficie equivalente (total) (término desaconsejado),sieppauspintakokonaissieppauspinta,aire équivalente (totale) (d'une antenne pour une direction donnée) fsurface équivalente (terme déconseillé) fsurface effective (terme déconseillé) f,area equivalente (per una data polarizzazione),（総）実効面積,"총 유효 면적, <지정된 방향에서 안테나>",powierzchnia skuteczna całkowita (anteny dla danego kierunku) powierzchnia skuteczna (anteny dla danego kierunku),área equivalente (total) (de uma antena para uma direcção dada),(celotna) efektivna površina antene v dani smeri,,"总有效面积, <一个给定方向的天线>"
712-02-48,"scattering cross-section, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-48,مقطع عرضي مبعثر (لهوائي),"Streuquerschnitt, <einer Antenne> mStreufläche, <einer Antenne> f","scattering cross-section, <of an antenna>scattering area, <of an antenna>",área de dispersión (de una antena)sección transversa de dispersión (de una antena)superficie de rerradiación (desaconsejado),sirontapintasirontapoikkipinta,aire de rerayonnement (d'une antenne) faire de diffusion (d'une antenne) fsurface de rerayonnement (terme déconseillé) fsurface de diffusion (terme déconseillé) f,sezione di diffusionesezione di scattering,散乱断面積,"산란 단면적, <안테나>산란 영역, <안테나>",powierzchnia rozpraszania (anteny),área de difusão (de uma antena),razpršilni prerez antenerazpršilna površina antene,absorptionsytaeffektivarea,"散射截面, <天线的>"
712-02-49,"back scattering cross-section, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-49,مقطع عرضي مبعثر خلفي (لهوائي),"Rückstreuquerschnitt, <einer Antenne> mRückstreufläche, <einer Antenne> f","back scattering cross-section, <of an antenna>back scattering area, <of an antenna>",área de retrodispersión (de una antena)sección transversa de retrodispersión (de una antena),takaisinsirontapintatakaisinsirontapoikkipinta,aire de rétrodiffusion (d'une antenne) f,sezione di reirradiazione,後方散乱断面積,"후방 산란 단면적, <안테나>후방 산란 영역, <안테나>",powierzchnia rozpraszania wstecznego (anteny),área de retrodifusão (de uma antena),povratno razpršilni prerez antenepovratno razpršilna površina antene,spridningstvärsnitt,"后散射截面, <天线的>"
712-02-50,radiation efficiency (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-50,كفاءة إشعاعِ (لهوائى),"Strahlungswirkungsgrad, <einer Antenne> m",radiation efficiency (of an antenna),eficiencia de radiación (de una antena)rendimiento,säteilyhyötysuhde,rendement (d'une antenne) m,efficienza d'irradiazione,放射効率,"방사 효율, <안테나>복사 효율, <안테나>",sprawność (anteny),eficiência (de uma antena)rendimento (de uma antena),sevalni izkoristek antene,monostatiskt spridningstvärsnitt,"辐射效率, <天线的>"
712-02-51,equivalent isotropically radiated power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-51,قدرة مشعة مكافئة متناحيةقدرة مشعة موحدة الخواص المكافئة,"äquivalente isotrope Strahlungsleistung, fEIRP",equivalent isotropically radiated powerEIRP,PIRE (abreviatura)potencia isotrópica radiada equivalente (en una dirección dada),ekvivalenttinen isotrooppinen säteilytehoEIRP,"puissance isotrope rayonnée équivalente, fPIRE, f",potenza isotropa irradiata equivalenteEIRP (abbreviazione),等価等方放射電力等価性等方放射電力,등가 등방 방사 전력이아이아르피,"moc ekwiwalentna promieniowana izotropowo, f",potência isotrópica radiada equivalente (numa direcção)EIRP (abreviatura inglesa),ekvivalentna izotropno sevana moč v dani smeri,antennverkningsgrad,等效各向同性辐射功率EIRP
712-02-52,"effective radiated power, <with respect to a half-wave dipole>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-52,"قدرة مشعة فعالة, <يالنسبة لنصف موجة ثنائية القطبية>","effektive Strahlungsleistung, <bezogen auf einen Halbwellendipol> fERP, <bezogen auf einen Halbwellendipol>","effective radiated power, <with respect to a half-wave dipole>ERP, <with respect to a half-wave dipole>",PER (abreviatura)potencia efectiva radiada (en una dirección dada),efektiivinen säteilyteho puoliaaltodipoliin verrattunaERP,"puissance apparente rayonnée, <par rapport au doublet demi-onde> fPAR, <par rapport au doublet demi-onde> f",potenza irradiata apparente,"実効放射電力, <半波長ダイポール>","유효방사전력, < 반 파장 쌍극>이아르피","efektywna moc promieniowana, <w danym kierunku> f",potência aparente radiada (numa direcção)ERP (abreviatura inglesa),efektivna sevana moč dipola v dani smeri,ekvivalent isotropt utstrålad effekt,"有效辐射功率, <对于半波偶极子>ERP"
712-02-53,effective monopole radiated power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-53,قدرة مشعة فعالة احادية القطبية,"effektive monopole Strahlungsleistung, fEMRP",effective monopole radiated powerEMRP,PERM (abreviatura)potencia efectiva radiada del monopolo (en una dirección dada),efektiivinen säteilyteho monopoliantenniin verrattunaEMRP,"puissance apparente rayonnée sur une antenne verticale courte, fPARV, f",potenza irradiata apparente riferita al monopolo,実効単極放射電力,유효 단극 방사 전력이엠아르피,"skuteczna moc promieniowania krótkiej anteny pionowej, <w danym kierunku> f",potência aparente radiada numa antena vertical curta (numa direcção)EMRP (abreviatura inglesa),efektivna sevana moč monopola dipola v dani smeri,,有效单极子辐射功率EMRP
712-02-54,noise temperature (of a receiving antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-54,درحة حرارة الشوشرة (لهوائي الاستقبال),"Rauschtemperatur, <einer Empfangsantenne> f",noise temperature (of a receiving antenna),temperatura de ruido (de una antena receptora),antennin kohinalämpötila,température de bruit (d'une antenne de réception) f,temperatura di rumore (di un'antenna ricevente),雑音［ノイズ］温度,"잡음온도, <수신 안테나>",temperatura szumowa (anteny odbiorczej),temperatura de ruído (de uma antena de recepção),šumna temperatura sprejemne antene,effektiv utstrålad effektbrustemperatur,"噪声温度, <接收天线的>"
712-02-55,"figure of merit, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-55,"رقم الجدارة, <للهوائي>","Gütemaß, <einer Antenne> n","figure of merit, <of an antenna>",figura de mérito (de una antena)G/T (símbolo),antennin hyvyysluku,"facteur de qualité, <d'une antenne> m",fattore di merito (di un'antenna),"性能指数, <アンテナ>","성능 지수, <안테나>","współczynnik dobroci, <anteny> mwspółczynnik oceny, <anteny> mwspółczynnik przydatności, <anteny> m",número de mérito (de uma antena),dobrost antene,godhetstal,"品质因数, <天线的>"
712-02-56,"figure of merit, <of an antenna receiving system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-56,"رقم الجدارة, <لمنظومة استقبال هوائي>","Gütemaß, <einer Antennenempfangsanlage> n","figure of merit, <of an antenna receiving system>",figura de mérito (de un sistema antena-receptor)G/T (símbolo),vastaanottolaitteiston hyvyysluku,"facteur de qualité, <d'une station de réception> m",fattore di merito (di un sistema antenna-ricevitore),"性能指数, <アンテナ受信システム>","성능 지수, <안테나 수신 시스템>","współczynnik dobroci, <układu anteny odbiorczej> mwspółczynnik oceny, <układu anteny odbiorczej> mwspółczynnik przydatności, <układu anteny odbiorczej> m",número de mérito (de uma estação de recepção),dobrost antenskega sprejemnega sistema,godhetstal,"品质因数, <天线接收系统的>"
712-02-57,antenna (input) impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-57,معاوقة (الدخل ) لهوائى,"Antenneneingangsimpedanz, fAntennenimpedanz, f",antenna (input) impedance,impedancia (de entrada) de antena,antennin impedanssi,"impédance (d'entrée) d'antenne, f",impedenza (d'ingresso) d'antenna,アンテナ（入力）インピーダンス,안테나 입력 임피던스,impedancja wejściowa anteny impedancja anteny,impedância (de entrada) de antena,(vhodna) impedanca antene,matningsimpedans,天线输入阻抗
712-02-58,antenna (input) admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-58,سماحية (الدخل ) لهوائى,"Antenneneingangsadmittanz, fAntennenadmittanz, f",antenna (input) admittance,admitancia (de entrada) de antena,antennin admittanssi,"admittance (d'entrée) d'antenne, f",ammettenza (d'ingresso) d'antenna,アンテナ（入力）アドミタンス,안테나 입력 어드미턴스,admitancja wejściowa anteny admitancja anteny,admitância (de entrada) de antena,(vhodna) admitanca antene,matningsadmittans,天线输入导纳
712-02-59,bandwidth (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-59,عرض النطاق (لهوائى),"Bandbreite, <einer Antenne> f",bandwidth (of an antenna),ancho de banda (de una antena),antennin kaistanleveys,largeur de bande (d'une antenne) f,larghezza di banda (di un'antenna),帯域幅,"대역폭, <안테나>",szerokość pasma (anteny),largura de banda (de uma antena),pasovna širina antene,bandbredd,"带宽, <天线的>"
712-02-60,isolation ratio (of a multiport antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-60,نسبة عزل (لهوائى متعدد الفتحات),"Entkopplung, <einer Antenne mit mehreren Anschlüssen> f",isolation ratio (of a multiport antenna),relación de desacoplamiento (para una antena de entradas múltiples),erotusvaimennusisolaatio,rapport de découplage entre accès (d'une antenne) m,rapporto d'isolamento,分離比,"분리비, <다중 단자쌍 안테나>",współczynnik izolacji (anteny z wieloma wejściami),relação de desacoplamento (entre acessos de uma antena multiporto),ločitveno razmerje večvhodne antene,isolation,"隔离度, <多端口天线的>"
712-02-61,discrimination ratio (of an antenna between two received waves),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-61,نسبة تمييزِ (لهوائى بين موجتين مستقبلتينِ),"Trennung, <einer Antenne zwischen zwei empfangenen Wellen> fEntkopplung, <einer Antenne zwischen zwei empfangenen Wellen> f",discrimination ratio (of an antenna between two received waves),relación de discriminación (de una antena entre dos ondas recibidas),erottelusuhde,rapport de discrimination (d'une antenne de réception pour deux ondes) m,rapporto di discriminazione,判別比,"판별 비, <두 수신파 간 안테나>",współczynnik dyskryminacji (anteny między dwiema odbieranymi falami),relação de descriminação (de uma antena de recepção para duas ondas),diskriminacijsko razmerje antene med dvema sprejetima valoma,selektivitet,"分辨率, <两个接收波之间的天线的>"
712-02-62,polarization (decoupling) ratio (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-62,نسبة إستقطاب (فك التقارن) (لهوائى),"Polarisationsentkopplung, <einer Antenne> f",polarization (decoupling) ratio (of an antenna),relación de desacoplamiento de polarización (de una antena),ristipolarisaatiovaimennus,rapport de (découplage de) polarisation (d'une antenne) m,disaccoppiamento di polarizzazione,偏光比,"편파 감결합 비, <안테나>",współczynnik odsprzężenia polaryzacji (anteny) współczynnik polaryzacji (anteny),relação de (desacoplamento de) polarização (de uma antena),polarizacijsko (ločitveno) razmerje antene,korspolarisationsdämpning,"极化去耦比, <天线的>"
712-02-63,superdirectivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-02-63,فائق التوجيه,"Superrichtwirkung, fSuperrichtfaktor, m",superdirectivity,superdirectividad,ylisuuntaavuus,"superdirectivité, f",superdirettività,超指向性,초지향성,kierunkowość nadzwyczajna (anteny) superkierunkowość (anteny),superdirectividade,supersmernostvelesmernost,överdirektivitet,超方向性超指向性
712-03-01,isotropic radiator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-01,مشع موحد الخواص,"isotroper Strahler, m",isotropic radiator,antena isotrópicaradidor isotrópico,isotrooppinen antenni,"antenne isotrope, fsource isotrope, f",radiatore isotropo,等方性放射体,등방 방사기,radiator izotropowy,antena isotrópica,izotropna antenaizotropni sevalnikizotropni vir,isotrop antenn,各向同性辐射器点源天线
712-03-02,directional antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-02,هوائى إتجاهى,"Richtantenne, fRichtstrahler, m",directional antenna,antena direccional,suunta-antenni,"antenne directive, fantenne directionnelle (terme à proscrire) f",antenna direttiva,指向性アンテナ,지향성 안테나,antena kierunkowa,antena directiva,smerna antenasmerni sevalnik,riktantenn,定向天线
712-03-03,directional-null antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-03,هوائى لا إتجاهى,"Nullstellenantenne, f",directional-null antenna,antena de mínimo direccional,nollakohta-antenni,"antenne à zéro de rayonnement, f",antenna con zeri d'irradiazione,無指向性アンテナ,지향성 널 안테나,antena z zerami kierunkowymi,antena de mínimo direccional,antena s smerno ničlo,nollriktningsantenn,方向零点天线
712-03-04,null-steering antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-04,هوائى غير موجه,"Antenne mit schwenkbaren Nullstellen, f",null-steering antenna,antena de mínimo orientable,nollakohtaa kääntävä antenni,"antenne à zéro orientable, f",antenna a scansione zero,ヌルパターン制御アンテナ,널 조정 안테나,antena ze sterowanymi zerami,antena de mínimo orientável,antena z nastavljivo ničlo,antenn med styrbar nollriktning,零点可控天线
712-03-05,single-polarized antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-05,هوائى أحادى الإستقطاب,"einfach polarisierte Antenne, f",single-polarized antenna,,yksipolarisaatioantenni,"antenne à simple polarisation, f",antenna a singola polarizzazione,単一極性アンテナ,단일 편파성 안테나,antena o polaryzacji pojedynczej,antena de polarização simples,enopolarizacijska antena,enkelpolariserad antenn,单极化天线
712-03-06,dual-polarized antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-06,هوائى ثنائى الإستقطاب,"doppelt polarisierte Antenne, f",dual-polarized antenna,antena de polarización dual,kaksipolarisaatioantenni,"antenne à double polarisation, f",antenna a doppia polarizzazione,双極性アンテナ,이중 편파성 안테나,antena spolaryzowana podwójnie,antena de polarização dupla,dvopolarizacijska antena,dubbelpolariserad antenn,双极化天线
712-03-07,"omnidirectional antenna,  (in a given plane)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-07,هوائي لكل الإتجاهات ( في مستوى محدد),"Rundstrahler, <in einer bestimmten Ebene> m","omnidirectional antenna,  (in a given plane)",antena omninidireccional (en un plano dado),ympärisäteilevä antenni,"antenne équidirective (dans un plan spécifié), fantenne omnidirective (terme déconseillé) fantenne omnidirectionnelle (terme déconseillé) f",antenna omnidirezionale,全方向性アンテナ,"전방향성 안테나, <일정한 평면>",antena dookolna (w danej płaszczyźnie),antena omnidireccional (num plano especificado),vsesmerna antena v dani ravnini,rundstrålande antenn,"全向辐射天线, <给定平面内>"
712-03-08,broadside...,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-08,مستعرض,"Querstrahler…, <in Zusammensetzungen>querstrahlend, Adjektiv",broadside...,radiación transversal,rintamasäteilijä,"à rayonnement transversal, adj",a irradiazione trasversale,ブロードサイド（形の）,측면가로,układ antenowy rozbudowany układ rozbudowany,de radiação transversal,bočno sevanje,tvärstrålande,边射的
712-03-09,end-fire...,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-09,إشعال طرفي,"Längsstrahler…, <in Zusammensetzungen>längsstrahlend, Adjektiv",end-fire...,radiación longitudinal,päätysäteilijä,"à rayonnement longitudinal, adj",a irradiazione longitudinale,エンドファイア（形の）,종형,układ antenowy wzdłużnokierunkowy układ wzdłużnokierunkowy,de radiação longitudinal,osno sevanje,längsstrålande,端射的
712-03-10,back-fire antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-10,هوائي إشعال خلفي,"Backfire-Antenne, f",back-fire antenna,antena retrodirectiva,takasäteilijä,"antenne rétrodirective, f",antenna retrodirettiva,バックファイアアンテナ,후방 안테나,antena o promieniowaniu wstecznym,antena retrodirectiva,vzvratno sevalna antena,bakåtstrålande antenn,背射天线
712-03-11,rotating-field antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-11,هوائي ذو مجال دوار,"Drehfeldantenne, f",rotating-field antenna,antena de campo rotante,vaiheenkiertoantenni,"antenne à champ tournant, f",antenna a campo rotante,回転磁界アンテナ,회전 전계 안테나,antena z polem obrotowym,antena de campo rotativo,antena z vrtilnim poljem,faspejlantenn,旋转场天线
712-03-12,shaped-beam antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-12,هوائي مشكل الحزمة,"Antenne mit geformter Strahlungskeule, f",shaped-beam antenna,antena de haz modelado,säteilykuvioltaan muotoiltu antenni,"antenne à faisceau modelé, f",antenna a fascio sagomato,成形ビームアンテナ,정형 빔 안테나,antena z wiązką kształtowaną,antena de feixe modelado,antena z oblikovanim snopom,antenn med formad lob,赋形波束天线
712-03-13,contoured-beam antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-13,"هوائي شعاعي الشكل, <للهوائي>هوائي الحزمة المحيطية","konturangepasste Antenne, fKonturstrahlantenne, f",contoured-beam antenna,antena de haz contorneado,peittoalueeltaan muotoiltu antenni,"antenne à empreinte modelée, f",antenna a fascio contornato,成形ビームアンテナ定域照射型ビームアンテナ,윤곽 빔 안테나,"antena o wiązce konturowej, fantena o wiązce uzależnionej od konturu, f",antena de projecção modelada,antena s konturnim snopom,antenn med konturformad lob,等强度线波束天线轮廓波束天线
712-03-14,fan-beam antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-14,هوائي ذو حزمة مروحية,"Fächerstrahlantenne, f",fan-beam antenna,antena abanicoantena de haz abanicado,viuhkakeila-antenni,"antenne à faisceau plat, fantenne à faisceau en éventail, f",antenna con fascio a ventaglio,ファンビームアンテナ,부채꼴 빔 안테나,antena o wiązce wachlarzowej,antena de feixe em leque,antena s pahljačastim snopom,skivlobsantenn,扇形波束天线
712-03-15,beaver-tail beam antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-15,هوائى شعاع على شكل ذيل القندس,"Biberschwanzantenne, f",beaver-tail beam antenna,antena de haz tipo cola de castor,latuskakeila-antenni,"antenne à faisceau plat horizontal, fantenne à faisceau en queue de castor, f",antenna a fascio piatto orizzontale,ビーバーテール形ビームアンテナ,해리 꼬리 빔 안테나,antena o wiązce wachlarzowej spłaszczonej,antena de feixe em leque horizontal,antena s snopom v obliki bobrovega repaantena s horizontalno sploščenim snopom,horisontal skivl0bsantenn,獭尾形波束天线
712-03-16,pencil-beam antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-16,هوائى قلمي الحزمة,"Bleistiftstrahlantenne, f",pencil-beam antenna,antena de haz tipo lápiz,teräväkeila-antenni,"antenne à faisceau-crayon, f",antenna a fascio stretto,ペンシルビームアンテナ,세심 빔 안테나펜슬 빔 안테나,antena o wiązce szpilkowej,antena de feixe em lápis,antena z iglastim snopom,penniobsantenn,笔形波束天线
712-03-17,cosecant-square beam antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-03-17,هوائى حزمة مربع قاطع التمام,"Kosekans-Antenne, f",cosecant-square beam antenna,antena de haz cosecante al cuadrado,kosekanttiantenni,"antenne à faisceau en cosécante carrée, f",antenna a fascio di tipo cosecante al quadrato,コセカント平方ビームアンテナ,코시컨트 자승 빔 안테나,antena o wiązce kosekansowej,antena de feixe em cosecante quadrada,antena kosekans-kvadrat,cosekant(kvadrat)lobsantenn,余割平方波束天线
