term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,mn,no,pl,pt,sl,sr,sv,zh
471-03-02,insulator set,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-02,مجموعة عازلات,"Isolatorkette, f",insulator set,cadena equipada,"chaîne équipée, f",Equipaggiamento isolante completo,がいし装置,애자 세트,тусгаарлагчийн бүрдэл,isolatorkjede,łańcuch izolatorów z osprzętem,cadeia equipada,izolatorska veriga,,isolatorkedja,绝缘子串组
471-03-03,insulator string,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-03,سلسلة عازل,"Isolatorstrang, m",insulator string,cadena de aisladores,"chaîne d’isolateurs, f",Catena di isolatori,がいし連,애자련,хэлхсэн тусгаарлагч,isolatorstreng,łańcuch izolatorów,cadeia de isoladores,izolatorski niz,,isolatorsträng,绝缘子串
471-03-04,line-post insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-04,سلسلة عازل,"Freileitungsstützer, m",line-post insulator,aislador rígido de peana,"isolateur rigide à socle, m",Isolatore rigido a base,ラインポストがいし,라인-포스트 애자선-지지 애자,шугамын тулгуур тусгаарлагч,"linjestøtteisolator, stolpeisolator",izolator liniowy wsporczy,isolador rígido com base,,,LP-isolator,线路柱式绝缘子
471-03-05,long rod insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-05,مجموعة عازلات,"Langstabisolator, m",long rod insulator,aislador tipo bastón,"isolateur à long fût, m",Isolatore a bastone,長幹がいし,장간 애자,урт туйван хэлбэрийн тусгаарлагч,stavisolator,izolator długopniowy,isolador de fuste longo,paličasti izolator,,stavisolator,长棒形绝缘子
471-03-06,pin insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-06,عازل مسمار,"Stützenisolator, m",pin insulator,aislador rígido de vástago,"isolateur rigide à tige, m",Isolatore rigido a perno,ピンがいし,핀 애자선로용 핀 애자,шөргөн тусгаарлагчсүлбээрэн тусгаарлагч,piggisolator,izolator stojący,isolador rígido com ferro de suporte,podporni izolator,,pinnisolator,针式绝缘子
471-03-07,cap and pin insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-07,عازل ذو غطاء (قبعة) و مسمار,"Kappenisolator, m",cap and pin insulator,aislador de caperuza y vástago,"isolateur à capot et tige, m",Isolatore a cappa e perno,懸垂がいし,캡과 핀 애자현수애자,тагтай шөргөн тусгаарлагч,kappe- og boltisolator,izolator kołpakowy,isolador de campânula e espigão,kapasti izolator,,kåppinnisolator,盘形悬式绝缘子
471-03-08,string insulator unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-08,عازل تثبيت لخط,"Kettenisolator, m",string insulator unit,elemento de cadena de aisladores,"élément de chaîne d’isolateurs, m",Elemento di catena,連用がいしユニット,연용 애자 단위체연용 애자 유닛,хэлхсэн тусгаарлагчийн цогц хэсэг,isolatorelement for kjede,ogniwo łańcucha izolatorów,elemento de cadeia de isoladoresisolador articulado,člen izolatorskega niza,,kedjeisolatorelement,绝缘子串元件
471-03-09,shackle insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-09,عازل بمسمار شكالي,"Schäkelisolator, m",shackle insulator,aislador tipo polea,"isolateur d’arrêt, m",Isolatore per amarro (a foro passante),引留がいし,걸쇠 애자섀클 애자,хавчдаг тусгаарлагч,"rulleisolator, sjakkelisolator",izolator szpulowy,isolador de fim de linha,šekelski izolator,,rullisolator,蝶式绝缘子
471-03-10,strain insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-10,عازل شد,"Eiisolator, mNussisolator, m",strain insulator,nuez de anclaje,"noix d’ancrage, f",Isolatore per tirante,耐張がいし,내장력 애자,татдаг тусгаарлагч,bardunisolator,izolator odciągowy,esticador,sidrni izolator,,stagisolator,拉紧绝缘子
471-03-11,ball and socket coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-11,قارنة ذات الجلبة والكرات (البلى),"Klöppel-Pfannen-Verbindung, f",ball and socket coupling,unión por rótula y alojamiento de rótula,"assemblage à rotule, m",Accoppiamento a bottone e orbita,ボールソケット連結,볼 및 소켓 결합볼 및 소켓 축이음,бөмбөлөг болон углуурган холбогч,kuleboltkopling,złącze gniazdowo-główkowe,ligação de bola e alvéolo,spojka z betičem in ponvico,,kläpp- och kläpphuskoppling,球窝连接
471-03-12,rigid insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-03-12,قارنة غطاء ولسان,"starr montierter Freileitungsisolator, m",rigid insulator,aislador rígido,"isolateur rigide, m",Isolatore rigido,固定がいし,고정용 애자,нугардаггүй тусгаарлагч,ståisolator,izolator sztywny,isolador rígido,togi izolator,,linjestödisolator,刚性绝缘子
471-04-01,post insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-04-01,عازل دعامة,"Stützisolator, m",post insulator,aislador de apoyo,"support isolant, m",Isolatore portante,支持がいし,지지 애자포스트 애자,тулгуур тусгаарлагч,støtteisolator,izolator wsporczy,suporte isolante,nosilni izolator,,stödisolator,支柱绝缘子
471-04-02,post insulator unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-04-02,وحدة عازل دعامة,"Stützisolatorelement, n",post insulator unit,elemento de aislador de apoyo,"élément de support isolant, m",Elemento di colonna,支持がいしユニット,지지 애자 단위체포스트 애자 단위체,тулгуур тусгаарлагчийн цогц хэсэг,støtteisolatoreining,człon izolatora wsporczego,elemento de suporte isolante,člen nosilnega izolatorja,,stödisolatorelement,支柱绝缘子元件
471-04-03,outdoor post insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-04-03,عازل دعامة خارج المبانى,"Freiluft-Stützisolator, m",outdoor post insulator,aislador de apoyo de exterior,"support isolant d’extérieur, m",Isolatore portante per esterno,屋外支持がいし,옥외 지지 애자옥외 포스트 애자,гадаа байх зориулалттай тулгуур тусгаарлагч,utandørs støtteisolator,izolator wsporczy napowietrzny,elemento de suporte isolante de exterior,zunanjemontažni nosilni izolator,,utomhusstödisolator,户外支柱绝缘子
471-04-04,indoor post insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-04-04,عازل دعامة داخل المبانى,"Innenraum-Stützisolator, m",indoor post insulator,aislador de apoyo de interior,"support isolant d’intérieur, m",Isolatore portante per interno,屋内支持がいし,옥내 지지 애자옥내 포스트 애자,дотор талын зориулалттай тулгуур тусгаарлагч,innandørs støtteisolator,izolator wsporczy wnętrzowy,elemento de suporte isolante de interior,notranjemontažni nosilni izolator,,inomhusstödisolator,户内支柱绝缘子
471-04-05,pedestal post insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-04-05,عازل دعامة ذو ركيزة,"Stielflansch-Stützisolator, m",pedestal post insulator,aislador de apoyo de caperuza y peana,"support isolant à capot et embase, m",Isolatore portante a cappa e base,台支持がいし,받침대 지지 애자주각 지지애자기초 포스트 애자,суурьтай тулгуур тусгаарлагч,pidestallstøtteisolator,izolator wsporczy trzonowy,suporte isolante de calote e base,nosilni izolator z vznožkom,,stödisolator av kåppinntyp,针式支柱绝缘子
471-04-06,cylindrical post insulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=471-04-06,عازل دعامة اسطوانى,"zylindrischer Stützisolator, m",cylindrical post insulator,aislador de apoyo cilíndrico,"support isolant cylindrique, m",Isolatore portante cilindrico,円柱形支持がいし,원통형 지지 애자원통형 포스트 애자,цилиндр хэлбэртэй тулгуур тусгаарлагч,sylindrisk støtteisolator,izolator wsporczy cylindryczny,suporte isolante cilíndrico,valjasti nosilni izolator,,cylindrisk stödisolator,圆柱形支柱绝缘子
